pathway_id,profile_id,scenario_id,pathway_name,time_step,hybrid_risk,cascade_pressure,security_resilience,public_trust
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,1,0.4574,0.4916,0.72,0.68
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,2,0.4314,0.4556,0.7851,0.7289
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,3,0.402,0.4181,0.8524,0.7786
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,4,0.3692,0.3792,0.922,0.8293
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,5,0.3329,0.3387,0.9941,0.8811
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,6,0.2929,0.2967,1.0688,0.9341
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,7,0.2491,0.253,1.1463,0.9885
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,8,0.2695,0.2726,1.2228,1.0422
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,9,0.2702,0.2725,1.3007,1.094
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,10,0.2853,0.2861,1.3788,1.1473
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,11,0.2763,0.2761,1.4587,1.2008
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,12,0.2231,0.2245,1.5425,1.2559
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,13,0.2164,0.2196,1.6268,1.3112
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,14,0.1569,0.1646,1.7156,1.3683
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,15,0.0929,0.108,1.8,1.4273
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,16,0.0922,0.1144,1.8,1.4863
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,17,0.0219,0.0542,1.8,1.5475
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,18,0.0,0.039,1.8,1.6074
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,19,0.0,0.0,1.8,1.6692
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,20,0.0,0.0,1.8,1.731
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,21,0.0,0.0,1.8,1.7928
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,22,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,23,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,24,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,25,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,26,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,27,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,28,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,29,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,30,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,31,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,32,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,33,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,34,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,35,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,36,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,37,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,38,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,39,0.0,0.0,1.8,1.8
ASP1,SFH1,SHS1,Managed Hybrid Competition Pathway,40,0.0473,0.0572,1.8,1.8
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,1,0.6904,0.73,0.46,0.44
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,2,0.7459,0.7702,0.4812,0.4554
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,3,0.8029,0.8099,0.5004,0.4691
ASP2,SFH2,SHS2,Cyber-Infrastructure Cascade Pathway,4,0.8615,0.8493,0.5175,0.4811
