pathway_id,profile_id,scenario_id,pathway_name,time_step,financial_stability,systemic_risk,public_capacity
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,1,1.0,0.3272,0.8124
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,2,0.9997,0.313,0.8736
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,3,1.0026,0.2988,0.9352
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,4,1.0089,0.2846,0.9973
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,5,1.0186,0.2704,1.0598
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,6,1.0316,0.2562,1.1227
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,7,1.048,0.242,1.1861
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,8,0.9469,0.2343,1.2448
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,9,0.9695,0.2201,1.3088
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,10,0.9956,0.2059,1.3732
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,11,1.0251,0.1917,1.4381
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,12,1.058,0.1775,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,13,1.0917,0.1633,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,14,1.1262,0.1491,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,15,1.1616,0.1349,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,16,1.0771,0.1272,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,17,1.1138,0.113,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,18,1.1514,0.0988,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,19,1.1898,0.0846,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,20,1.2291,0.0704,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,21,1.2692,0.0562,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,22,1.3102,0.042,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,23,1.352,0.0278,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,24,1.2739,0.02,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,25,1.3171,0.0058,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,26,1.3606,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,27,1.4041,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,28,1.4476,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,29,1.4911,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,30,1.5345,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,31,1.578,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,32,1.5012,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,33,1.5447,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,34,1.5882,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,35,1.6316,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,36,1.6751,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,37,1.7186,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,38,1.7621,0.0,1.5
PW1,FF1,FS1,Resilient Public-Interest Finance Pathway,39,1.8,0.0,1.5
