pathway_id,future_id,scenario_id,pathway_name,time_step,development_viability,development_fragility,public_capacity,fiscal_stress
PW1,DF1,SC2,High-Growth Unequal Pathway,1,1.0,0.6316,0.4656,0.5
PW1,DF1,SC2,High-Growth Unequal Pathway,2,1.0301,0.6354,0.5129,0.5172
PW1,DF1,SC2,High-Growth Unequal Pathway,3,1.0614,0.6392,0.5602,0.5346
PW1,DF1,SC2,High-Growth Unequal Pathway,4,1.0939,0.643,0.6073,0.5521
PW1,DF1,SC2,High-Growth Unequal Pathway,5,1.1276,0.6468,0.6543,0.5698
PW1,DF1,SC2,High-Growth Unequal Pathway,6,1.1623,0.6506,0.7012,0.5876
PW1,DF1,SC2,High-Growth Unequal Pathway,7,1.1983,0.6544,0.7479,0.6056
PW1,DF1,SC2,High-Growth Unequal Pathway,8,1.1146,0.6642,0.7896,0.6299
PW1,DF1,SC2,High-Growth Unequal Pathway,9,1.1521,0.668,0.836,0.6485
PW1,DF1,SC2,High-Growth Unequal Pathway,10,1.1907,0.6718,0.8822,0.6671
PW1,DF1,SC2,High-Growth Unequal Pathway,11,1.2304,0.6756,0.9283,0.686
PW1,DF1,SC2,High-Growth Unequal Pathway,12,1.2711,0.6794,0.9743,0.7049
PW1,DF1,SC2,High-Growth Unequal Pathway,13,1.313,0.6832,1.0203,0.7241
PW1,DF1,SC2,High-Growth Unequal Pathway,14,1.3559,0.687,1.066,0.7433
PW1,DF1,SC2,High-Growth Unequal Pathway,15,1.3998,0.6908,1.1117,0.7628
PW1,DF1,SC2,High-Growth Unequal Pathway,16,1.3241,0.7006,1.1523,0.7886
PW1,DF1,SC2,High-Growth Unequal Pathway,17,1.3694,0.7044,1.1976,0.8086
PW1,DF1,SC2,High-Growth Unequal Pathway,18,1.4158,0.7082,1.2427,0.8287
PW1,DF1,SC2,High-Growth Unequal Pathway,19,1.4631,0.712,1.2878,0.849
PW1,DF1,SC2,High-Growth Unequal Pathway,20,1.5115,0.7158,1.3327,0.8694
PW1,DF1,SC2,High-Growth Unequal Pathway,21,1.5608,0.7196,1.3775,0.89
PW1,DF1,SC2,High-Growth Unequal Pathway,22,1.6111,0.7234,1.4222,0.9107
PW1,DF1,SC2,High-Growth Unequal Pathway,23,1.6623,0.7272,1.4668,0.9316
PW1,DF1,SC2,High-Growth Unequal Pathway,24,1.5936,0.737,1.5,0.9589
PW1,DF1,SC2,High-Growth Unequal Pathway,25,1.6441,0.7408,1.5,0.9803
PW1,DF1,SC2,High-Growth Unequal Pathway,26,1.6937,0.7446,1.5,1.0019
PW1,DF1,SC2,High-Growth Unequal Pathway,27,1.7424,0.7484,1.5,1.0237
PW1,DF1,SC2,High-Growth Unequal Pathway,28,1.7904,0.7522,1.5,1.0455
PW1,DF1,SC2,High-Growth Unequal Pathway,29,1.8,0.756,1.5,1.0676
PW1,DF1,SC2,High-Growth Unequal Pathway,30,1.8,0.7598,1.5,1.0898
PW1,DF1,SC2,High-Growth Unequal Pathway,31,1.8,0.7636,1.5,1.1121
PW1,DF1,SC2,High-Growth Unequal Pathway,32,1.724,0.7734,1.5,1.1409
PW1,DF1,SC2,High-Growth Unequal Pathway,33,1.7671,0.7772,1.5,1.1637
PW1,DF1,SC2,High-Growth Unequal Pathway,34,1.8,0.781,1.5,1.1868
PW1,DF1,SC2,High-Growth Unequal Pathway,35,1.8,0.7848,1.5,1.21
PW1,DF1,SC2,High-Growth Unequal Pathway,36,1.8,0.7886,1.5,1.2333
PW1,DF1,SC2,High-Growth Unequal Pathway,37,1.8,0.7924,1.5,1.2568
PW1,DF1,SC2,High-Growth Unequal Pathway,38,1.8,0.7962,1.5,1.2805
PW1,DF1,SC2,High-Growth Unequal Pathway,39,1.8,0.8,1.5,1.3043
PW1,DF1,SC2,High-Growth Unequal Pathway,40,1.7164,0.8098,1.5,1.3345
PW2,DF2,SC1,Green Coordinated Transition Pathway,1,1.0,0.3154,0.742,0.32
PW2,DF2,SC1,Green Coordinated Transition Pathway,2,1.0866,0.2526,0.8428,0.2949
PW2,DF2,SC1,Green Coordinated Transition Pathway,3,1.1812,0.1898,0.9455,0.2673
PW2,DF2,SC1,Green Coordinated Transition Pathway,4,1.2841,0.127,1.0501,0.2372
PW2,DF2,SC1,Green Coordinated Transition Pathway,5,1.3953,0.0642,1.1566,0.2045
PW2,DF2,SC1,Green Coordinated Transition Pathway,6,1.5151,0.0014,1.2649,0.1694
PW2,DF2,SC1,Green Coordinated Transition Pathway,7,1.6403,0.0,1.3733,0.1342
PW2,DF2,SC1,Green Coordinated Transition Pathway,8,1.6506,0.0,1.4769,0.105
PW2,DF2,SC1,Green Coordinated Transition Pathway,9,1.7828,0.0,1.5,0.0698
PW2,DF2,SC1,Green Coordinated Transition Pathway,10,1.8,0.0,1.5,0.0346
PW2,DF2,SC1,Green Coordinated Transition Pathway,11,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,12,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,13,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,14,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,15,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,16,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,17,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,18,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,19,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,20,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,21,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,22,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,23,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,24,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,25,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,26,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,27,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,28,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,29,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,30,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,31,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,32,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,33,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,34,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,35,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,36,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,37,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,38,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,39,1.8,0.0,1.5,0.0
PW2,DF2,SC1,Green Coordinated Transition Pathway,40,1.8,0.0,1.5,0.0
PW3,DF3,SC3,Fragmented Stagnation Pathway,1,1.0,0.6558,0.3598,0.66
PW3,DF3,SC3,Fragmented Stagnation Pathway,2,0.9579,0.6684,0.3897,0.6861
PW3,DF3,SC3,Fragmented Stagnation Pathway,3,0.9155,0.681,0.4193,0.7128
PW3,DF3,SC3,Fragmented Stagnation Pathway,4,0.8729,0.6936,0.4485,0.7399
PW3,DF3,SC3,Fragmented Stagnation Pathway,5,0.8299,0.7062,0.4773,0.7676
PW3,DF3,SC3,Fragmented Stagnation Pathway,6,0.7867,0.7188,0.5058,0.7957
PW3,DF3,SC3,Fragmented Stagnation Pathway,7,0.743,0.7314,0.5338,0.8244
PW3,DF3,SC3,Fragmented Stagnation Pathway,8,0.5783,0.75,0.5565,0.8598
PW3,DF3,SC3,Fragmented Stagnation Pathway,9,0.5331,0.7626,0.5836,0.8897
PW3,DF3,SC3,Fragmented Stagnation Pathway,10,0.4875,0.7752,0.6104,0.9201
PW3,DF3,SC3,Fragmented Stagnation Pathway,11,0.4413,0.7878,0.6368,0.951
PW3,DF3,SC3,Fragmented Stagnation Pathway,12,0.3946,0.8004,0.6627,0.9824
PW3,DF3,SC3,Fragmented Stagnation Pathway,13,0.3474,0.813,0.6883,1.0143
PW3,DF3,SC3,Fragmented Stagnation Pathway,14,0.2995,0.8256,0.7136,1.0468
PW3,DF3,SC3,Fragmented Stagnation Pathway,15,0.2511,0.8382,0.7384,1.0797
PW3,DF3,SC3,Fragmented Stagnation Pathway,16,0.0813,0.8568,0.7579,1.1194
PW3,DF3,SC3,Fragmented Stagnation Pathway,17,0.0308,0.8694,0.7818,1.1535
PW3,DF3,SC3,Fragmented Stagnation Pathway,18,0.0,0.882,0.8054,1.1882
PW3,DF3,SC3,Fragmented Stagnation Pathway,19,0.0,0.8946,0.8286,1.2234
PW3,DF3,SC3,Fragmented Stagnation Pathway,20,0.0,0.9072,0.8513,1.2591
PW3,DF3,SC3,Fragmented Stagnation Pathway,21,0.0,0.9198,0.8737,1.2953
PW3,DF3,SC3,Fragmented Stagnation Pathway,22,0.0,0.9324,0.8958,1.332
PW3,DF3,SC3,Fragmented Stagnation Pathway,23,0.0,0.945,0.9174,1.3692
PW3,DF3,SC3,Fragmented Stagnation Pathway,24,0.0,0.9636,0.9337,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,25,0.0,0.9762,0.9544,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,26,0.0,0.9888,0.9748,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,27,0.0,1.0014,0.9947,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,28,0.0,1.014,1.0143,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,29,0.0,1.0266,1.0335,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,30,0.0,1.0392,1.0523,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,31,0.0,1.0518,1.0708,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,32,0.0,1.0704,1.0839,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,33,0.0,1.083,1.1014,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,34,0.0,1.0956,1.1185,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,35,0.0,1.1082,1.1353,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,36,0.0,1.1208,1.1516,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,37,0.0,1.1334,1.1676,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,38,0.0,1.146,1.1832,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,39,0.0,1.1586,1.1985,1.4
PW3,DF3,SC3,Fragmented Stagnation Pathway,40,0.0,1.1772,1.2084,1.4
PW4,DF4,SC6,Technology Dual Economy Pathway,1,1.0,0.5992,0.4888,0.52
PW4,DF4,SC6,Technology Dual Economy Pathway,2,1.025,0.5948,0.541,0.5304
PW4,DF4,SC6,Technology Dual Economy Pathway,3,1.052,0.5904,0.5932,0.5406
PW4,DF4,SC6,Technology Dual Economy Pathway,4,1.0811,0.586,0.6457,0.5506
PW4,DF4,SC6,Technology Dual Economy Pathway,5,1.1121,0.5816,0.6982,0.5605
PW4,DF4,SC6,Technology Dual Economy Pathway,6,1.1452,0.5772,0.7509,0.5702
PW4,DF4,SC6,Technology Dual Economy Pathway,7,1.1804,0.5728,0.8037,0.5797
PW4,DF4,SC6,Technology Dual Economy Pathway,8,1.0969,0.5744,0.8517,0.5953
PW4,DF4,SC6,Technology Dual Economy Pathway,9,1.1354,0.57,0.9046,0.6047
PW4,DF4,SC6,Technology Dual Economy Pathway,10,1.1761,0.5656,0.9576,0.6139
PW4,DF4,SC6,Technology Dual Economy Pathway,11,1.2188,0.5612,1.0108,0.623
PW4,DF4,SC6,Technology Dual Economy Pathway,12,1.2636,0.5568,1.0641,0.6318
PW4,DF4,SC6,Technology Dual Economy Pathway,13,1.3105,0.5524,1.1175,0.6405
PW4,DF4,SC6,Technology Dual Economy Pathway,14,1.3595,0.548,1.1711,0.649
PW4,DF4,SC6,Technology Dual Economy Pathway,15,1.4106,0.5436,1.2248,0.6574
PW4,DF4,SC6,Technology Dual Economy Pathway,16,1.3431,0.5452,1.2736,0.6718
PW4,DF4,SC6,Technology Dual Economy Pathway,17,1.3978,0.5408,1.3274,0.68
PW4,DF4,SC6,Technology Dual Economy Pathway,18,1.4546,0.5364,1.3813,0.6881
PW4,DF4,SC6,Technology Dual Economy Pathway,19,1.5136,0.532,1.4353,0.696
PW4,DF4,SC6,Technology Dual Economy Pathway,20,1.5747,0.5276,1.4895,0.7037
PW4,DF4,SC6,Technology Dual Economy Pathway,21,1.6362,0.5232,1.5,0.7112
PW4,DF4,SC6,Technology Dual Economy Pathway,22,1.6977,0.5188,1.5,0.7186
PW4,DF4,SC6,Technology Dual Economy Pathway,23,1.7593,0.5144,1.5,0.7257
PW4,DF4,SC6,Technology Dual Economy Pathway,24,1.7003,0.516,1.5,0.739
PW4,DF4,SC6,Technology Dual Economy Pathway,25,1.7614,0.5116,1.5,0.746
PW4,DF4,SC6,Technology Dual Economy Pathway,26,1.8,0.5072,1.5,0.7529
PW4,DF4,SC6,Technology Dual Economy Pathway,27,1.8,0.5028,1.5,0.7596
PW4,DF4,SC6,Technology Dual Economy Pathway,28,1.8,0.4984,1.5,0.7662
PW4,DF4,SC6,Technology Dual Economy Pathway,29,1.8,0.494,1.5,0.7725
PW4,DF4,SC6,Technology Dual Economy Pathway,30,1.8,0.4896,1.5,0.7787
PW4,DF4,SC6,Technology Dual Economy Pathway,31,1.8,0.4852,1.5,0.7847
PW4,DF4,SC6,Technology Dual Economy Pathway,32,1.7408,0.4868,1.5,0.7968
