pathway_id,scenario_id,pathway_name,time_step,present_benefit,future_benefit,present_risk,future_risk,legitimacy,justice_adjusted_score
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,1,0.62,0.82,0.3,0.24,0.81,0.2846
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,2,0.6241,0.844,0.2934,0.2244,0.8239,0.297
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,3,0.6282,0.8681,0.2868,0.2089,0.8377,0.3093
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,4,0.6324,0.8921,0.2803,0.1933,0.8517,0.3217
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,5,0.6365,0.9162,0.2737,0.1778,0.8656,0.3341
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,6,0.6486,0.9401,0.2671,0.1622,0.8796,0.3485
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,7,0.6527,0.9642,0.2605,0.1466,0.8936,0.3609
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,8,0.6568,0.9882,0.2539,0.1311,0.9077,0.3733
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,9,0.661,1.0122,0.2474,0.1156,0.9217,0.3856
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,10,0.6651,1.0363,0.2408,0.1,0.9359,0.398
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,11,0.6692,1.0603,0.2342,0.0844,0.95,0.4104
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,12,0.6813,1.0843,0.2277,0.0689,0.9642,0.4248
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,13,0.6854,1.1083,0.2211,0.0534,0.9784,0.4372
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,14,0.6896,1.1324,0.2145,0.0378,0.9927,0.4496
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,15,0.6937,1.1564,0.2079,0.0223,1.0069,0.462
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,16,0.6978,1.1804,0.2013,0.0067,1.0212,0.4745
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,17,0.7019,1.2045,0.1948,0.0,1.0356,0.4851
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,18,0.714,1.2284,0.1882,0.0,1.05,0.4964
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,19,0.7182,1.2525,0.1816,0.0,1.0644,0.5057
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,20,0.7223,1.2765,0.1751,0.0,1.0788,0.515
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,21,0.7264,1.3005,0.1685,0.0,1.0933,0.5244
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,22,0.7305,1.3246,0.1619,0.0,1.1078,0.5337
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,23,0.7346,1.3486,0.1553,0.0,1.1224,0.543
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,24,0.7468,1.3726,0.1487,0.0,1.1369,0.5543
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,25,0.7509,1.3966,0.1422,0.0,1.1515,0.5637
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,26,0.755,1.4207,0.1356,0.0,1.1662,0.573
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,27,0.7591,1.4447,0.129,0.0,1.1809,0.5823
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,28,0.7632,1.4687,0.1224,0.0,1.1956,0.5917
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,29,0.7674,1.4928,0.1159,0.0,1.2103,0.601
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,30,0.7795,1.5167,0.1093,0.0,1.2251,0.6124
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,31,0.7836,1.5408,0.1027,0.0,1.2399,0.6217
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,32,0.7877,1.5648,0.0961,0.0,1.2547,0.6311
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,33,0.7918,1.5889,0.0895,0.0,1.2696,0.6404
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,34,0.796,1.6129,0.083,0.0,1.2845,0.6498
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,35,0.8001,1.6369,0.0764,0.0,1.2994,0.6592
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,36,0.8122,1.6609,0.0698,0.0,1.3144,0.6705
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,37,0.8163,1.6849,0.0633,0.0,1.3294,0.6799
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,38,0.8204,1.709,0.0567,0.0,1.3445,0.6893
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,39,0.8246,1.733,0.0501,0.0,1.3595,0.6987
IEP1,EFS1,Ethical Foresight as Public Capacity Pathway,40,0.8287,1.757,0.0435,0.0,1.3746,0.708
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,1,0.72,0.58,0.46,0.62,0.3896,0.0365
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,2,0.7285,0.5946,0.4599,0.6172,0.3895,0.0417
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,3,0.737,0.6093,0.4599,0.6144,0.3894,0.047
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,4,0.7456,0.6239,0.4598,0.6116,0.3893,0.0522
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,5,0.7541,0.6386,0.4598,0.6088,0.3892,0.0575
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,6,0.7706,0.6531,0.4597,0.606,0.3891,0.0647
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,7,0.7791,0.6678,0.4596,0.6032,0.389,0.07
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,8,0.7876,0.6824,0.4596,0.6004,0.3889,0.0752
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,9,0.7962,0.697,0.4596,0.5976,0.3888,0.0805
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,10,0.8047,0.7117,0.4595,0.5948,0.3887,0.0857
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,11,0.8132,0.7263,0.4594,0.592,0.3886,0.091
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,12,0.8297,0.7409,0.4594,0.5892,0.3885,0.0982
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,13,0.8382,0.7555,0.4593,0.5865,0.3884,0.1035
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,14,0.8468,0.7702,0.4593,0.5837,0.3883,0.1087
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,15,0.8553,0.7848,0.4592,0.5809,0.3882,0.114
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,16,0.8638,0.7994,0.4591,0.5781,0.3881,0.1192
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,17,0.8723,0.8141,0.4591,0.5753,0.388,0.1245
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,18,0.8888,0.8286,0.4591,0.5726,0.3879,0.1317
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,19,0.8974,0.8433,0.459,0.5698,0.3878,0.1369
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,20,0.9059,0.8579,0.4589,0.567,0.3878,0.1422
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,21,0.9144,0.8725,0.4589,0.5642,0.3877,0.1475
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,22,0.9229,0.8872,0.4588,0.5614,0.3876,0.1527
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,23,0.9314,0.9018,0.4588,0.5586,0.3875,0.158
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,24,0.948,0.9164,0.4587,0.5558,0.3874,0.1652
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,25,0.9565,0.931,0.4586,0.553,0.3873,0.1705
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,26,0.965,0.9457,0.4586,0.5502,0.3872,0.1757
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,27,0.9735,0.9603,0.4585,0.5475,0.3871,0.1809
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,28,0.982,0.9749,0.4585,0.5447,0.387,0.1862
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,29,0.9906,0.9896,0.4584,0.5419,0.3869,0.1914
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,30,1.0071,1.0041,0.4584,0.5391,0.3868,0.1987
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,31,1.0156,1.0188,0.4583,0.5363,0.3867,0.2039
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,32,1.0241,1.0334,0.4582,0.5335,0.3866,0.2092
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,33,1.0326,1.0481,0.4582,0.5307,0.3865,0.2145
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,34,1.0412,1.0627,0.4581,0.5279,0.3865,0.2197
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,35,1.0497,1.0773,0.4581,0.5251,0.3864,0.225
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,36,1.0662,1.0919,0.458,0.5223,0.3863,0.2322
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,37,1.0747,1.1065,0.458,0.5195,0.3862,0.2374
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,38,1.0832,1.1212,0.4579,0.5167,0.3861,0.2427
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,39,1.0918,1.1358,0.4579,0.514,0.386,0.2479
IEP2,EFS2,Technocratic Futures Without Accountability Pathway,40,1.1003,1.1504,0.4578,0.5112,0.3859,0.2532
IEP3,EFS3,Corporate Future Capture Pathway,1,0.82,0.5,0.42,0.7,0.358,0.0163
IEP3,EFS3,Corporate Future Capture Pathway,2,0.8287,0.5132,0.4209,0.6988,0.3567,0.0205
IEP3,EFS3,Corporate Future Capture Pathway,3,0.8374,0.5265,0.4218,0.6976,0.3554,0.0246
IEP3,EFS3,Corporate Future Capture Pathway,4,0.8462,0.5397,0.4226,0.6964,0.3541,0.0288
IEP3,EFS3,Corporate Future Capture Pathway,5,0.8549,0.553,0.4235,0.6952,0.3528,0.033
