signal_id,signal_title,domain,signal_type,visibility,ambiguity,structural_connection,domain_diversity,source_diversity,assumption_challenge,strategic_relevance,horizon_scanning_profile,priority_class,affected_groups,description
S8,Climate insurance withdrawal signal,housing_finance,early_indicator,0.48,0.57,0.9,0.82,0.72,0.84,0.91,0.8394,High-priority watchlist,homeowners;renters;local_governments,Insurance market changes may foreshadow housing adaptation fiscal stress and managed retreat debates.
S3,Early geopolitical technology restriction,geopolitics_technology,early_indicator,0.38,0.63,0.86,0.78,0.7,0.86,0.88,0.7996,High-priority watchlist,technology_workers;export_firms;public_agencies,Governments are restricting critical technologies and data flows in ways that may reshape supply chains and innovation systems.
S1,AI public-service accountability concern,technology_governance,weak_signal,0.36,0.66,0.84,0.76,0.68,0.88,0.86,0.7812,High-priority watchlist,public_service_users;disabled_people;low_income_households,Public agencies are experimenting with AI decision support before accountability norms are settled.
S10,Platform moderation governance backlash,digital_public_life,counter_signal,0.44,0.65,0.82,0.76,0.64,0.86,0.83,0.7682,High-priority watchlist,platform_users;journalists;public_officials,Changes in platform governance are producing backlash and raising questions about speech safety and democratic trust.
S6,Emerging climate-tech policy shift,climate_technology,early_indicator,0.34,0.74,0.81,0.72,0.66,0.8,0.84,0.739,High-priority watchlist,communities;regulators;infrastructure_owners,Policy attention is moving from climate-tech adoption to accountability equity and system integration.
S7,Care workforce stress workaround,health_labor,weak_signal,0.31,0.69,0.76,0.66,0.74,0.82,0.8,0.7202,High-priority watchlist,care_workers;families;older_adults,Informal workaround systems are emerging as care institutions struggle with workforce stress.
S2,Community heat-adaptation experiment,urban_climate,emerging_issue,0.29,0.7,0.78,0.7,0.82,0.76,0.74,0.7138,Monitor and cluster,elderly_residents;outdoor_workers;renters,Local groups are creating informal cooling networks and heat-response practices before formal systems adapt.
S9,Youth long-term responsibility claim,culture_governance,weak_signal,0.33,0.72,0.7,0.68,0.86,0.78,0.73,0.7004,Monitor and cluster,youth;future_generations;educators,Youth movements are reframing climate technology and public debt as intergenerational responsibility questions.
S4,Niche governance innovation,public_policy,weak_signal,0.26,0.77,0.64,0.57,0.62,0.68,0.61,0.5728,Exploratory monitoring,local_residents;public_servants;youth,Local institutions are experimenting with deliberative and anticipatory governance tools.
S5,Unusual consumer behavior pattern,markets_culture,emerging_issue,0.41,0.68,0.58,0.49,0.42,0.52,0.55,0.499,Low-priority or background noise,consumers;small_businesses,Small but repeated changes in purchasing and trust behavior may indicate shifting social expectations.
