pathway_id,profile_id,scenario_id,pathway_name,time_step,supply_chain_viability,disruption_exposure,recovery_score
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,1,1.0,0.6648,0.3616
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,2,0.9927,0.6222,0.3968
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,3,0.9892,0.5796,0.432
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,4,0.9897,0.537,0.4672
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,5,0.994,0.4944,0.5024
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,6,1.0022,0.4518,0.5376
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,7,1.0143,0.4092,0.5728
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,8,0.8897,0.375,0.6024
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,9,0.9088,0.3324,0.6376
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,10,0.9319,0.2898,0.6728
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,11,0.9589,0.2472,0.708
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,12,0.9898,0.2046,0.7432
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,13,1.0245,0.162,0.7784
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,14,1.0632,0.1194,0.8136
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,15,1.1057,0.0768,0.8488
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,16,1.0114,0.0426,0.8784
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,17,1.0611,0.0,0.9136
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,18,1.1124,0.0,0.9488
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,19,1.1656,0.0,0.984
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,20,1.2205,0.0,1.0192
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,21,1.2771,0.0,1.0544
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,22,1.3355,0.0,1.0896
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,23,1.3957,0.0,1.1248
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,24,1.3174,0.0,1.1544
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,25,1.3808,0.0,1.1896
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,26,1.446,0.0,1.2248
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,27,1.5129,0.0,1.26
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,28,1.5816,0.0,1.2952
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,29,1.652,0.0,1.3304
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,30,1.7243,0.0,1.3656
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,31,1.7982,0.0,1.4008
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,32,1.7337,0.0,1.4304
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,33,1.8,0.0,1.4656
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,34,1.8,0.0,1.5
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,35,1.8,0.0,1.5
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,36,1.8,0.0,1.5
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,37,1.8,0.0,1.5
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,38,1.8,0.0,1.5
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,39,1.8,0.0,1.5
PW1,SCF1,SF7,Lowest-Cost Fragility Pathway,40,1.7389,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,1,1.0,0.3048,0.7012
PW2,SCF2,SF1,Regional Resilience Pathway,2,1.0466,0.2128,0.7676
PW2,SCF2,SF1,Regional Resilience Pathway,3,1.1012,0.1208,0.834
PW2,SCF2,SF1,Regional Resilience Pathway,4,1.1636,0.0288,0.9004
PW2,SCF2,SF1,Regional Resilience Pathway,5,1.2308,0.0,0.9668
PW2,SCF2,SF1,Regional Resilience Pathway,6,1.3014,0.0,1.0332
PW2,SCF2,SF1,Regional Resilience Pathway,7,1.3752,0.0,1.0996
PW2,SCF2,SF1,Regional Resilience Pathway,8,1.3121,0.0,1.1604
PW2,SCF2,SF1,Regional Resilience Pathway,9,1.3924,0.0,1.2268
PW2,SCF2,SF1,Regional Resilience Pathway,10,1.4759,0.0,1.2932
PW2,SCF2,SF1,Regional Resilience Pathway,11,1.5628,0.0,1.3596
PW2,SCF2,SF1,Regional Resilience Pathway,12,1.6529,0.0,1.426
PW2,SCF2,SF1,Regional Resilience Pathway,13,1.7464,0.0,1.4924
PW2,SCF2,SF1,Regional Resilience Pathway,14,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,15,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,16,1.7539,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,17,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,18,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,19,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,20,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,21,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,22,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,23,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,24,1.7539,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,25,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,26,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,27,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,28,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,29,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,30,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,31,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,32,1.7539,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,33,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,34,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,35,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,36,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,37,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,38,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,39,1.8,0.0,1.5
PW2,SCF2,SF1,Regional Resilience Pathway,40,1.7539,0.0,1.5
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,1,1.0,0.4756,0.5336
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,2,1.0097,0.4068,0.5848
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,3,1.0254,0.338,0.636
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,4,1.0471,0.2692,0.6872
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,5,1.0748,0.2004,0.7384
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,6,1.1085,0.1316,0.7896
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,7,1.1482,0.0628,0.8408
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,8,1.0532,0.0024,0.8864
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,9,1.1009,0.0,0.9376
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,10,1.1511,0.0,0.9888
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,11,1.2039,0.0,1.04
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,12,1.2593,0.0,1.0912
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,13,1.3172,0.0,1.1424
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,14,1.3777,0.0,1.1936
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,15,1.4407,0.0,1.2448
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,16,1.366,0.0,1.2904
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,17,1.4339,0.0,1.3416
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,18,1.5044,0.0,1.3928
PW3,SCF3,SF2,Fragmented Trade Disruption Pathway,19,1.5774,0.0,1.444
