pathway_id,model_id,scenario_id,pathway_name,time_step,democratic_futures_capacity,public_trust,institutional_uptake,tokenism_risk,learning_score
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,1,0.3364,0.44,0.26,0.72,0.36
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,2,0.3884,0.4385,0.2917,0.6848,0.3858
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,3,0.4459,0.4408,0.3239,0.6484,0.4123
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,4,0.5094,0.447,0.3567,0.6106,0.4394
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,5,0.5791,0.4572,0.39,0.5715,0.4672
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,6,0.6553,0.4715,0.4238,0.5311,0.4957
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,7,0.7384,0.4901,0.4582,0.4892,0.5249
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,8,0.8247,0.5108,0.4905,0.4506,0.5529
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,9,0.922,0.5377,0.5261,0.4061,0.5834
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,10,1.0271,0.5692,0.5622,0.3601,0.6147
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,11,1.1405,0.6054,0.599,0.3126,0.6466
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,12,1.2626,0.6464,0.6365,0.2637,0.6794
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,13,1.3936,0.6923,0.6745,0.2132,0.7129
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,14,1.5341,0.7433,0.7133,0.1611,0.7471
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,15,1.6844,0.7995,0.7527,0.1075,0.7822
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,16,1.8,0.8588,0.7902,0.0569,0.8162
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,17,1.8,0.9254,0.831,0.0002,0.8528
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,18,1.8,0.994,0.8726,0.0,0.8903
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,19,1.8,1.0647,0.9149,0.0,0.9286
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,20,1.8,1.1376,0.9579,0.0,0.9677
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,21,1.8,1.2127,1.0018,0.0,1.0078
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,22,1.8,1.29,1.0465,0.0,1.0487
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,23,1.8,1.3696,1.0919,0.0,1.0905
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,24,1.8,1.4,1.1355,0.0,1.1314
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,25,1.8,1.4,1.1827,0.0,1.1751
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,26,1.8,1.4,1.2307,0.0,1.2197
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,27,1.8,1.4,1.2796,0.0,1.2653
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,28,1.8,1.4,1.3294,0.0,1.3119
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,29,1.8,1.4,1.3801,0.0,1.3595
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,30,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,31,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,32,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,33,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,34,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,35,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,36,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,37,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,38,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,39,1.8,1.4,1.4,0.0,1.4
P1,M1,S2,Late-Stage Consultation Under Consultation Theater,40,1.8,1.4,1.4,0.0,1.4
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,1,0.7568,0.62,0.64,0.33,0.82
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,2,0.975,0.7021,0.7213,0.242,0.8844
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,3,1.2108,0.7939,0.8039,0.1508,0.9505
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,4,1.4648,0.8955,0.8878,0.0562,1.0183
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,5,1.7346,1.0048,0.9731,0.0,1.0877
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,6,1.8,1.1183,1.0597,0.0,1.1589
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,7,1.8,1.2363,1.1478,0.0,1.2319
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,8,1.8,1.3569,1.2346,0.0,1.3048
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,9,1.8,1.4,1.3256,0.0,1.3813
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,10,1.8,1.4,1.4,0.0,1.4
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,11,1.8,1.4,1.4,0.0,1.4
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,12,1.8,1.4,1.4,0.0,1.4
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,13,1.8,1.4,1.4,0.0,1.4
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,14,1.8,1.4,1.4,0.0,1.4
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,15,1.8,1.4,1.4,0.0,1.4
P2,M2,S1,Citizen Assembly Democratic Capacity Pathway,16,1.8,1.4,1.4,0.0,1.4
