"strategy_id","strategy_name","strategy_type","time_step","stress","adaptive_capacity","trust","interdependence","distributional_vulnerability","structural_pressure"
"ST1","Continuity Management","continuity",1,0.8552,0.4241,0.4622,0.86,0.8768,0.741
"ST1","Continuity Management","continuity",2,0.8705,0.4282,0.4644,0.86,0.8736,0.7431
"ST1","Continuity Management","continuity",3,0.8857,0.4323,0.4666,0.86,0.8704,0.7453
"ST1","Continuity Management","continuity",4,0.901,0.4364,0.4688,0.86,0.8672,0.7474
"ST1","Continuity Management","continuity",5,0.9163,0.4404,0.471,0.86,0.864,0.7496
"ST1","Continuity Management","continuity",6,0.9316,0.4445,0.4732,0.86,0.8608,0.7518
"ST1","Continuity Management","continuity",7,0.9468,0.4485,0.4754,0.86,0.8576,0.7539
"ST1","Continuity Management","continuity",8,0.9621,0.4526,0.4776,0.86,0.8544,0.7561
"ST1","Continuity Management","continuity",9,0.9774,0.4566,0.4798,0.86,0.8512,0.7583
"ST1","Continuity Management","continuity",10,1,0.4606,0.4808,0.86,0.8486,0.7627
"ST1","Continuity Management","continuity",11,1,0.4647,0.483,0.86,0.8454,0.7609
"ST1","Continuity Management","continuity",12,1,0.4687,0.4852,0.86,0.8422,0.7591
"ST1","Continuity Management","continuity",13,1,0.4727,0.4874,0.86,0.839,0.7573
"ST1","Continuity Management","continuity",14,1,0.4767,0.4896,0.86,0.8358,0.7555
"ST1","Continuity Management","continuity",15,1,0.4806,0.4918,0.86,0.8326,0.7537
"ST1","Continuity Management","continuity",16,1,0.4846,0.494,0.86,0.8294,0.752
"ST1","Continuity Management","continuity",17,1,0.4886,0.4962,0.86,0.8262,0.7502
"ST1","Continuity Management","continuity",18,1,0.4926,0.4984,0.86,0.823,0.7484
"ST1","Continuity Management","continuity",19,1,0.4965,0.5006,0.86,0.8198,0.7466
"ST1","Continuity Management","continuity",20,1,0.5005,0.5016,0.86,0.8172,0.7452
"ST1","Continuity Management","continuity",21,1,0.5044,0.5038,0.86,0.814,0.7434
"ST1","Continuity Management","continuity",22,1,0.5083,0.506,0.86,0.8108,0.7416
"ST1","Continuity Management","continuity",23,1,0.5123,0.5082,0.86,0.8076,0.7398
"ST1","Continuity Management","continuity",24,1,0.5162,0.5104,0.86,0.8044,0.7381
"ST1","Continuity Management","continuity",25,1,0.5201,0.5126,0.86,0.8012,0.7363
"ST1","Continuity Management","continuity",26,1,0.524,0.5148,0.86,0.798,0.7345
"ST1","Continuity Management","continuity",27,1,0.5279,0.517,0.86,0.7948,0.7328
"ST1","Continuity Management","continuity",28,1,0.5318,0.5192,0.86,0.7916,0.731
"ST1","Continuity Management","continuity",29,1,0.5356,0.5214,0.86,0.7884,0.7293
"ST1","Continuity Management","continuity",30,1,0.5395,0.5224,0.86,0.7858,0.7278
"ST1","Continuity Management","continuity",31,1,0.5434,0.5246,0.86,0.7826,0.726
"ST1","Continuity Management","continuity",32,1,0.5472,0.5268,0.86,0.7794,0.7243
"ST1","Continuity Management","continuity",33,1,0.5511,0.529,0.86,0.7762,0.7225
"ST1","Continuity Management","continuity",34,1,0.5549,0.5312,0.86,0.773,0.7208
"ST1","Continuity Management","continuity",35,1,0.5587,0.5334,0.86,0.7698,0.719
"ST1","Continuity Management","continuity",36,1,0.5625,0.5356,0.86,0.7666,0.7173
"ST1","Continuity Management","continuity",37,1,0.5664,0.5378,0.86,0.7634,0.7155
"ST1","Continuity Management","continuity",38,1,0.5702,0.54,0.86,0.7602,0.7138
"ST1","Continuity Management","continuity",39,1,0.574,0.5422,0.86,0.757,0.7121
"ST1","Continuity Management","continuity",40,1,0.5778,0.5432,0.86,0.7544,0.7106
"ST2","Resilience Investment Portfolio","resilience",1,0.8478,0.4326,0.4672,0.86,0.8712,0.7354
"ST2","Resilience Investment Portfolio","resilience",2,0.8556,0.445,0.4743,0.86,0.8623,0.7319
"ST2","Resilience Investment Portfolio","resilience",3,0.8635,0.4575,0.4815,0.86,0.8535,0.7286
"ST2","Resilience Investment Portfolio","resilience",4,0.8715,0.4698,0.4886,0.86,0.8446,0.7252
"ST2","Resilience Investment Portfolio","resilience",5,0.8796,0.4821,0.4958,0.86,0.8358,0.7219
