indicator_id,domain,indicator_name,baseline,current_value,threshold_value,threshold_gap,threshold_breached,review_frequency,review_weight,warning_owner,trigger_priority_score,trigger_rule,response_protocol_id
I1,climate_health,heat_health_burden_index,0.48,0.68,0.66,0.02,True,quarterly,0.88,Climate Health Foresight Cell,0.712,Escalate if index exceeds threshold for one review cycle,RP1
I4,infrastructure,infrastructure_backlog_risk_index,0.52,0.7,0.68,0.02,True,semiannual,0.68,Infrastructure Stewardship Office,0.697,Escalate if backlog risk exceeds threshold,RP4
I9,geopolitical_supply,supply_security_disruption_index,0.38,0.59,0.58,0.01,True,quarterly,0.88,Supply Security Intelligence Cell,0.6875,Escalate if supply disruption exceeds threshold,RP9
I6,food_water_ecology,food_water_ecology_stress_index,0.48,0.65,0.64,0.01,True,semiannual,0.68,Regional Ecological Governance Group,0.6825,Escalate if ecological stress exceeds threshold,RP6
I7,institutional_trust,trust_divergence_index,0.42,0.6,0.58,0.02,True,semiannual,0.68,Public Legitimacy Review Board,0.672,Escalate if trust divergence exceeds threshold,RP7
I2,ai_governance,public_ai_appeal_failure_rate,0.28,0.46,0.44,0.02,True,quarterly,0.88,Digital Accountability Office,0.657,Pause review if appeal failures exceed threshold,RP2
I5,energy_systems,energy_burden_grid_stress_index,0.46,0.63,0.64,-0.01,False,quarterly,0.88,Energy Resilience Office,0.2455,Review if stress is within warning band,RP5
I3,care_systems,care_workforce_strain_index,0.5,0.62,0.66,-0.04,False,quarterly,0.88,Care Systems Resilience Unit,0.243,Prepare escalation if strain approaches threshold,RP3
I8,public_finance,fiscal_resilience_gap_index,0.44,0.61,0.62,-0.01,False,quarterly,0.88,Public Finance Strategy Unit,0.2405,Review if fiscal gap approaches threshold,RP8
I10,education_civic_capacity,anticipatory_learning_gap_index,0.4,0.56,0.6,-0.04,False,annual,0.48,Civic Learning Foresight Group,0.188,Review if learning gap approaches threshold,RP10
