interaction_id,source_domain,target_domain,relationship_type,influence_weight,delay_risk,cascade_potential,cascade_warning_score,description
X1,climate_health,energy_systems,reinforces,0.84,0.58,0.86,0.7106,Heat stress increases energy demand and grid stress.
X8,public_finance,infrastructure,constrains,0.8,0.7,0.86,0.7008,Fiscal stress constrains maintenance and resilience investment.
X3,climate_health,care_systems,reinforces,0.82,0.54,0.8,0.6683,Heat exposure increases care and health workload.
X6,infrastructure,energy_systems,reinforces,0.78,0.62,0.84,0.6622,Infrastructure backlog increases energy-system fragility.
X2,energy_systems,climate_health,reinforces,0.78,0.5,0.82,0.6334,Grid stress worsens heat-health exposure.
X7,food_water_ecology,public_finance,pressures,0.72,0.66,0.8,0.6084,Ecological stress increases public emergency spending.
X5,ai_governance,institutional_trust,affects_legitimacy,0.76,0.44,0.78,0.5951,AI accountability failures reduce institutional trust.
X9,geopolitical_supply,energy_systems,constrains,0.74,0.48,0.78,0.5868,Supply disruption affects grid equipment and energy transition inputs.
X4,care_systems,institutional_trust,affects_legitimacy,0.7,0.52,0.72,0.5474,Care-system failure erodes trust in public institutions.
X10,institutional_trust,ai_governance,conditions,0.68,0.5,0.7,0.5236,Trust conditions public acceptance of AI governance reforms.
