pathway_id,profile_id,scenario_id,pathway_name,time_step,population,demographic_stress,care_stress,mobility_pressure,adaptive_capacity
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,1,10000000.0,0.57,0.6952,0.5148,0.36
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,2,10000000.0,0.6198,0.724,0.5216,0.3575
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,3,10000000.0,0.6707,0.7528,0.5284,0.3529
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,4,10000000.0,0.7229,0.7816,0.5352,0.3462
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,5,10000000.0,0.7764,0.8104,0.542,0.3373
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,6,10000000.0,0.8314,0.8392,0.5488,0.3262
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,7,10000000.0,0.8878,0.868,0.5556,0.3128
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,8,9981400.0,0.9459,0.8968,0.5624,0.2971
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,9,9981400.0,1.0056,0.9256,0.5692,0.279
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,10,9996571.73,1.0673,0.9544,0.58,0.2585
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,11,9996571.73,1.1309,0.9832,0.5868,0.2355
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,12,9996571.73,1.1965,1.015,0.5936,0.2099
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,13,9996571.73,1.2642,1.0438,0.6004,0.1817
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,14,9996571.73,1.3342,1.0726,0.6072,0.1508
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,15,9996571.73,1.4064,1.1014,0.614,0.1172
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,16,9977978.1,1.481,1.1302,0.6208,0.0808
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,17,9977978.1,1.5582,1.159,0.6276,0.0415
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,18,9977978.1,1.638,1.1878,0.6344,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,19,9977978.1,1.7205,1.2166,0.6412,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,20,9993144.63,1.8,1.2454,0.652,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,21,9993144.63,1.8,1.2742,0.6588,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,22,9993144.63,1.8,1.303,0.6656,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,23,9993144.63,1.8,1.3318,0.6724,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,24,9974557.38,1.8,1.3636,0.6792,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,25,9974557.38,1.8,1.3924,0.686,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,26,9974557.38,1.8,1.4212,0.6928,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,27,9974557.38,1.8,1.45,0.6996,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,28,9974557.38,1.8,1.4788,0.7064,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,29,9974557.38,1.8,1.5076,0.7132,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,30,9989718.71,1.8,1.5364,0.724,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,31,9989718.71,1.8,1.5652,0.7308,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,32,9971137.83,1.8,1.594,0.7376,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,33,9971137.83,1.8,1.6228,0.7444,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,34,9971137.83,1.8,1.6516,0.7512,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,35,9971137.83,1.8,1.6804,0.758,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,36,9971137.83,1.8,1.7122,0.7648,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,37,9971137.83,1.8,1.741,0.7716,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,38,9971137.83,1.8,1.7698,0.7784,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,39,9971137.83,1.8,1.7986,0.7852,0.0
ADP1,MDF1,MDS1,Aging Without Care Reform Pathway,40,9967747.65,1.8,1.8,0.796,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,1,10000000.0,0.5564,0.5672,0.612,0.4
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,2,10110000.0,0.6015,0.568,0.6288,0.4042
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,3,10221210.0,0.647,0.5688,0.6456,0.407
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,4,10333643.31,0.6928,0.5696,0.6624,0.4084
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,5,10447313.39,0.7392,0.5704,0.6792,0.4084
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,6,10562233.83,0.7861,0.5712,0.696,0.407
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,7,10678418.41,0.8335,0.572,0.7128,0.4042
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,8,10772815.62,0.8816,0.5728,0.7296,0.3999
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,9,10891316.6,0.9304,0.5736,0.7464,0.3941
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,10,11032032.41,0.9801,0.5744,0.7672,0.3868
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,11,11153384.76,1.0306,0.5752,0.784,0.378
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,12,11276072.0,1.0821,0.579,0.8008,0.3675
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,13,11400108.79,1.1345,0.5798,0.8176,0.3555
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,14,11525509.98,1.188,0.5806,0.8344,0.3419
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,15,11652290.59,1.2425,0.5814,0.8512,0.3266
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,16,11755296.84,1.2981,0.5822,0.868,0.3096
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,17,11884605.11,1.355,0.583,0.8848,0.2909
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,18,12015335.76,1.4131,0.5838,0.9016,0.2704
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,19,12147504.46,1.4726,0.5846,0.9184,0.2481
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,20,12304450.22,1.5336,0.5854,0.9392,0.224
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,21,12439799.17,1.5961,0.5862,0.956,0.198
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,22,12576636.96,1.6601,0.587,0.9728,0.1701
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,23,12714979.97,1.7259,0.5878,0.9896,0.1401
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,24,12827380.39,1.7934,0.5916,1.0064,0.1081
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,25,12968481.57,1.8,0.5924,1.0232,0.0758
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,26,13111134.87,1.8,0.5932,1.04,0.0436
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,27,13255357.35,1.8,0.594,1.0568,0.0113
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,28,13401166.28,1.8,0.5948,1.0736,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,29,13548579.11,1.8,0.5956,1.0904,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,30,13723626.76,1.8,0.5964,1.1112,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,31,13874586.65,1.8,0.5972,1.128,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,32,13997238.0,1.8,0.598,1.1448,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,33,14151207.61,1.8,0.5988,1.1616,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,34,14306870.9,1.8,0.5996,1.1784,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,35,14464246.48,1.8,0.6004,1.1952,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,36,14623353.19,1.8,0.6042,1.212,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,37,14784210.07,1.8,0.605,1.2288,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,38,14946836.38,1.8,0.6058,1.2456,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,39,15111251.58,1.8,0.6066,1.2624,0.0
ADP2,MDF2,MDS2,Youth Potential Without Opportunity Pathway,40,15273848.65,1.8,0.6074,1.2832,0.0
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,1,10000000.0,0.448,0.4596,0.4352,0.66
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,2,10070000.0,0.4686,0.4456,0.4262,0.6934
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,3,10140490.0,0.4871,0.4316,0.4172,0.7266
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,4,10211473.43,0.5036,0.4176,0.4082,0.7595
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,5,10282953.74,0.5181,0.4036,0.3992,0.7923
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,6,10354934.42,0.5306,0.3896,0.3902,0.825
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,7,10427418.96,0.5411,0.3756,0.3812,0.8577
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,8,10481641.54,0.5496,0.3616,0.3722,0.8903
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,9,10555013.03,0.5561,0.3476,0.3632,0.9231
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,10,10646630.54,0.5607,0.3336,0.3582,0.956
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,11,10721156.96,0.5634,0.3196,0.3492,0.9891
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,12,10796205.06,0.5641,0.3086,0.3402,1.0224
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,13,10871778.49,0.5627,0.2946,0.3312,1.056
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,14,10947880.94,0.5594,0.2806,0.3222,1.0901
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,15,11024516.11,0.554,0.2666,0.3132,1.1245
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,16,11081843.59,0.5465,0.2526,0.3042,1.1595
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,17,11159416.5,0.5369,0.2386,0.2952,1.195
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,18,11237532.41,0.5253,0.2246,0.2862,1.2311
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,19,11316195.14,0.5115,0.2106,0.2772,1.268
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,20,11414419.71,0.4956,0.1966,0.2722,1.3056
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,21,11494320.65,0.4776,0.1826,0.2632,1.344
ADP3,MDF3,MDS3,Rights-Based Migration Renewal Pathway,22,11574780.9,0.4573,0.1686,0.2542,1.3833
