"pathway_id","focal_id","goal","actor_id","desired_impact","deliverable","indicator","traceability_score","equity_relevance","implementation_feasibility","impact_pathway_score"
"IP6","F1","Reduce heat-related vulnerability in exposed neighborhoods","A6","Increase trusted local preparedness and mutual aid capacity","Community cooling network support","trusted_cooling_network_coverage",0.88,0.94,0.82,0.88
"IP9","F2","Ensure public AI accountability before deployment scales","A9","Increase appeal access and reduce automated decision harms","Public AI appeal rights system","appeal_access_success_rate",0.88,0.96,0.7,0.85
"IP7","F2","Ensure public AI accountability before deployment scales","A7","Require auditability due process and human review before procurement","AI procurement accountability standard","high_risk_ai_procurement_compliance",0.86,0.9,0.78,0.848
"IP10","F2","Ensure public AI accountability before deployment scales","A10","Strengthen independent oversight of public-sector AI","Algorithmic accountability review process","rights_review_completion_rate",0.84,0.92,0.76,0.84
"IP1","F1","Reduce heat-related vulnerability in exposed neighborhoods","A1","Coordinate adaptation investments across housing health energy and infrastructure","Neighborhood adaptation portfolio","adaptation_investment_coverage",0.84,0.88,0.76,0.828
"IP3","F1","Reduce heat-related vulnerability in exposed neighborhoods","A3","Protect vulnerable households from cooling-related shutoffs","Utility protection standard","cooling_access_protection_rate",0.82,0.92,0.74,0.826
"IP2","F1","Reduce heat-related vulnerability in exposed neighborhoods","A2","Detect heat illness earlier and coordinate targeted response","Heat-health monitoring protocol","heat_illness_detection_time",0.8,0.9,0.78,0.824
"IP4","F1","Reduce heat-related vulnerability in exposed neighborhoods","A4","Reduce outdoor worker exposure during heat events","Heat labor safety rule","outdoor_worker_exposure_hours",0.78,0.88,0.7,0.786
"IP5","F1","Reduce heat-related vulnerability in exposed neighborhoods","A5","Improve safe cooling conditions in rental housing","Cooling retrofit grant","safe_cooling_housing_share",0.8,0.86,0.68,0.782
"IP8","F2","Ensure public AI accountability before deployment scales","A8","Protect worker discretion and clarify human accountability","Caseworker AI workflow protocol","worker_accountability_clarity_index",0.78,0.82,0.72,0.774
