pathway_id,profile_id,scenario_id,pathway_name,time_step,extraction_burden,community_voice,external_control,ecological_harm,local_benefit,reparative_capacity,consent_quality,sovereignty_recognition,legitimacy
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,1,0.84,0.32,0.82,0.76,0.38,0.24,0.34,0.3,0.0906
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,2,0.8398,0.3131,0.8192,0.7689,0.3812,0.2392,0.341,0.3012,0.0894
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,3,0.8396,0.3063,0.8185,0.7778,0.3824,0.2383,0.342,0.3024,0.0881
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,4,0.8395,0.2994,0.8179,0.7867,0.3835,0.2374,0.3429,0.3035,0.0868
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,5,0.8396,0.2925,0.8174,0.7956,0.3844,0.2364,0.3437,0.3045,0.0854
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,6,0.8397,0.2857,0.817,0.8046,0.3853,0.2353,0.3445,0.3055,0.084
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,7,0.8579,0.2787,0.8169,0.8137,0.3861,0.234,0.3451,0.3063,0.081
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,8,0.8583,0.2717,0.8169,0.8229,0.3868,0.2326,0.3457,0.3071,0.0793
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,9,0.8587,0.2847,0.8167,0.8321,0.3877,0.2314,0.3464,0.3081,0.0814
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,10,0.859,0.2777,0.8166,0.8413,0.3884,0.2302,0.3471,0.3089,0.0798
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,11,0.8593,0.2707,0.8167,0.8505,0.4071,0.2468,0.3477,0.3099,0.0839
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,12,0.8596,0.264,0.8166,0.8594,0.4078,0.2454,0.3483,0.3107,0.0824
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,13,0.86,0.2472,0.8268,0.8685,0.4083,0.2437,0.3486,0.3113,0.0781
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,14,0.8787,0.2402,0.8273,0.8778,0.4086,0.2418,0.3488,0.3118,0.0747
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,15,0.8796,0.2331,0.8279,0.8872,0.4089,0.2397,0.3489,0.3123,0.0726
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,16,0.8806,0.226,0.8287,0.8965,0.409,0.2376,0.3489,0.3126,0.0704
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,17,0.8817,0.2189,0.8296,0.906,0.409,0.2354,0.3488,0.3128,0.0682
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,18,0.883,0.2317,0.8303,0.9155,0.4092,0.2333,0.3489,0.3131,0.0696
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,19,0.8841,0.2245,0.8311,0.925,0.4092,0.2311,0.3488,0.3134,0.0674
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,20,0.8854,0.2173,0.8321,0.9346,0.4091,0.2288,0.3486,0.3135,0.065
ACF1,CFP1,CFS1,Green Extraction Continuity Pathway,21,0.9048,0.2098,0.8335,0.9445,0.409,0.2262,0.3484,0.3135,0.0611
