pathway_id,scenario_id,pathway_name,time_step,digital_public_value,platform_dependency_pressure,accountability_capacity
PW1,S1,Platform Enclosure Pathway,1,0.6,0.742,0.26
PW1,S1,Platform Enclosure Pathway,2,0.448,1.3678,0.2508
PW1,S1,Platform Enclosure Pathway,3,0.2827,1.8,0.2416
PW1,S1,Platform Enclosure Pathway,4,0.117,1.8,0.2324
PW1,S1,Platform Enclosure Pathway,5,0.0,1.8,0.2232
PW1,S1,Platform Enclosure Pathway,6,0.0,1.8,0.214
PW1,S1,Platform Enclosure Pathway,7,0.0,1.8,0.2048
PW1,S1,Platform Enclosure Pathway,8,0.0,1.8,0.1956
PW1,S1,Platform Enclosure Pathway,9,0.0,1.8,0.1864
PW1,S1,Platform Enclosure Pathway,10,0.0,1.8,0.1772
PW1,S1,Platform Enclosure Pathway,11,0.0,1.8,0.168
PW1,S1,Platform Enclosure Pathway,12,0.0,1.8,0.1588
PW1,S1,Platform Enclosure Pathway,13,0.0,1.8,0.1496
PW1,S1,Platform Enclosure Pathway,14,0.0,1.8,0.1404
PW1,S1,Platform Enclosure Pathway,15,0.0,1.8,0.1312
PW1,S1,Platform Enclosure Pathway,16,0.0,1.8,0.122
PW1,S1,Platform Enclosure Pathway,17,0.0,1.8,0.1128
PW1,S1,Platform Enclosure Pathway,18,0.0,1.8,0.1036
PW1,S1,Platform Enclosure Pathway,19,0.0,1.8,0.0944
PW1,S1,Platform Enclosure Pathway,20,0.0,1.8,0.0852
PW1,S1,Platform Enclosure Pathway,21,0.0,1.8,0.076
PW1,S1,Platform Enclosure Pathway,22,0.0,1.8,0.0668
PW1,S1,Platform Enclosure Pathway,23,0.0,1.8,0.0576
PW1,S1,Platform Enclosure Pathway,24,0.0,1.8,0.0484
PW1,S1,Platform Enclosure Pathway,25,0.0,1.8,0.0392
PW1,S1,Platform Enclosure Pathway,26,0.0,1.8,0.03
PW1,S1,Platform Enclosure Pathway,27,0.0,1.8,0.0208
PW1,S1,Platform Enclosure Pathway,28,0.0,1.8,0.0116
PW1,S1,Platform Enclosure Pathway,29,0.0,1.8,0.0024
PW1,S1,Platform Enclosure Pathway,30,0.0,1.8,0.0
PW1,S1,Platform Enclosure Pathway,31,0.0,1.8,0.0
PW1,S1,Platform Enclosure Pathway,32,0.0,1.8,0.0
PW1,S1,Platform Enclosure Pathway,33,0.0,1.8,0.0
PW1,S1,Platform Enclosure Pathway,34,0.0,1.8,0.0
PW1,S1,Platform Enclosure Pathway,35,0.0,1.8,0.0
PW1,S1,Platform Enclosure Pathway,36,0.0,1.8,0.0
PW1,S1,Platform Enclosure Pathway,37,0.0,1.8,0.0
