"signal_id","driver_id","signal_name","signal_type","novelty","relevance","urgency","evidence_quality","affected_voice","interpretation","signal_priority_score"
"S1","D1","More frequent compound heat and storm events","climate_signal",0.56,0.92,0.88,0.86,0.64,"Compound climate hazards are becoming central to planning assumptions.",0.805
"S6","D6","Regional water conflict and biodiversity stress","ecology_signal",0.68,0.88,0.8,0.74,0.66,"Food water and ecological systems are becoming more tightly coupled.",0.776
"S3","D3","Public complaints about automated eligibility decisions","accountability_signal",0.7,0.84,0.78,0.72,0.76,"AI accountability capacity may lag deployment.",0.774
"S4","D4","Peak-load strain and energy-burden growth","infrastructure_signal",0.6,0.86,0.82,0.8,0.66,"Energy affordability and reliability risks are converging.",0.772
"S10","D10","Public finance stress after repeated emergencies","fiscal_signal",0.62,0.88,0.84,0.72,0.62,"Emergency costs may crowd out preventive investment.",0.768
"S2","D2","Trust divergence across communities","legitimacy_signal",0.66,0.86,0.78,0.68,0.72,"Trust is uneven and may fracture further under service failures.",0.762
"S7","D7","Maintenance backlog and public-service interruptions","infrastructure_signal",0.54,0.84,0.84,0.82,0.58,"Deferred maintenance is moving from hidden risk to visible failure.",0.753
"S5","D5","Care-worker exits and staffing shortages","labor_signal",0.58,0.82,0.76,0.78,0.72,"Care capacity is weakening under demographic and workforce pressure.",0.748
"S9","D9","Supply disruptions for strategic materials","geopolitical_signal",0.72,0.84,0.8,0.66,0.54,"Geopolitical fragmentation may create material bottlenecks.",0.74
"S8","D8","Student disengagement with future relevance","learning_signal",0.68,0.74,0.66,0.6,0.74,"Education may be misaligned with future uncertainty and civic capability.",0.69
