driver_id,driver_name,domain,driver_type,impact,uncertainty,urgency,interaction_strength,distributional_burden,monitoring_feasibility,evidence_strength,controllability,driver_priority_score,matrix_quadrant,axis_suitability_score,description
D1,Climate exposure and compound hazards,environmental,structural_driver,0.92,0.62,0.88,0.9,0.92,0.78,0.86,0.42,0.8232,Baseline structural driver,0.3444,Increasing compound climate hazards affect housing health infrastructure energy and migration.
D10,Public finance and fiscal capacity,economic_governance,critical_uncertainty,0.9,0.76,0.82,0.86,0.84,0.78,0.72,0.6,0.8076,Critical uncertainty,0.3304,Fiscal capacity may enable resilience investment or constrain adaptation under austerity.
D6,Regional food-water-ecology stress,ecological_systems,critical_uncertainty,0.88,0.74,0.8,0.88,0.88,0.68,0.74,0.38,0.806,Critical uncertainty,0.2884,Water stress biodiversity loss food production and land-use conflict may create cascading regional risks.
D2,Public trust and institutional legitimacy,political_institutional,critical_uncertainty,0.88,0.82,0.8,0.84,0.84,0.7,0.68,0.54,0.8032,Critical uncertainty,0.2885,Trust may recover fragment or collapse depending on accountability performance and public voice.
D4,Energy affordability and grid resilience,energy_infrastructure,structural_driver,0.86,0.7,0.82,0.86,0.86,0.82,0.8,0.58,0.798,Baseline structural driver,0.3396,Energy burden and grid stress interact with climate exposure electrification and public trust.
D9,Geopolitical fragmentation and supply security,geopolitics,critical_uncertainty,0.86,0.8,0.78,0.84,0.76,0.7,0.66,0.34,0.7892,Critical uncertainty,0.267,Conflict sanctions trade fragmentation and supply-chain disruptions may reshape strategic options.
D3,Public-sector AI accountability capacity,technology_governance,critical_uncertainty,0.84,0.78,0.78,0.76,0.88,0.74,0.72,0.62,0.7796,Critical uncertainty,0.2653,AI deployment may outpace audit appeal rights procurement standards and institutional oversight.
D5,Care workforce capacity,health_labor,structural_driver,0.82,0.66,0.76,0.78,0.9,0.76,0.78,0.48,0.7644,Baseline structural driver,0.2502,Care labor capacity affects public health aging resilience and household vulnerability.
D7,Infrastructure maintenance backlog,infrastructure,structural_driver,0.84,0.58,0.84,0.82,0.82,0.8,0.82,0.56,0.7624,Baseline structural driver,0.2621,Deferred maintenance creates hidden fragility across public systems and long-lived assets.
D8,Futures literacy and civic capability,education_civic_capacity,watchlist_uncertainty,0.74,0.7,0.66,0.72,0.76,0.62,0.6,0.52,0.692,Lower-priority factor,0.1387,Learning systems may or may not build the civic and anticipatory capacity needed for uncertainty.
