task_id,occupation_id,task_name,task_category,weighted_automation_exposure,weighted_augmentation_score,task_substitution_pressure,description
T13,O7,Picking packing and movement,routine_physical,0.2172,0.1512,0.1416,Warehouse work faces robotics and high monitoring exposure.
T11,O6,Machine operation and repetitive assembly,routine_physical,0.1971,0.1591,0.1175,Robotics and monitoring are strong in structured production settings.
T9,O5,Task acceptance and route execution,platform_coordination,0.1518,0.1238,0.0899,Platform systems coordinate tasks through algorithmic management.
T1,O1,Document processing and routine correspondence,routine_cognitive,0.1357,0.1406,0.0654,Routine administrative documentation is highly exposed to AI and workflow automation.
T12,O6,Quality control and exception handling,technical_judgment,0.1169,0.1531,0.0404,AI can assist quality control while humans handle exceptions.
T6,O3,Documentation and compliance reporting,administrative_care,0.1011,0.1238,0.0392,AI documentation tools may reduce burden or increase reporting expectations.
T2,O1,Scheduling and coordination,coordination,0.0868,0.1091,0.0322,Scheduling can be automated but still requires judgment in complex organizations.
T10,O5,Customer interaction and service delivery,service_interaction,0.0956,0.1333,0.029,Service delivery combines human presence with platform scoring.
T3,O2,Inspection and diagnosis,technical_judgment,0.1037,0.1606,0.0234,AI tools can support diagnosis while human skill remains central.
T7,O4,Research synthesis and drafting,knowledge_work,0.1238,0.2007,0.0234,Generative AI strongly affects drafting analysis and synthesis tasks.
T14,O7,Exception handling and safety judgment,operational_judgment,0.0638,0.0918,0.0179,Human judgment remains crucial in unsafe or unexpected conditions.
T4,O2,Repair and installation,embodied_physical,0.1064,0.1918,0.0105,Physical work remains context-dependent and locally adaptive.
T15,O8,Lesson planning and feedback,education_cognitive,0.0955,0.1721,0.0095,AI can assist planning and feedback while teachers retain pedagogical judgment.
T5,O3,Emotional and relational care,care_relational,0.0628,0.1383,-0.0064,Care relationships are poorly substitutable even if supported by tools.
T8,O4,Strategic judgment and stakeholder negotiation,strategic_judgment,0.0501,0.141,-0.0204,Strategic judgment remains deeply human and institutional.
T16,O8,Classroom relationship and developmental support,education_relational,0.0449,0.1536,-0.0319,Human relationships remain central to learning and development.
