pathway_id,occupation_id,pathway_name,time_step,job_quality,transition_risk,skill_mobility
P1,O1,Administrative Support Automation Pathway,1,0.62,0.4524,0.42
P1,O1,Administrative Support Automation Pathway,2,0.5874,0.507,0.4394
P1,O1,Administrative Support Automation Pathway,3,0.5548,0.5561,0.4588
P1,O1,Administrative Support Automation Pathway,4,0.5222,0.6003,0.4782
P1,O1,Administrative Support Automation Pathway,5,0.4896,0.64,0.4976
P1,O1,Administrative Support Automation Pathway,6,0.457,0.6758,0.517
P1,O1,Administrative Support Automation Pathway,7,0.4244,0.708,0.5364
P1,O1,Administrative Support Automation Pathway,8,0.3918,0.737,0.5558
P1,O1,Administrative Support Automation Pathway,9,0.3592,0.7631,0.5752
P1,O1,Administrative Support Automation Pathway,10,0.2966,0.8466,0.5946
P1,O1,Administrative Support Automation Pathway,11,0.264,0.8618,0.614
P1,O1,Administrative Support Automation Pathway,12,0.2314,0.8754,0.6334
P1,O1,Administrative Support Automation Pathway,13,0.1988,0.8876,0.6528
P1,O1,Administrative Support Automation Pathway,14,0.1662,0.8987,0.6722
P1,O1,Administrative Support Automation Pathway,15,0.1336,0.9086,0.6916
P1,O1,Administrative Support Automation Pathway,16,0.101,0.9176,0.711
P1,O1,Administrative Support Automation Pathway,17,0.0684,0.9256,0.7304
P1,O1,Administrative Support Automation Pathway,18,0.0358,0.9328,0.7498
P1,O1,Administrative Support Automation Pathway,19,0.0032,0.9394,0.7692
P1,O1,Administrative Support Automation Pathway,20,0.0,1.0052,0.7886
P1,O1,Administrative Support Automation Pathway,21,0.0,1.0045,0.808
P1,O1,Administrative Support Automation Pathway,22,0.0,1.0038,0.8274
P1,O1,Administrative Support Automation Pathway,23,0.0,1.0033,0.8468
P1,O1,Administrative Support Automation Pathway,24,0.0,1.0027,0.8662
P1,O1,Administrative Support Automation Pathway,25,0.0,1.0023,0.8856
P1,O1,Administrative Support Automation Pathway,26,0.0,1.0018,0.905
P1,O1,Administrative Support Automation Pathway,27,0.0,1.0015,0.9244
P1,O1,Administrative Support Automation Pathway,28,0.0,1.0011,0.9438
P1,O1,Administrative Support Automation Pathway,29,0.0,1.0008,0.9632
P1,O1,Administrative Support Automation Pathway,30,0.0,1.0605,0.9826
P1,O1,Administrative Support Automation Pathway,31,0.0,1.0543,1.002
P1,O1,Administrative Support Automation Pathway,32,0.0,1.0486,1.0214
P1,O1,Administrative Support Automation Pathway,33,0.0,1.0436,1.0408
P1,O1,Administrative Support Automation Pathway,34,0.0,1.039,1.0602
P1,O1,Administrative Support Automation Pathway,35,0.0,1.0349,1.0796
P1,O1,Administrative Support Automation Pathway,36,0.0,1.0312,1.099
P1,O1,Administrative Support Automation Pathway,37,0.0,1.0279,1.1184
P1,O1,Administrative Support Automation Pathway,38,0.0,1.0249,1.1378
P1,O1,Administrative Support Automation Pathway,39,0.0,1.0222,1.1572
P1,O1,Administrative Support Automation Pathway,40,0.0,1.0798,1.1766
P2,O2,Skilled Trades Augmentation Pathway,1,0.68,0.168,0.6
P2,O2,Skilled Trades Augmentation Pathway,2,0.713,0.1992,0.6362
P2,O2,Skilled Trades Augmentation Pathway,3,0.746,0.2273,0.6724
P2,O2,Skilled Trades Augmentation Pathway,4,0.779,0.2526,0.7086
P2,O2,Skilled Trades Augmentation Pathway,5,0.812,0.2753,0.7448
P2,O2,Skilled Trades Augmentation Pathway,6,0.845,0.2958,0.781
P2,O2,Skilled Trades Augmentation Pathway,7,0.878,0.3142,0.8172
P2,O2,Skilled Trades Augmentation Pathway,8,0.911,0.3308,0.8534
P2,O2,Skilled Trades Augmentation Pathway,9,0.944,0.3457,0.8896
P2,O2,Skilled Trades Augmentation Pathway,10,0.947,0.4191,0.9258
P2,O2,Skilled Trades Augmentation Pathway,11,0.98,0.4252,0.962
P2,O2,Skilled Trades Augmentation Pathway,12,1.013,0.4307,0.9982
P2,O2,Skilled Trades Augmentation Pathway,13,1.046,0.4356,1.0344
P2,O2,Skilled Trades Augmentation Pathway,14,1.079,0.4401,1.0706
P2,O2,Skilled Trades Augmentation Pathway,15,1.112,0.4441,1.1068
P2,O2,Skilled Trades Augmentation Pathway,16,1.145,0.4476,1.143
