pathway_id,technology_id,pathway_name,time_step,trajectory_strength
P1,T1,High-Capability Low-Governance AI,1,1.0
P1,T1,High-Capability Low-Governance AI,2,1.0245
P1,T1,High-Capability Low-Governance AI,3,1.049
P1,T1,High-Capability Low-Governance AI,4,1.0735
P1,T1,High-Capability Low-Governance AI,5,1.098
P1,T1,High-Capability Low-Governance AI,6,1.1225
P1,T1,High-Capability Low-Governance AI,7,1.147
P1,T1,High-Capability Low-Governance AI,8,1.1715
P1,T1,High-Capability Low-Governance AI,9,1.182
P1,T1,High-Capability Low-Governance AI,10,1.2065
P1,T1,High-Capability Low-Governance AI,11,1.231
P1,T1,High-Capability Low-Governance AI,12,1.2555
P1,T1,High-Capability Low-Governance AI,13,1.24
P1,T1,High-Capability Low-Governance AI,14,1.2245
P1,T1,High-Capability Low-Governance AI,15,1.209
P1,T1,High-Capability Low-Governance AI,16,1.1935
P1,T1,High-Capability Low-Governance AI,17,1.178
P1,T1,High-Capability Low-Governance AI,18,1.1485
P1,T1,High-Capability Low-Governance AI,19,1.133
P1,T1,High-Capability Low-Governance AI,20,1.1175
P1,T1,High-Capability Low-Governance AI,21,1.102
P1,T1,High-Capability Low-Governance AI,22,1.0865
P1,T1,High-Capability Low-Governance AI,23,1.071
P1,T1,High-Capability Low-Governance AI,24,1.0555
P1,T1,High-Capability Low-Governance AI,25,1.04
P1,T1,High-Capability Low-Governance AI,26,1.0245
P1,T1,High-Capability Low-Governance AI,27,0.995
P1,T1,High-Capability Low-Governance AI,28,0.9795
P1,T1,High-Capability Low-Governance AI,29,0.964
P1,T1,High-Capability Low-Governance AI,30,0.9485
P1,T1,High-Capability Low-Governance AI,31,0.933
P1,T1,High-Capability Low-Governance AI,32,0.9175
P1,T1,High-Capability Low-Governance AI,33,0.902
P1,T1,High-Capability Low-Governance AI,34,0.8865
P1,T1,High-Capability Low-Governance AI,35,0.871
P1,T1,High-Capability Low-Governance AI,36,0.8415
P1,T1,High-Capability Low-Governance AI,37,0.826
P1,T1,High-Capability Low-Governance AI,38,0.8105
P1,T1,High-Capability Low-Governance AI,39,0.795
P1,T1,High-Capability Low-Governance AI,40,0.7795
P2,T2,Supported Renewable Transition,1,1.0
P2,T2,Supported Renewable Transition,2,1.0866
P2,T2,Supported Renewable Transition,3,1.1732
P2,T2,Supported Renewable Transition,4,1.2598
P2,T2,Supported Renewable Transition,5,1.3464
P2,T2,Supported Renewable Transition,6,1.433
P2,T2,Supported Renewable Transition,7,1.5196
P2,T2,Supported Renewable Transition,8,1.6062
P2,T2,Supported Renewable Transition,9,1.6788
P2,T2,Supported Renewable Transition,10,1.7654
P2,T2,Supported Renewable Transition,11,1.852
P2,T2,Supported Renewable Transition,12,1.9386
P2,T2,Supported Renewable Transition,13,2.0
P2,T2,Supported Renewable Transition,14,2.0
P2,T2,Supported Renewable Transition,15,2.0
P2,T2,Supported Renewable Transition,16,2.0
P2,T2,Supported Renewable Transition,17,2.0
P2,T2,Supported Renewable Transition,18,2.0
P2,T2,Supported Renewable Transition,19,2.0
P2,T2,Supported Renewable Transition,20,2.0
P2,T2,Supported Renewable Transition,21,2.0
P2,T2,Supported Renewable Transition,22,2.0
P2,T2,Supported Renewable Transition,23,2.0
P2,T2,Supported Renewable Transition,24,2.0
P2,T2,Supported Renewable Transition,25,2.0
