scenario_id,scenario_name,strategy_id,strategy_name,time_step,system_state,adaptive_capacity,governance_capacity,public_trust,distributional_pressure
S1,Baseline Continuity,T1,Efficiency Optimization,1,1.08,0.02,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,2,1.1421,0.0246,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,3,1.2088,0.0291,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,4,1.2801,0.0337,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,5,1.3559,0.0382,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,6,1.4362,0.0428,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,7,1.5211,0.0473,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,8,1.5806,0.0519,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,9,1.6746,0.0564,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,10,1.7731,0.061,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,11,1.8763,0.0655,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,12,1.9839,0.0701,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,13,2.0,0.0746,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,14,2.0,0.0792,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,15,2.0,0.0838,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,16,2.0,0.0883,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,17,2.0,0.0929,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,18,2.0,0.0974,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,19,2.0,0.102,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,20,2.0,0.1065,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,21,2.0,0.1111,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,22,2.0,0.1156,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,23,2.0,0.1202,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,24,2.0,0.1247,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,25,2.0,0.1293,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,26,2.0,0.1339,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,27,2.0,0.1384,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,28,2.0,0.143,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,29,2.0,0.1475,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,30,2.0,0.1521,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,31,2.0,0.1566,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,32,2.0,0.1612,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,33,2.0,0.1657,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,34,2.0,0.1703,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,35,2.0,0.1748,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,36,2.0,0.1794,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,37,2.0,0.1839,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,38,2.0,0.1885,0.66,0.64,0.48
S1,Baseline Continuity,T1,Efficiency Optimization,39,2.0,0.1931,0.66,0.64,0.48
