"scenario_id","scenario_name","strategy_id","strategy_name","time_step","system_state","adaptive_capacity"
"S1","Baseline Continuity","T1","Efficiency Optimization",1,1.08,0.02
"S1","Baseline Continuity","T1","Efficiency Optimization",2,1.1421,0.0246
"S1","Baseline Continuity","T1","Efficiency Optimization",3,1.2088,0.0291
"S1","Baseline Continuity","T1","Efficiency Optimization",4,1.2801,0.0337
"S1","Baseline Continuity","T1","Efficiency Optimization",5,1.3559,0.0382
"S1","Baseline Continuity","T1","Efficiency Optimization",6,1.4362,0.0428
"S1","Baseline Continuity","T1","Efficiency Optimization",7,1.5211,0.0473
"S1","Baseline Continuity","T1","Efficiency Optimization",8,1.5806,0.0519
"S1","Baseline Continuity","T1","Efficiency Optimization",9,1.6746,0.0564
"S1","Baseline Continuity","T1","Efficiency Optimization",10,1.7731,0.061
"S1","Baseline Continuity","T1","Efficiency Optimization",11,1.8763,0.0655
"S1","Baseline Continuity","T1","Efficiency Optimization",12,1.9839,0.0701
"S1","Baseline Continuity","T1","Efficiency Optimization",13,2,0.0746
"S1","Baseline Continuity","T1","Efficiency Optimization",14,2,0.0792
"S1","Baseline Continuity","T1","Efficiency Optimization",15,2,0.0838
"S1","Baseline Continuity","T1","Efficiency Optimization",16,2,0.0883
"S1","Baseline Continuity","T1","Efficiency Optimization",17,2,0.0929
"S1","Baseline Continuity","T1","Efficiency Optimization",18,2,0.0974
"S1","Baseline Continuity","T1","Efficiency Optimization",19,2,0.102
"S1","Baseline Continuity","T1","Efficiency Optimization",20,2,0.1065
"S1","Baseline Continuity","T1","Efficiency Optimization",21,2,0.1111
"S1","Baseline Continuity","T1","Efficiency Optimization",22,2,0.1156
"S1","Baseline Continuity","T1","Efficiency Optimization",23,2,0.1202
"S1","Baseline Continuity","T1","Efficiency Optimization",24,2,0.1247
"S1","Baseline Continuity","T1","Efficiency Optimization",25,2,0.1293
"S1","Baseline Continuity","T1","Efficiency Optimization",26,2,0.1339
"S1","Baseline Continuity","T1","Efficiency Optimization",27,2,0.1384
"S1","Baseline Continuity","T1","Efficiency Optimization",28,2,0.143
"S1","Baseline Continuity","T1","Efficiency Optimization",29,2,0.1475
"S1","Baseline Continuity","T1","Efficiency Optimization",30,2,0.1521
"S1","Baseline Continuity","T1","Efficiency Optimization",31,2,0.1566
"S1","Baseline Continuity","T1","Efficiency Optimization",32,2,0.1612
"S1","Baseline Continuity","T1","Efficiency Optimization",33,2,0.1657
"S1","Baseline Continuity","T1","Efficiency Optimization",34,2,0.1703
"S1","Baseline Continuity","T1","Efficiency Optimization",35,2,0.1748
"S1","Baseline Continuity","T1","Efficiency Optimization",36,2,0.1794
"S1","Baseline Continuity","T1","Efficiency Optimization",37,2,0.1839
"S1","Baseline Continuity","T1","Efficiency Optimization",38,2,0.1885
"S1","Baseline Continuity","T1","Efficiency Optimization",39,2,0.1931
"S1","Baseline Continuity","T1","Efficiency Optimization",40,2,0.1976
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",1,1.04,0.05
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",2,1.1397,0.0572
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",3,1.2467,0.0644
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",4,1.3608,0.0716
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",5,1.4821,0.0788
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",6,1.6106,0.0859
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",7,1.7463,0.0931
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",8,1.8892,0.1003
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",9,2,0.1075
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",10,2,0.1147
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",11,2,0.1219
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",12,2,0.1291
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",13,2,0.1363
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",14,2,0.1434
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",15,2,0.1506
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",16,2,0.1578
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",17,2,0.165
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",18,2,0.1722
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",19,2,0.1794
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",20,2,0.1866
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",21,2,0.1938
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",22,2,0.2009
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",23,2,0.2081
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",24,2,0.2153
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",25,2,0.2225
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",26,2,0.2297
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",27,2,0.2369
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",28,2,0.2441
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",29,2,0.2513
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",30,2,0.2585
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",31,2,0.2656
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",32,2,0.2728
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",33,2,0.28
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",34,2,0.2872
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",35,2,0.2944
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",36,2,0.3
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",37,2,0.3
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",38,2,0.3
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",39,2,0.3
"S1","Baseline Continuity","T2","Robust Resilience Portfolio",40,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",1,1.03,0.07
"S1","Baseline Continuity","T3","Adaptive Governance",2,1.1509,0.078
"S1","Baseline Continuity","T3","Adaptive Governance",3,1.2799,0.086
"S1","Baseline Continuity","T3","Adaptive Governance",4,1.4169,0.0941
"S1","Baseline Continuity","T3","Adaptive Governance",5,1.5619,0.1021
"S1","Baseline Continuity","T3","Adaptive Governance",6,1.7149,0.1101
"S1","Baseline Continuity","T3","Adaptive Governance",7,1.8759,0.1181
"S1","Baseline Continuity","T3","Adaptive Governance",8,2,0.1261
"S1","Baseline Continuity","T3","Adaptive Governance",9,2,0.1342
"S1","Baseline Continuity","T3","Adaptive Governance",10,2,0.1422
"S1","Baseline Continuity","T3","Adaptive Governance",11,2,0.1502
"S1","Baseline Continuity","T3","Adaptive Governance",12,2,0.1582
"S1","Baseline Continuity","T3","Adaptive Governance",13,2,0.1662
"S1","Baseline Continuity","T3","Adaptive Governance",14,2,0.1743
"S1","Baseline Continuity","T3","Adaptive Governance",15,2,0.1823
"S1","Baseline Continuity","T3","Adaptive Governance",16,2,0.1903
"S1","Baseline Continuity","T3","Adaptive Governance",17,2,0.1983
"S1","Baseline Continuity","T3","Adaptive Governance",18,2,0.2063
"S1","Baseline Continuity","T3","Adaptive Governance",19,2,0.2144
"S1","Baseline Continuity","T3","Adaptive Governance",20,2,0.2224
"S1","Baseline Continuity","T3","Adaptive Governance",21,2,0.2304
"S1","Baseline Continuity","T3","Adaptive Governance",22,2,0.2384
"S1","Baseline Continuity","T3","Adaptive Governance",23,2,0.2464
"S1","Baseline Continuity","T3","Adaptive Governance",24,2,0.2545
"S1","Baseline Continuity","T3","Adaptive Governance",25,2,0.2625
"S1","Baseline Continuity","T3","Adaptive Governance",26,2,0.2705
"S1","Baseline Continuity","T3","Adaptive Governance",27,2,0.2785
"S1","Baseline Continuity","T3","Adaptive Governance",28,2,0.2865
"S1","Baseline Continuity","T3","Adaptive Governance",29,2,0.2946
"S1","Baseline Continuity","T3","Adaptive Governance",30,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",31,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",32,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",33,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",34,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",35,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",36,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",37,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",38,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",39,2,0.3
"S1","Baseline Continuity","T3","Adaptive Governance",40,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",1,1.02,0.08
"S1","Baseline Continuity","T4","Justice-Centered Transformation",2,1.1502,0.0884
"S1","Baseline Continuity","T4","Justice-Centered Transformation",3,1.2887,0.0969
"S1","Baseline Continuity","T4","Justice-Centered Transformation",4,1.4358,0.1053
"S1","Baseline Continuity","T4","Justice-Centered Transformation",5,1.5912,0.1137
"S1","Baseline Continuity","T4","Justice-Centered Transformation",6,1.7551,0.1222
"S1","Baseline Continuity","T4","Justice-Centered Transformation",7,1.9275,0.1306
"S1","Baseline Continuity","T4","Justice-Centered Transformation",8,2,0.1391
"S1","Baseline Continuity","T4","Justice-Centered Transformation",9,2,0.1475
"S1","Baseline Continuity","T4","Justice-Centered Transformation",10,2,0.1559
"S1","Baseline Continuity","T4","Justice-Centered Transformation",11,2,0.1644
"S1","Baseline Continuity","T4","Justice-Centered Transformation",12,2,0.1728
"S1","Baseline Continuity","T4","Justice-Centered Transformation",13,2,0.1812
"S1","Baseline Continuity","T4","Justice-Centered Transformation",14,2,0.1897
"S1","Baseline Continuity","T4","Justice-Centered Transformation",15,2,0.1981
"S1","Baseline Continuity","T4","Justice-Centered Transformation",16,2,0.2065
"S1","Baseline Continuity","T4","Justice-Centered Transformation",17,2,0.215
"S1","Baseline Continuity","T4","Justice-Centered Transformation",18,2,0.2234
"S1","Baseline Continuity","T4","Justice-Centered Transformation",19,2,0.2318
"S1","Baseline Continuity","T4","Justice-Centered Transformation",20,2,0.2403
"S1","Baseline Continuity","T4","Justice-Centered Transformation",21,2,0.2487
"S1","Baseline Continuity","T4","Justice-Centered Transformation",22,2,0.2572
"S1","Baseline Continuity","T4","Justice-Centered Transformation",23,2,0.2656
"S1","Baseline Continuity","T4","Justice-Centered Transformation",24,2,0.274
"S1","Baseline Continuity","T4","Justice-Centered Transformation",25,2,0.2825
"S1","Baseline Continuity","T4","Justice-Centered Transformation",26,2,0.2909
"S1","Baseline Continuity","T4","Justice-Centered Transformation",27,2,0.2993
"S1","Baseline Continuity","T4","Justice-Centered Transformation",28,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",29,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",30,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",31,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",32,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",33,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",34,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",35,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",36,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",37,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",38,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",39,2,0.3
"S1","Baseline Continuity","T4","Justice-Centered Transformation",40,2,0.3
"S1","Baseline Continuity","T5","Low-Cost Continuity",1,1.03,0.025
"S1","Baseline Continuity","T5","Low-Cost Continuity",2,1.0889,0.0286
"S1","Baseline Continuity","T5","Low-Cost Continuity",3,1.1514,0.0321
"S1","Baseline Continuity","T5","Low-Cost Continuity",4,1.2175,0.0357
"S1","Baseline Continuity","T5","Low-Cost Continuity",5,1.2872,0.0393
"S1","Baseline Continuity","T5","Low-Cost Continuity",6,1.3604,0.0429
"S1","Baseline Continuity","T5","Low-Cost Continuity",7,1.4372,0.0464
"S1","Baseline Continuity","T5","Low-Cost Continuity",8,1.4842,0.05
"S1","Baseline Continuity","T5","Low-Cost Continuity",9,1.5682,0.0536
"S1","Baseline Continuity","T5","Low-Cost Continuity",10,1.6557,0.0572
"S1","Baseline Continuity","T5","Low-Cost Continuity",11,1.7468,0.0607
"S1","Baseline Continuity","T5","Low-Cost Continuity",12,1.8414,0.0643
"S1","Baseline Continuity","T5","Low-Cost Continuity",13,1.9397,0.0679
"S1","Baseline Continuity","T5","Low-Cost Continuity",14,2,0.0715
"S1","Baseline Continuity","T5","Low-Cost Continuity",15,2,0.075
"S1","Baseline Continuity","T5","Low-Cost Continuity",16,2,0.0786
"S1","Baseline Continuity","T5","Low-Cost Continuity",17,2,0.0822
"S1","Baseline Continuity","T5","Low-Cost Continuity",18,2,0.0858
"S1","Baseline Continuity","T5","Low-Cost Continuity",19,2,0.0893
"S1","Baseline Continuity","T5","Low-Cost Continuity",20,2,0.0929
"S1","Baseline Continuity","T5","Low-Cost Continuity",21,2,0.0965
