pathway_id,strategy_id,scenario_id,pathway_name,time_step,strategic_viability,strategic_option_value,fragility_score,learning_score
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,1,1.0,0.3668,0.5544,0.4186
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,2,1.0495,0.4015,0.507,0.4612
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,3,1.104,0.4362,0.4596,0.5038
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,4,1.1633,0.4709,0.4122,0.5464
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,5,1.2276,0.5056,0.3648,0.589
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,6,1.2967,0.5403,0.3174,0.6316
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,7,1.3708,0.575,0.27,0.6742
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,8,1.3292,0.6049,0.2298,0.7144
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,9,1.4125,0.6396,0.1824,0.757
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,10,1.5007,0.6743,0.135,0.7996
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,11,1.5938,0.709,0.0876,0.8422
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,12,1.6918,0.7437,0.0402,0.8848
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,13,1.7945,0.7784,0.0,0.9274
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,14,1.8,0.8131,0.0,0.97
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,15,1.8,0.8478,0.0,1.0126
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,16,1.7914,0.8777,0.0,1.0528
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,17,1.8,0.9124,0.0,1.0954
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,18,1.8,0.9471,0.0,1.138
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,19,1.8,0.9818,0.0,1.1806
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,20,1.8,1.0165,0.0,1.2232
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,21,1.8,1.0512,0.0,1.2658
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,22,1.8,1.0859,0.0,1.3084
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,23,1.8,1.1206,0.0,1.351
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,24,1.8,1.1505,0.0,1.3912
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,25,1.8,1.1852,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,26,1.8,1.2199,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,27,1.8,1.2546,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,28,1.8,1.2893,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,29,1.8,1.324,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,30,1.8,1.3587,0.0,1.4
PW1,SP1,SC2,Legacy Strategy Under Fragmented Markets,31,1.8,1.3934,0.0,1.4
