pathway_id,scenario_id,pathway_name,time_step,transition_capacity,emissions_pressure,justice_resilience_score
PW1,S1,Managed Just Transition Pathway,1,0.72,0.5792,0.825
PW1,S1,Managed Just Transition Pathway,2,0.9333,0.4501,0.9127
PW1,S1,Managed Just Transition Pathway,3,1.1537,0.3313,1.0003
PW1,S1,Managed Just Transition Pathway,4,1.3808,0.222,1.088
PW1,S1,Managed Just Transition Pathway,5,1.6145,0.1214,1.1757
PW1,S1,Managed Just Transition Pathway,6,1.8,0.0289,1.2634
PW1,S1,Managed Just Transition Pathway,7,1.8,0.0,1.351
PW1,S1,Managed Just Transition Pathway,8,1.8,0.0,1.4387
PW1,S1,Managed Just Transition Pathway,9,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,10,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,11,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,12,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,13,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,14,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,15,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,16,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,17,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,18,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,19,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,20,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,21,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,22,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,23,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,24,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,25,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,26,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,27,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,28,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,29,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,30,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,31,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,32,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,33,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,34,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,35,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,36,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,37,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,38,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,39,1.8,0.0,1.5
PW1,S1,Managed Just Transition Pathway,40,1.8,0.0,1.5
PW2,S2,Renewables Without Grids Pathway,1,0.58,0.6144,0.44
PW2,S2,Renewables Without Grids Pathway,2,0.6696,0.5358,0.4699
PW2,S2,Renewables Without Grids Pathway,3,0.7626,0.4636,0.4997
PW2,S2,Renewables Without Grids Pathway,4,0.8587,0.3971,0.5296
PW2,S2,Renewables Without Grids Pathway,5,0.9579,0.3359,0.5594
PW2,S2,Renewables Without Grids Pathway,6,1.06,0.2797,0.5893
PW2,S2,Renewables Without Grids Pathway,7,1.1648,0.2279,0.6191
PW2,S2,Renewables Without Grids Pathway,8,1.2722,0.1802,0.649
PW2,S2,Renewables Without Grids Pathway,9,1.3822,0.1364,0.6788
PW2,S2,Renewables Without Grids Pathway,10,1.4896,0.0961,0.7063
PW2,S2,Renewables Without Grids Pathway,11,1.6042,0.059,0.7362
PW2,S2,Renewables Without Grids Pathway,12,1.721,0.0249,0.766
PW2,S2,Renewables Without Grids Pathway,13,1.8,0.0,0.7959
PW2,S2,Renewables Without Grids Pathway,14,1.8,0.0,0.8257
PW2,S2,Renewables Without Grids Pathway,15,1.8,0.0,0.8556
PW2,S2,Renewables Without Grids Pathway,16,1.8,0.0,0.8854
PW2,S2,Renewables Without Grids Pathway,17,1.8,0.0,0.9153
PW2,S2,Renewables Without Grids Pathway,18,1.8,0.0,0.9452
PW2,S2,Renewables Without Grids Pathway,19,1.8,0.0,0.975
PW2,S2,Renewables Without Grids Pathway,20,1.8,0.0,1.0025
PW2,S2,Renewables Without Grids Pathway,21,1.8,0.0,1.0323
PW2,S2,Renewables Without Grids Pathway,22,1.8,0.0,1.0622
PW2,S2,Renewables Without Grids Pathway,23,1.8,0.0,1.092
PW2,S2,Renewables Without Grids Pathway,24,1.8,0.0,1.1219
PW2,S2,Renewables Without Grids Pathway,25,1.8,0.0,1.1517
PW2,S2,Renewables Without Grids Pathway,26,1.8,0.0,1.1816
PW2,S2,Renewables Without Grids Pathway,27,1.8,0.0,1.2115
PW2,S2,Renewables Without Grids Pathway,28,1.8,0.0,1.2413
PW2,S2,Renewables Without Grids Pathway,29,1.8,0.0,1.2712
PW2,S2,Renewables Without Grids Pathway,30,1.8,0.0,1.2986
PW2,S2,Renewables Without Grids Pathway,31,1.8,0.0,1.3285
PW2,S2,Renewables Without Grids Pathway,32,1.8,0.0,1.3583
PW2,S2,Renewables Without Grids Pathway,33,1.8,0.0,1.3882
PW2,S2,Renewables Without Grids Pathway,34,1.8,0.0,1.418
PW2,S2,Renewables Without Grids Pathway,35,1.8,0.0,1.4479
PW2,S2,Renewables Without Grids Pathway,36,1.8,0.0,1.4778
PW2,S2,Renewables Without Grids Pathway,37,1.8,0.0,1.5
PW2,S2,Renewables Without Grids Pathway,38,1.8,0.0,1.5
PW2,S2,Renewables Without Grids Pathway,39,1.8,0.0,1.5
PW2,S2,Renewables Without Grids Pathway,40,1.8,0.0,1.5
PW3,S3,Green Extraction Boom Pathway,1,0.56,0.5992,0.355
PW3,S3,Green Extraction Boom Pathway,2,0.6574,0.4977,0.3737
PW3,S3,Green Extraction Boom Pathway,3,0.7583,0.4043,0.3925
PW3,S3,Green Extraction Boom Pathway,4,0.8625,0.3183,0.4112
PW3,S3,Green Extraction Boom Pathway,5,0.9699,0.2392,0.43
PW3,S3,Green Extraction Boom Pathway,6,1.0802,0.1665,0.4487
PW3,S3,Green Extraction Boom Pathway,7,1.1932,0.0996,0.4675
PW3,S3,Green Extraction Boom Pathway,8,1.3089,0.038,0.4862
PW3,S3,Green Extraction Boom Pathway,9,1.4264,0.0,0.505
PW3,S3,Green Extraction Boom Pathway,10,1.5398,0.0,0.5213
PW3,S3,Green Extraction Boom Pathway,11,1.6588,0.0,0.54
PW3,S3,Green Extraction Boom Pathway,12,1.7784,0.0,0.5588
PW3,S3,Green Extraction Boom Pathway,13,1.8,0.0,0.5775
PW3,S3,Green Extraction Boom Pathway,14,1.8,0.0,0.5963
PW3,S3,Green Extraction Boom Pathway,15,1.8,0.0,0.615
PW3,S3,Green Extraction Boom Pathway,16,1.8,0.0,0.6338
PW3,S3,Green Extraction Boom Pathway,17,1.8,0.0,0.6525
PW3,S3,Green Extraction Boom Pathway,18,1.8,0.0,0.6712
PW3,S3,Green Extraction Boom Pathway,19,1.8,0.0,0.69
PW3,S3,Green Extraction Boom Pathway,20,1.8,0.0,0.7063
PW3,S3,Green Extraction Boom Pathway,21,1.8,0.0,0.7251
PW3,S3,Green Extraction Boom Pathway,22,1.8,0.0,0.7438
PW3,S3,Green Extraction Boom Pathway,23,1.8,0.0,0.7626
PW3,S3,Green Extraction Boom Pathway,24,1.8,0.0,0.7813
PW3,S3,Green Extraction Boom Pathway,25,1.8,0.0,0.8001
PW3,S3,Green Extraction Boom Pathway,26,1.8,0.0,0.8188
PW3,S3,Green Extraction Boom Pathway,27,1.8,0.0,0.8375
PW3,S3,Green Extraction Boom Pathway,28,1.8,0.0,0.8563
PW3,S3,Green Extraction Boom Pathway,29,1.8,0.0,0.875
PW3,S3,Green Extraction Boom Pathway,30,1.8,0.0,0.8914
PW3,S3,Green Extraction Boom Pathway,31,1.8,0.0,0.9101
PW3,S3,Green Extraction Boom Pathway,32,1.8,0.0,0.9289
PW3,S3,Green Extraction Boom Pathway,33,1.8,0.0,0.9476
PW3,S3,Green Extraction Boom Pathway,34,1.8,0.0,0.9664
PW3,S3,Green Extraction Boom Pathway,35,1.8,0.0,0.9851
PW3,S3,Green Extraction Boom Pathway,36,1.8,0.0,1.0038
PW3,S3,Green Extraction Boom Pathway,37,1.8,0.0,1.0226
PW3,S3,Green Extraction Boom Pathway,38,1.8,0.0,1.0413
PW3,S3,Green Extraction Boom Pathway,39,1.8,0.0,1.0601
PW3,S3,Green Extraction Boom Pathway,40,1.8,0.0,1.0764
PW4,S4,Fossil Lock-In and Delay Pathway,1,0.42,0.7512,0.34
PW4,S4,Fossil Lock-In and Delay Pathway,2,0.4653,0.7149,0.3554
PW4,S4,Fossil Lock-In and Delay Pathway,3,0.5123,0.6815,0.3708
PW4,S4,Fossil Lock-In and Delay Pathway,4,0.5608,0.6508,0.3863
PW4,S4,Fossil Lock-In and Delay Pathway,5,0.6107,0.6225,0.4017
