pathway_id,profile_id,scenario_id,pathway_name,time_step,inherited_burden,future_freedom,institutional_capacity,ecological_damage,adaptive_capacity,future_representation,reparative_continuity,public_legitimacy,stewardship_score
ALP1,IGP1,FGS1,Stewardship State Pathway,1,0.34,0.78,0.82,0.3,0.84,0.8,0.72,0.78,0.6832
ALP1,IGP1,FGS1,Stewardship State Pathway,2,0.3192,0.7979,0.8368,0.2768,0.8501,0.8129,0.7318,0.7935,0.698
ALP1,IGP1,FGS1,Stewardship State Pathway,3,0.2977,0.8166,0.8542,0.2531,0.8608,0.8261,0.7441,0.8075,0.7134
ALP1,IGP1,FGS1,Stewardship State Pathway,4,0.2757,0.8363,0.8719,0.2288,0.8722,0.8396,0.7569,0.822,0.7294
ALP1,IGP1,FGS1,Stewardship State Pathway,5,0.2531,0.8569,0.8902,0.2038,0.8843,0.8532,0.7702,0.8372,0.7459
ALP1,IGP1,FGS1,Stewardship State Pathway,6,0.2398,0.8784,0.9089,0.1783,0.897,0.8672,0.784,0.8528,0.7624
ALP1,IGP1,FGS1,Stewardship State Pathway,7,0.2159,0.9009,0.9281,0.1521,0.9104,0.8814,0.7983,0.8691,0.7802
ALP1,IGP1,FGS1,Stewardship State Pathway,8,0.1913,0.9245,0.9479,0.1252,0.9245,0.8959,0.8132,0.886,0.7986
ALP1,IGP1,FGS1,Stewardship State Pathway,9,0.166,0.9491,0.9682,0.0976,0.9394,0.9108,0.8287,0.9036,0.8176
ALP1,IGP1,FGS1,Stewardship State Pathway,10,0.14,0.9746,0.9892,0.0832,0.9549,0.9259,0.8447,0.9217,0.8368
ALP1,IGP1,FGS1,Stewardship State Pathway,11,0.1133,1.0013,1.0107,0.0541,0.9712,0.9414,0.8613,0.9405,0.8572
ALP1,IGP1,FGS1,Stewardship State Pathway,12,0.0959,1.0294,1.0327,0.0243,1.0002,0.9691,0.8906,0.9602,0.883
ALP1,IGP1,FGS1,Stewardship State Pathway,13,0.0673,1.0586,1.0556,0.0,1.0181,0.9852,0.9085,0.9805,0.9048
ALP1,IGP1,FGS1,Stewardship State Pathway,14,0.038,1.0887,1.0792,0.0,1.0366,1.0017,0.9269,1.0014,0.9261
ALP1,IGP1,FGS1,Stewardship State Pathway,15,0.0081,1.1197,1.1034,0.0,1.0556,1.0185,0.9459,1.0229,0.9481
ALP1,IGP1,FGS1,Stewardship State Pathway,16,0.0,1.1515,1.1282,0.0,1.075,1.0358,0.9653,1.0449,0.9692
ALP1,IGP1,FGS1,Stewardship State Pathway,17,0.0,1.1839,1.1534,0.0,1.0948,1.0533,0.985,1.0673,0.9902
ALP1,IGP1,FGS1,Stewardship State Pathway,18,0.0,1.217,1.179,0.0,1.115,1.0712,1.0052,1.0901,1.0116
ALP1,IGP1,FGS1,Stewardship State Pathway,19,0.0,1.2507,1.2052,0.0,1.1356,1.0896,1.0257,1.1134,1.0334
ALP1,IGP1,FGS1,Stewardship State Pathway,20,0.0,1.285,1.2318,0.0,1.1567,1.1084,1.0466,1.1372,1.0557
ALP1,IGP1,FGS1,Stewardship State Pathway,21,0.0,1.32,1.259,0.0,1.1781,1.1275,1.068,1.1614,1.0784
ALP1,IGP1,FGS1,Stewardship State Pathway,22,0.0,1.3557,1.2867,0.0,1.2,1.1471,1.0897,1.1862,1.1016
