pathway_id,profile_id,scenario_id,pathway_name,time_step,public_health_resilience,system_stress,adaptive_capacity
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,1,1.0,0.2284,0.7762
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,2,1.0036,0.1738,0.8731
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,3,1.0145,0.1192,0.9711
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,4,1.0325,0.0646,1.0702
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,5,1.0579,0.01,1.1704
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,6,1.0878,0.0,1.2708
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,7,1.1218,0.0,1.3712
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,8,1.0397,0.0,1.468
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,9,1.0815,0.0,1.5684
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,10,1.1079,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,11,1.151,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,12,1.1941,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,13,1.1272,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,14,1.1704,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,15,1.2135,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,16,1.1366,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,17,1.1798,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,18,1.2229,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,19,1.266,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,20,1.2924,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,21,1.3355,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,22,1.3786,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,23,1.4217,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,24,1.3449,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,25,1.388,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,26,1.3211,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,27,1.3643,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,28,1.4074,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,29,1.4505,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,30,1.4769,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,31,1.52,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,32,1.4431,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,33,1.4862,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,34,1.5294,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,35,1.5725,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,36,1.6156,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,37,1.6588,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,38,1.7019,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,39,1.635,0.0,1.6
HP1,HF1,HS1,Preventive Public Health Renewal Pathway,40,1.5414,0.0,1.6
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,1,1.0,0.5522,0.4498
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,2,0.946,0.5928,0.4913
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,3,0.8913,0.6334,0.5321
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,4,0.8357,0.674,0.572
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,5,0.7792,0.7146,0.6111
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,6,0.7218,0.7552,0.6494
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,7,0.6635,0.7958,0.6869
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,8,0.4837,0.8424,0.7198
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,9,0.4229,0.883,0.7556
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,10,0.3229,0.9596,0.7898
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,11,0.2578,1.0002,0.8232
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,12,0.1915,1.0408,0.8558
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,13,0.0136,1.088,0.8852
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,14,0.0,1.1286,0.916
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,15,0.0,1.1692,0.946
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,16,0.0,1.2158,0.9715
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,17,0.0,1.2564,0.9998
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,18,0.0,1.297,1.0273
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,19,0.0,1.3376,1.0539
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,20,0.0,1.4142,1.079
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,21,0.0,1.4548,1.1033
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,22,0.0,1.4954,1.1268
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,23,0.0,1.536,1.1495
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,24,0.0,1.5826,1.1677
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,25,0.0,1.6,1.1891
HP2,HF2,HS2,High-Tech Fragmented Medicine Pathway,26,0.0,1.6,1.2083
