simulation_id,pathway_id,scenario_id,simulation_name,time_step,pathway_viability,boundary_pressure,adaptive_capacity
SIM1,PB1,BS1,Safe and Just Transformation Pathway,1,1.0,0.34,0.7744
SIM1,PB1,BS1,Safe and Just Transformation Pathway,2,1.0185,0.2872,0.8481
SIM1,PB1,BS1,Safe and Just Transformation Pathway,3,1.0444,0.2344,0.9228
SIM1,PB1,BS1,Safe and Just Transformation Pathway,4,1.0778,0.1816,0.9985
SIM1,PB1,BS1,Safe and Just Transformation Pathway,5,1.1188,0.1288,1.0754
SIM1,PB1,BS1,Safe and Just Transformation Pathway,6,1.1673,0.076,1.1532
SIM1,PB1,BS1,Safe and Just Transformation Pathway,7,1.2235,0.0232,1.2322
SIM1,PB1,BS1,Safe and Just Transformation Pathway,8,1.1852,0.0,1.3086
SIM1,PB1,BS1,Safe and Just Transformation Pathway,9,1.2508,0.0,1.388
SIM1,PB1,BS1,Safe and Just Transformation Pathway,10,1.3203,0.0,1.4674
SIM1,PB1,BS1,Safe and Just Transformation Pathway,11,1.3603,0.0,1.5468
SIM1,PB1,BS1,Safe and Just Transformation Pathway,12,1.4365,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,13,1.5127,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,14,1.5889,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,15,1.6651,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,16,1.6413,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,17,1.7175,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,18,1.7937,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,19,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,20,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,21,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,22,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,23,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,24,1.7762,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,25,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,26,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,27,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,28,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,29,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,30,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,31,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,32,1.7762,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,33,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,34,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,35,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,36,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,37,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,38,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,39,1.8,0.0,1.6
SIM1,PB1,BS1,Safe and Just Transformation Pathway,40,1.7762,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,1,1.0,0.48,0.5804
SIM2,PB2,BS2,Green Growth Acceleration Pathway,2,0.9833,0.4516,0.6306
SIM2,PB2,BS2,Green Growth Acceleration Pathway,3,0.9712,0.4232,0.6813
SIM2,PB2,BS2,Green Growth Acceleration Pathway,4,0.9636,0.3948,0.7326
SIM2,PB2,BS2,Green Growth Acceleration Pathway,5,0.9605,0.3664,0.7845
SIM2,PB2,BS2,Green Growth Acceleration Pathway,6,0.9621,0.338,0.8369
SIM2,PB2,BS2,Green Growth Acceleration Pathway,7,0.9683,0.3096,0.8899
SIM2,PB2,BS2,Green Growth Acceleration Pathway,8,0.8788,0.2852,0.9404
SIM2,PB2,BS2,Green Growth Acceleration Pathway,9,0.8939,0.2568,0.9945
SIM2,PB2,BS2,Green Growth Acceleration Pathway,10,0.9138,0.2284,1.0491
SIM2,PB2,BS2,Green Growth Acceleration Pathway,11,0.8952,0.2009,1.1043
SIM2,PB2,BS2,Green Growth Acceleration Pathway,12,0.9245,0.1725,1.1601
SIM2,PB2,BS2,Green Growth Acceleration Pathway,13,0.9586,0.1441,1.2164
SIM2,PB2,BS2,Green Growth Acceleration Pathway,14,0.9976,0.1157,1.2733
SIM2,PB2,BS2,Green Growth Acceleration Pathway,15,1.0414,0.0873,1.3307
SIM2,PB2,BS2,Green Growth Acceleration Pathway,16,0.9897,0.0629,1.3857
SIM2,PB2,BS2,Green Growth Acceleration Pathway,17,1.0429,0.0345,1.4442
SIM2,PB2,BS2,Green Growth Acceleration Pathway,18,1.101,0.0061,1.5032
SIM2,PB2,BS2,Green Growth Acceleration Pathway,19,1.1626,0.0,1.5624
SIM2,PB2,BS2,Green Growth Acceleration Pathway,20,1.226,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,21,1.2894,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,22,1.3096,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,23,1.373,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,24,1.3364,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,25,1.3998,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,26,1.4632,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,27,1.5266,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,28,1.59,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,29,1.6534,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,30,1.7168,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,31,1.7802,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,32,1.7436,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,33,1.7638,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,34,1.8,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,35,1.8,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,36,1.8,0.0,1.6
SIM2,PB2,BS2,Green Growth Acceleration Pathway,37,1.8,0.0,1.6
