pathway_id,profile_id,scenario_id,pathway_name,time_step,adoption,trust,consumer_vulnerability
PW1,CF1,SC1,Value-Constrained Adoption Pathway,1,0.08,0.48,0.6456
PW1,CF1,SC1,Value-Constrained Adoption Pathway,2,0.0738,0.4873,0.6665
PW1,CF1,SC1,Value-Constrained Adoption Pathway,3,0.0662,0.4946,0.6871
PW1,CF1,SC1,Value-Constrained Adoption Pathway,4,0.0569,0.5019,0.7076
PW1,CF1,SC1,Value-Constrained Adoption Pathway,5,0.0457,0.5092,0.7278
PW1,CF1,SC1,Value-Constrained Adoption Pathway,6,0.0322,0.5165,0.7478
PW1,CF1,SC1,Value-Constrained Adoption Pathway,7,0.016,0.5238,0.7676
PW1,CF1,SC1,Value-Constrained Adoption Pathway,8,0.0,0.5278,0.7928
PW1,CF1,SC1,Value-Constrained Adoption Pathway,9,0.0,0.5351,0.8122
PW1,CF1,SC1,Value-Constrained Adoption Pathway,10,0.0,0.5424,0.8314
PW1,CF1,SC1,Value-Constrained Adoption Pathway,11,0.0,0.5497,0.8505
PW1,CF1,SC1,Value-Constrained Adoption Pathway,12,0.0,0.557,0.8692
PW1,CF1,SC1,Value-Constrained Adoption Pathway,13,0.0,0.5643,0.8878
PW1,CF1,SC1,Value-Constrained Adoption Pathway,14,0.0,0.5716,0.9062
PW1,CF1,SC1,Value-Constrained Adoption Pathway,15,0.0,0.5789,0.9243
PW1,CF1,SC1,Value-Constrained Adoption Pathway,16,0.0,0.5829,0.9478
PW1,CF1,SC1,Value-Constrained Adoption Pathway,17,0.0,0.5902,0.9656
PW1,CF1,SC1,Value-Constrained Adoption Pathway,18,0.0,0.5975,0.9832
PW1,CF1,SC1,Value-Constrained Adoption Pathway,19,0.0,0.6048,1.0005
PW1,CF1,SC1,Value-Constrained Adoption Pathway,20,0.0,0.6121,1.0177
PW1,CF1,SC1,Value-Constrained Adoption Pathway,21,0.0,0.6194,1.0346
PW1,CF1,SC1,Value-Constrained Adoption Pathway,22,0.0,0.6267,1.0513
PW1,CF1,SC1,Value-Constrained Adoption Pathway,23,0.0,0.634,1.0678
PW1,CF1,SC1,Value-Constrained Adoption Pathway,24,0.0,0.638,1.0896
PW1,CF1,SC1,Value-Constrained Adoption Pathway,25,0.0,0.6453,1.1058
PW1,CF1,SC1,Value-Constrained Adoption Pathway,26,0.0,0.6526,1.1217
PW1,CF1,SC1,Value-Constrained Adoption Pathway,27,0.0,0.6599,1.1374
PW1,CF1,SC1,Value-Constrained Adoption Pathway,28,0.0,0.6672,1.1529
PW1,CF1,SC1,Value-Constrained Adoption Pathway,29,0.0,0.6745,1.1681
PW1,CF1,SC1,Value-Constrained Adoption Pathway,30,0.0,0.6818,1.1832
PW1,CF1,SC1,Value-Constrained Adoption Pathway,31,0.0,0.6891,1.198
PW1,CF1,SC1,Value-Constrained Adoption Pathway,32,0.0,0.6931,1.2182
PW1,CF1,SC1,Value-Constrained Adoption Pathway,33,0.0,0.7004,1.2327
PW1,CF1,SC1,Value-Constrained Adoption Pathway,34,0.0,0.7077,1.247
PW1,CF1,SC1,Value-Constrained Adoption Pathway,35,0.0,0.715,1.261
PW1,CF1,SC1,Value-Constrained Adoption Pathway,36,0.0,0.7223,1.2749
PW1,CF1,SC1,Value-Constrained Adoption Pathway,37,0.0,0.7296,1.2885
PW1,CF1,SC1,Value-Constrained Adoption Pathway,38,0.0,0.7369,1.3019
PW1,CF1,SC1,Value-Constrained Adoption Pathway,39,0.0,0.7442,1.315
PW1,CF1,SC1,Value-Constrained Adoption Pathway,40,0.0,0.7482,1.3336
PW2,CF2,SC2,Trust Backlash Adoption Pathway,1,0.08,0.34,0.6
PW2,CF2,SC2,Trust Backlash Adoption Pathway,2,0.0803,0.3539,0.6195
PW2,CF2,SC2,Trust Backlash Adoption Pathway,3,0.0803,0.3678,0.6385
PW2,CF2,SC2,Trust Backlash Adoption Pathway,4,0.08,0.3817,0.6572
PW2,CF2,SC2,Trust Backlash Adoption Pathway,5,0.0794,0.3956,0.6754
PW2,CF2,SC2,Trust Backlash Adoption Pathway,6,0.0784,0.4095,0.6932
PW2,CF2,SC2,Trust Backlash Adoption Pathway,7,0.077,0.4234,0.7106
PW2,CF2,SC2,Trust Backlash Adoption Pathway,8,0.0744,0.434,0.7332
PW2,CF2,SC2,Trust Backlash Adoption Pathway,9,0.0717,0.4479,0.7499
PW2,CF2,SC2,Trust Backlash Adoption Pathway,10,0.0683,0.4618,0.7661
PW2,CF2,SC2,Trust Backlash Adoption Pathway,11,0.0642,0.4757,0.782
PW2,CF2,SC2,Trust Backlash Adoption Pathway,12,0.0593,0.4896,0.7974
PW2,CF2,SC2,Trust Backlash Adoption Pathway,13,0.0535,0.5035,0.8124
PW2,CF2,SC2,Trust Backlash Adoption Pathway,14,0.0465,0.5174,0.8269
PW2,CF2,SC2,Trust Backlash Adoption Pathway,15,0.0382,0.5313,0.8411
PW2,CF2,SC2,Trust Backlash Adoption Pathway,16,0.0276,0.5419,0.8604
PW2,CF2,SC2,Trust Backlash Adoption Pathway,17,0.0157,0.5558,0.8739
PW2,CF2,SC2,Trust Backlash Adoption Pathway,18,0.0016,0.5697,0.8869
PW2,CF2,SC2,Trust Backlash Adoption Pathway,19,0.0,0.5836,0.8995
PW2,CF2,SC2,Trust Backlash Adoption Pathway,20,0.0,0.5975,0.9117
PW2,CF2,SC2,Trust Backlash Adoption Pathway,21,0.0,0.6114,0.9234
PW2,CF2,SC2,Trust Backlash Adoption Pathway,22,0.0,0.6253,0.9348
PW2,CF2,SC2,Trust Backlash Adoption Pathway,23,0.0,0.6392,0.9457
PW2,CF2,SC2,Trust Backlash Adoption Pathway,24,0.0,0.6498,0.9618
PW2,CF2,SC2,Trust Backlash Adoption Pathway,25,0.0,0.6637,0.972
PW2,CF2,SC2,Trust Backlash Adoption Pathway,26,0.0,0.6776,0.9817
PW2,CF2,SC2,Trust Backlash Adoption Pathway,27,0.0,0.6915,0.9911
PW2,CF2,SC2,Trust Backlash Adoption Pathway,28,0.0,0.7054,1.0
PW2,CF2,SC2,Trust Backlash Adoption Pathway,29,0.0,0.7193,1.0086
PW2,CF2,SC2,Trust Backlash Adoption Pathway,30,0.0,0.7332,1.0167
PW2,CF2,SC2,Trust Backlash Adoption Pathway,31,0.0,0.7471,1.0243
PW2,CF2,SC2,Trust Backlash Adoption Pathway,32,0.0,0.7577,1.0372
PW2,CF2,SC2,Trust Backlash Adoption Pathway,33,0.0,0.7716,1.0442
PW2,CF2,SC2,Trust Backlash Adoption Pathway,34,0.0,0.7855,1.0507
