pathway_id,profile_id,scenario_id,pathway_name,time_step,food_water_land_resilience,resource_stress,adaptive_capacity
PW1,FWL1,FS1,Regenerative Transition Pathway,1,1.0,0.2782,0.7772
PW1,FWL1,FS1,Regenerative Transition Pathway,2,1.0085,0.2156,0.8698
PW1,FWL1,FS1,Regenerative Transition Pathway,3,1.0244,0.153,0.9624
PW1,FWL1,FS1,Regenerative Transition Pathway,4,1.0478,0.0904,1.055
PW1,FWL1,FS1,Regenerative Transition Pathway,5,1.0787,0.0278,1.1476
PW1,FWL1,FS1,Regenerative Transition Pathway,6,1.115,0.0,1.2402
PW1,FWL1,FS1,Regenerative Transition Pathway,7,1.1549,0.0,1.3328
PW1,FWL1,FS1,Regenerative Transition Pathway,8,1.0784,0.0,1.4218
PW1,FWL1,FS1,Regenerative Transition Pathway,9,1.1256,0.0,1.5144
PW1,FWL1,FS1,Regenerative Transition Pathway,10,1.1762,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,11,1.2269,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,12,1.2775,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,13,1.3281,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,14,1.3788,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,15,1.4294,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,16,1.36,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,17,1.4107,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,18,1.4613,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,19,1.5119,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,20,1.5626,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,21,1.6132,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,22,1.6638,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,23,1.7145,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,24,1.6451,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,25,1.6957,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,26,1.7464,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,27,1.797,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,28,1.8,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,29,1.8,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,30,1.8,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,31,1.8,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,32,1.7306,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,33,1.7813,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,34,1.8,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,35,1.8,0.0,1.6
PW1,FWL1,FS1,Regenerative Transition Pathway,36,1.8,0.0,1.6
