pathway_id,institution_id,scenario_id,pathway_name,time_step,institutional_viability,legitimacy_score,learning_score
PW1,I1,S1,National Strategy Agency Renewal Pathway,1,1.0,0.58,0.66
PW1,I1,S1,National Strategy Agency Renewal Pathway,2,1.3609,0.6094,0.6932
PW1,I1,S1,National Strategy Agency Renewal Pathway,3,1.7339,0.6388,0.7264
PW1,I1,S1,National Strategy Agency Renewal Pathway,4,1.8,0.6682,0.7596
PW1,I1,S1,National Strategy Agency Renewal Pathway,5,1.8,0.6976,0.7928
PW1,I1,S1,National Strategy Agency Renewal Pathway,6,1.8,0.727,0.826
PW1,I1,S1,National Strategy Agency Renewal Pathway,7,1.8,0.7524,0.8572
PW1,I1,S1,National Strategy Agency Renewal Pathway,8,1.8,0.7818,0.8904
PW1,I1,S1,National Strategy Agency Renewal Pathway,9,1.8,0.8112,0.9236
PW1,I1,S1,National Strategy Agency Renewal Pathway,10,1.8,0.8406,0.9568
PW1,I1,S1,National Strategy Agency Renewal Pathway,11,1.8,0.87,0.99
PW1,I1,S1,National Strategy Agency Renewal Pathway,12,1.8,0.8994,1.0232
PW1,I1,S1,National Strategy Agency Renewal Pathway,13,1.8,0.9288,1.0564
PW1,I1,S1,National Strategy Agency Renewal Pathway,14,1.8,0.9542,1.0876
PW1,I1,S1,National Strategy Agency Renewal Pathway,15,1.8,0.9836,1.1208
PW1,I1,S1,National Strategy Agency Renewal Pathway,16,1.8,1.013,1.154
PW1,I1,S1,National Strategy Agency Renewal Pathway,17,1.8,1.0424,1.1872
PW1,I1,S1,National Strategy Agency Renewal Pathway,18,1.8,1.0718,1.2204
PW1,I1,S1,National Strategy Agency Renewal Pathway,19,1.8,1.1012,1.2536
PW1,I1,S1,National Strategy Agency Renewal Pathway,20,1.8,1.1306,1.2868
PW1,I1,S1,National Strategy Agency Renewal Pathway,21,1.8,1.156,1.318
PW1,I1,S1,National Strategy Agency Renewal Pathway,22,1.8,1.1854,1.3512
PW1,I1,S1,National Strategy Agency Renewal Pathway,23,1.8,1.2148,1.3844
PW1,I1,S1,National Strategy Agency Renewal Pathway,24,1.8,1.2442,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,25,1.8,1.2736,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,26,1.8,1.303,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,27,1.8,1.3324,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,28,1.8,1.3578,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,29,1.8,1.3872,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,30,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,31,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,32,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,33,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,34,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,35,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,36,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,37,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,38,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,39,1.8,1.4,1.4
PW1,I1,S1,National Strategy Agency Renewal Pathway,40,1.8,1.4,1.4
PW2,I2,S6,City Resilience Participatory Pathway,1,1.0,0.72,0.7
PW2,I2,S6,City Resilience Participatory Pathway,2,1.5107,0.768,0.7492
PW2,I2,S6,City Resilience Participatory Pathway,3,1.8,0.816,0.7984
PW2,I2,S6,City Resilience Participatory Pathway,4,1.8,0.864,0.8476
PW2,I2,S6,City Resilience Participatory Pathway,5,1.8,0.912,0.8968
PW2,I2,S6,City Resilience Participatory Pathway,6,1.8,0.96,0.946
PW2,I2,S6,City Resilience Participatory Pathway,7,1.8,1.004,0.9932
PW2,I2,S6,City Resilience Participatory Pathway,8,1.8,1.052,1.0424
PW2,I2,S6,City Resilience Participatory Pathway,9,1.8,1.1,1.0916
PW2,I2,S6,City Resilience Participatory Pathway,10,1.8,1.148,1.1408
PW2,I2,S6,City Resilience Participatory Pathway,11,1.8,1.196,1.19
PW2,I2,S6,City Resilience Participatory Pathway,12,1.8,1.244,1.2392
