pathway_id,profile_id,scenario_id,pathway_name,time_step,governance_capacity,system_stress,legitimacy,adaptive_learning
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,1,1.0,0.44,0.7448,0.7556
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,2,1.0926,0.3356,0.8448,0.8509
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,3,1.2006,0.2312,0.9489,0.9494
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,4,1.3242,0.1268,1.0573,1.051
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,5,1.4638,0.0224,1.1698,1.1557
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,6,1.6146,0.0,1.2832,1.2611
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,7,1.7752,0.0,1.3966,1.3665
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,8,1.8,0.0156,1.5093,1.4715
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,9,1.8,0.0,1.6227,1.5769
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,10,1.8,0.0,1.7361,1.6823
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,11,1.8,0.0,1.8,1.7877
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,12,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,13,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,14,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,15,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,16,1.8,0.0156,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,17,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,18,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,19,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,20,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,21,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,22,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,23,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,24,1.8,0.0156,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,25,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,26,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,27,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,28,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,29,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,30,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,31,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,32,1.8,0.0156,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,33,1.8,0.0112,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,34,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,35,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,36,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,37,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,38,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,39,1.8,0.0,1.8,1.8
AGP1,GGF1,GGS1,Multilateral Renewal Pathway,40,1.8,0.0856,1.8,1.8
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,1,1.0,0.72,0.3916,0.4124
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,2,1.0151,0.748,0.3973,0.4492
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,3,1.0304,0.776,0.4018,0.4851
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,4,1.046,0.804,0.4053,0.5202
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,5,1.0617,0.832,0.4076,0.5544
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,6,1.0775,0.86,0.4088,0.5878
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,7,1.0932,0.888,0.4089,0.6204
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,8,1.0987,1.036,0.403,0.6485
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,9,1.0995,1.144,0.3929,0.6734
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,10,1.0951,1.242,0.3788,0.6953
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,11,1.0825,1.37,0.3596,0.7134
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,12,1.0704,1.398,0.3393,0.7307
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,13,1.049,1.516,0.3142,0.7444
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,14,1.0273,1.544,0.2881,0.7573
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,15,1.0035,1.572,0.2608,0.7693
AGP2,GGF2,GGS2,Competitive Fragmentation Pathway,16,0.9675,1.72,0.2276,0.7769
