strategy_id,strategy_name,scenario_id,scenario_name,performance,best_scenario_performance,regret,notes
K1,Forecast-Optimized Strategy,S3,Climate and Infrastructure Stress,0.38,0.85,0.47,Historical assumptions weaken under climate stress.
K1,Forecast-Optimized Strategy,S4,Institutional Fragmentation,0.36,0.8,0.44,Institutional trust shock undermines forecast-optimized planning.
K1,Forecast-Optimized Strategy,S2,Technology Disruption,0.42,0.82,0.4,Low adaptation to rapid technology disruption.
K1,Forecast-Optimized Strategy,S5,Transformational Governance,0.49,0.88,0.39,Does not mobilize transformation effectively.
K4,Defensive Continuity Strategy,S5,Transformational Governance,0.57,0.88,0.31,Underuses transformational opportunity.
K4,Defensive Continuity Strategy,S2,Technology Disruption,0.52,0.82,0.3,Limited ability to adapt to technology disruption.
K3,Transformational Strategy,S1,Expected Continuity,0.62,0.91,0.29,May appear costly under continuity.
K4,Defensive Continuity Strategy,S3,Climate and Infrastructure Stress,0.56,0.85,0.29,Some resilience but weak transformation capacity.
K5,Participatory Futures Strategy,S1,Expected Continuity,0.66,0.91,0.25,Participatory process may seem slower under continuity.
K4,Defensive Continuity Strategy,S1,Expected Continuity,0.7,0.91,0.21,Protects existing operations.
K4,Defensive Continuity Strategy,S4,Institutional Fragmentation,0.61,0.8,0.19,Defensive posture protects continuity under fragmentation.
K2,Flexible Foresight Strategy,S1,Expected Continuity,0.78,0.91,0.13,Acceptable under continuity while preserving options.
K2,Flexible Foresight Strategy,S3,Climate and Infrastructure Stress,0.74,0.85,0.11,Scenario testing improves preparedness for climate stress.
K5,Participatory Futures Strategy,S2,Technology Disruption,0.72,0.82,0.1,Public legitimacy helps technology governance.
K2,Flexible Foresight Strategy,S4,Institutional Fragmentation,0.71,0.8,0.09,Monitoring and modularity help but legitimacy risks remain.
K2,Flexible Foresight Strategy,S5,Transformational Governance,0.79,0.88,0.09,Works well with stronger anticipatory governance.
K5,Participatory Futures Strategy,S3,Climate and Infrastructure Stress,0.78,0.85,0.07,Community knowledge strengthens adaptation.
K2,Flexible Foresight Strategy,S2,Technology Disruption,0.76,0.82,0.06,Adaptive options support response to technology shifts.
K3,Transformational Strategy,S4,Institutional Fragmentation,0.77,0.8,0.03,Institutional redesign helps but political feasibility is difficult.
K5,Participatory Futures Strategy,S5,Transformational Governance,0.86,0.88,0.02,Strong alignment with transformational governance.
K1,Forecast-Optimized Strategy,S1,Expected Continuity,0.91,0.91,0.0,Strong under continuity but brittle when assumptions break.
K3,Transformational Strategy,S2,Technology Disruption,0.82,0.82,0.0,Structural transition benefits under technology disruption.
K3,Transformational Strategy,S3,Climate and Infrastructure Stress,0.85,0.85,0.0,Strong under climate and infrastructure stress.
K3,Transformational Strategy,S5,Transformational Governance,0.88,0.88,0.0,Best aligned with transformational governance.
K5,Participatory Futures Strategy,S4,Institutional Fragmentation,0.8,0.8,0.0,Legitimacy and participation reduce fragmentation risk.
