"response_id","expert_id","round","issue_id","issue_title","likelihood","impact","urgency","feasibility","confidence","low_estimate","high_estimate","rationale_code","uncertainty_range","judgment_profile"
"R001","E01",1,"I1","Public AI accountability before deployment",0.66,0.9,0.84,0.58,0.72,0.48,0.82,"GOVERNANCE_LAG",0.34,0.777
"R002","E02",1,"I1","Public AI accountability before deployment",0.62,0.86,0.8,0.62,0.7,0.44,0.78,"PROCUREMENT_REFORM",0.34,0.749
"R003","E03",1,"I1","Public AI accountability before deployment",0.5,0.76,0.68,0.52,0.6,0.34,0.72,"IMPLEMENTATION_CAPACITY",0.38,0.639
"R004","E04",1,"I1","Public AI accountability before deployment",0.7,0.92,0.88,0.5,0.66,0.5,0.86,"COMMUNITY_HARM",0.36,0.792
"R005","E05",1,"I1","Public AI accountability before deployment",0.58,0.82,0.76,0.54,0.64,0.42,0.74,"DATA_GOVERNANCE",0.32,0.703
"R006","E06",1,"I1","Public AI accountability before deployment",0.52,0.78,0.7,0.56,0.58,0.36,0.72,"INFRASTRUCTURE_ANALOGY",0.36,0.662
"R007","E07",1,"I1","Public AI accountability before deployment",0.72,0.88,0.86,0.48,0.68,0.52,0.88,"WORKER_IMPACT",0.36,0.775
"R008","E08",1,"I1","Public AI accountability before deployment",0.64,0.84,0.78,0.6,0.7,0.46,0.8,"FORESIGHT_SIGNAL",0.34,0.739
"R009","E09",1,"I1","Public AI accountability before deployment",0.74,0.94,0.9,0.46,0.72,0.54,0.9,"RIGHTS_RISK",0.36,0.808
"R010","E10",1,"I1","Public AI accountability before deployment",0.56,0.8,0.72,0.58,0.62,0.38,0.74,"FUNDING_MODEL",0.36,0.687
"R011","E11",1,"I1","Public AI accountability before deployment",0.48,0.74,0.66,0.52,0.56,0.32,0.7,"SYSTEMIC_UNCERTAINTY",0.38,0.622
"R012","E12",1,"I1","Public AI accountability before deployment",0.6,0.82,0.78,0.54,0.66,0.42,0.78,"FUTURE_SKILLS",0.36,0.713
"R013","E01",2,"I1","Public AI accountability before deployment",0.68,0.91,0.86,0.6,0.76,0.52,0.82,"GOVERNANCE_LAG",0.3,0.7935
"R014","E02",2,"I1","Public AI accountability before deployment",0.65,0.88,0.82,0.64,0.74,0.48,0.8,"PROCUREMENT_REFORM",0.32,0.7715
"R015","E03",2,"I1","Public AI accountability before deployment",0.56,0.8,0.72,0.56,0.64,0.4,0.74,"IMPLEMENTATION_CAPACITY",0.34,0.684
"R016","E04",2,"I1","Public AI accountability before deployment",0.72,0.93,0.9,0.52,0.7,0.54,0.88,"COMMUNITY_HARM",0.34,0.8085
"R017","E05",2,"I1","Public AI accountability before deployment",0.61,0.84,0.78,0.56,0.68,0.44,0.76,"DATA_GOVERNANCE",0.32,0.7255
"R018","E06",2,"I1","Public AI accountability before deployment",0.56,0.8,0.72,0.58,0.62,0.4,0.74,"INFRASTRUCTURE_ANALOGY",0.34,0.687
"R019","E07",2,"I1","Public AI accountability before deployment",0.73,0.89,0.88,0.5,0.72,0.54,0.88,"WORKER_IMPACT",0.34,0.789
"R020","E08",2,"I1","Public AI accountability before deployment",0.66,0.86,0.8,0.62,0.74,0.5,0.82,"FORESIGHT_SIGNAL",0.32,0.759
"R021","E09",2,"I1","Public AI accountability before deployment",0.75,0.95,0.92,0.48,0.76,0.56,0.9,"RIGHTS_RISK",0.34,0.822
"R022","E10",2,"I1","Public AI accountability before deployment",0.6,0.82,0.76,0.6,0.66,0.42,0.76,"FUNDING_MODEL",0.34,0.717
"R023","E11",2,"I1","Public AI accountability before deployment",0.54,0.78,0.7,0.54,0.6,0.38,0.72,"SYSTEMIC_UNCERTAINTY",0.34,0.664
"R024","E12",2,"I1","Public AI accountability before deployment",0.63,0.84,0.8,0.56,0.7,0.46,0.8,"FUTURE_SKILLS",0.34,0.7355
