response_id,expert_id,round,issue_id,issue_title,likelihood,impact,urgency,feasibility,confidence,uncertainty_range,judgment_profile,rationale_code
R001,E01,1,I1,Public AI accountability before deployment,0.66,0.9,0.84,0.58,0.72,0.34,0.777,GOVERNANCE_LAG
R002,E02,1,I1,Public AI accountability before deployment,0.62,0.86,0.8,0.62,0.7,0.34,0.749,PROCUREMENT_REFORM
R003,E03,1,I1,Public AI accountability before deployment,0.5,0.76,0.68,0.52,0.6,0.38,0.639,IMPLEMENTATION_CAPACITY
R004,E04,1,I1,Public AI accountability before deployment,0.7,0.92,0.88,0.5,0.66,0.36,0.792,COMMUNITY_HARM
R005,E05,1,I1,Public AI accountability before deployment,0.58,0.82,0.76,0.54,0.64,0.32,0.703,DATA_GOVERNANCE
R006,E06,1,I1,Public AI accountability before deployment,0.52,0.78,0.7,0.56,0.58,0.36,0.662,INFRASTRUCTURE_ANALOGY
R007,E07,1,I1,Public AI accountability before deployment,0.72,0.88,0.86,0.48,0.68,0.36,0.775,WORKER_IMPACT
R008,E08,1,I1,Public AI accountability before deployment,0.64,0.84,0.78,0.6,0.7,0.34,0.739,FORESIGHT_SIGNAL
R009,E09,1,I1,Public AI accountability before deployment,0.74,0.94,0.9,0.46,0.72,0.36,0.808,RIGHTS_RISK
R010,E10,1,I1,Public AI accountability before deployment,0.56,0.8,0.72,0.58,0.62,0.36,0.687,FUNDING_MODEL
R011,E11,1,I1,Public AI accountability before deployment,0.48,0.74,0.66,0.52,0.56,0.38,0.622,SYSTEMIC_UNCERTAINTY
R012,E12,1,I1,Public AI accountability before deployment,0.6,0.82,0.78,0.54,0.66,0.36,0.713,FUTURE_SKILLS
R013,E01,2,I1,Public AI accountability before deployment,0.68,0.91,0.86,0.6,0.76,0.3,0.7935,GOVERNANCE_LAG
R014,E02,2,I1,Public AI accountability before deployment,0.65,0.88,0.82,0.64,0.74,0.32,0.7715,PROCUREMENT_REFORM
R015,E03,2,I1,Public AI accountability before deployment,0.56,0.8,0.72,0.56,0.64,0.34,0.684,IMPLEMENTATION_CAPACITY
R016,E04,2,I1,Public AI accountability before deployment,0.72,0.93,0.9,0.52,0.7,0.34,0.8085,COMMUNITY_HARM
R017,E05,2,I1,Public AI accountability before deployment,0.61,0.84,0.78,0.56,0.68,0.32,0.7255,DATA_GOVERNANCE
R018,E06,2,I1,Public AI accountability before deployment,0.56,0.8,0.72,0.58,0.62,0.34,0.687,INFRASTRUCTURE_ANALOGY
R019,E07,2,I1,Public AI accountability before deployment,0.73,0.89,0.88,0.5,0.72,0.34,0.789,WORKER_IMPACT
R020,E08,2,I1,Public AI accountability before deployment,0.66,0.86,0.8,0.62,0.74,0.32,0.759,FORESIGHT_SIGNAL
R021,E09,2,I1,Public AI accountability before deployment,0.75,0.95,0.92,0.48,0.76,0.34,0.822,RIGHTS_RISK
R022,E10,2,I1,Public AI accountability before deployment,0.6,0.82,0.76,0.6,0.66,0.34,0.717,FUNDING_MODEL
R023,E11,2,I1,Public AI accountability before deployment,0.54,0.78,0.7,0.54,0.6,0.34,0.664,SYSTEMIC_UNCERTAINTY
R024,E12,2,I1,Public AI accountability before deployment,0.63,0.84,0.8,0.56,0.7,0.34,0.7355,FUTURE_SKILLS
R025,E01,3,I1,Public AI accountability before deployment,0.69,0.92,0.87,0.61,0.78,0.28,0.8035,GOVERNANCE_LAG
R026,E02,3,I1,Public AI accountability before deployment,0.66,0.89,0.83,0.65,0.76,0.3,0.7815,PROCUREMENT_REFORM
R027,E03,3,I1,Public AI accountability before deployment,0.59,0.82,0.74,0.58,0.68,0.34,0.7065,IMPLEMENTATION_CAPACITY
R028,E04,3,I1,Public AI accountability before deployment,0.73,0.94,0.91,0.53,0.72,0.32,0.8185,COMMUNITY_HARM
R029,E05,3,I1,Public AI accountability before deployment,0.63,0.85,0.8,0.58,0.7,0.32,0.742,DATA_GOVERNANCE
R030,E06,3,I1,Public AI accountability before deployment,0.58,0.81,0.74,0.59,0.64,0.32,0.702,INFRASTRUCTURE_ANALOGY
R031,E07,3,I1,Public AI accountability before deployment,0.74,0.9,0.89,0.51,0.74,0.33,0.799,WORKER_IMPACT
R032,E08,3,I1,Public AI accountability before deployment,0.67,0.87,0.81,0.63,0.76,0.3,0.769,FORESIGHT_SIGNAL
R033,E09,3,I1,Public AI accountability before deployment,0.76,0.95,0.93,0.49,0.78,0.33,0.8285,RIGHTS_RISK
R034,E10,3,I1,Public AI accountability before deployment,0.62,0.83,0.77,0.61,0.68,0.34,0.7295,FUNDING_MODEL
R035,E11,3,I1,Public AI accountability before deployment,0.56,0.8,0.72,0.56,0.64,0.34,0.684,SYSTEMIC_UNCERTAINTY
R036,E12,3,I1,Public AI accountability before deployment,0.64,0.85,0.81,0.58,0.72,0.32,0.747,FUTURE_SKILLS
