edge_id,source_node_id,target_node_id,relationship_type,influence_strength,feedback_potential,notes
E1,C0,C1,direct_consequence,0.90,0.42,Heat directly increases cooling demand.
E2,C0,C2,direct_consequence,0.86,0.38,Heat directly increases worker exposure.
E3,C1,C3,cost_cascade,0.82,0.46,Cooling demand contributes to household energy burden.
E4,C1,C4,infrastructure_cascade,0.84,0.56,Cooling demand stresses grid reliability.
E5,C2,C5,health_cascade,0.88,0.50,Worker and resident exposure increases health emergencies.
E6,C3,C6,household_finance_cascade,0.76,0.42,Energy burden contributes to debt stress.
E7,C5,C7,public_health_cascade,0.80,0.50,Emergencies strain public-health capacity.
E8,C4,C8,legitimacy_cascade,0.74,0.58,Grid failures increase legitimacy pressure.
E9,C7,C8,trust_feedback,0.70,0.62,Health-system strain undermines public confidence.
E10,C9,C10,direct_consequence,0.86,0.48,AI systems directly shape public service decisions.
E11,C9,C11,direct_consequence,0.78,0.54,Scaling exposes governance capacity gaps.
E12,C10,C12,rights_cascade,0.82,0.58,Automated decisions can generate due-process failures.
E13,C10,C13,labor_governance_cascade,0.74,0.48,Automated recommendations blur worker accountability.
E14,C11,C14,trust_cascade,0.76,0.58,Governance gaps reduce public trust after harms.
E15,C12,C15,legal_cascade,0.78,0.52,Due-process failures increase legal and oversight pressure.
E16,C14,C16,policy_window,0.74,0.60,Public trust crisis creates governance reform pressure.
