pathway_id,profile_id,scenario_id,pathway_name,time_step,infrastructure_viability,system_load,adaptive_capacity
PW1,IF1,IS1,Centralized Utility Stress Pathway,1,1.0,0.5384,0.5168
PW1,IF1,IS1,Centralized Utility Stress Pathway,2,0.9571,0.5329,0.5766
PW1,IF1,IS1,Centralized Utility Stress Pathway,3,0.917,0.5274,0.6364
PW1,IF1,IS1,Centralized Utility Stress Pathway,4,0.8796,0.5219,0.6962
PW1,IF1,IS1,Centralized Utility Stress Pathway,5,0.8449,0.5164,0.756
PW1,IF1,IS1,Centralized Utility Stress Pathway,6,0.8129,0.5109,0.8158
PW1,IF1,IS1,Centralized Utility Stress Pathway,7,0.7837,0.5054,0.8756
PW1,IF1,IS1,Centralized Utility Stress Pathway,8,0.6467,0.5054,0.9321
PW1,IF1,IS1,Centralized Utility Stress Pathway,9,0.6224,0.4999,0.9919
PW1,IF1,IS1,Centralized Utility Stress Pathway,10,0.6009,0.4944,1.0517
PW1,IF1,IS1,Centralized Utility Stress Pathway,11,0.5399,0.4906,1.1107
PW1,IF1,IS1,Centralized Utility Stress Pathway,12,0.5237,0.4851,1.1705
PW1,IF1,IS1,Centralized Utility Stress Pathway,13,0.5102,0.4796,1.2303
PW1,IF1,IS1,Centralized Utility Stress Pathway,14,0.4994,0.4741,1.2901
PW1,IF1,IS1,Centralized Utility Stress Pathway,15,0.4913,0.4686,1.3499
PW1,IF1,IS1,Centralized Utility Stress Pathway,16,0.3755,0.4686,1.4064
PW1,IF1,IS1,Centralized Utility Stress Pathway,17,0.3724,0.4631,1.4662
PW1,IF1,IS1,Centralized Utility Stress Pathway,18,0.372,0.4576,1.526
PW1,IF1,IS1,Centralized Utility Stress Pathway,19,0.3744,0.4521,1.5858
PW1,IF1,IS1,Centralized Utility Stress Pathway,20,0.3776,0.4466,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,21,0.3812,0.4411,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,22,0.343,0.4373,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,23,0.3472,0.4318,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,24,0.2413,0.4318,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,25,0.2458,0.4263,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,26,0.2506,0.4208,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,27,0.2557,0.4153,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,28,0.2612,0.4098,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,29,0.267,0.4043,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,30,0.2731,0.3988,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,31,0.2796,0.3933,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,32,0.176,0.3933,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,33,0.1407,0.3894,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,34,0.1477,0.3839,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,35,0.1551,0.3784,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,36,0.1627,0.3729,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,37,0.1708,0.3674,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,38,0.1791,0.3619,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,39,0.1877,0.3564,1.6
PW1,IF1,IS1,Centralized Utility Stress Pathway,40,0.0864,0.3564,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,1,1.0,0.3488,0.6944
PW2,IF2,IS5,Distributed Resilience Pathway,2,0.9907,0.3082,0.7662
PW2,IF2,IS5,Distributed Resilience Pathway,3,0.9866,0.2676,0.838
PW2,IF2,IS5,Distributed Resilience Pathway,4,0.9879,0.227,0.9098
PW2,IF2,IS5,Distributed Resilience Pathway,5,0.9945,0.1864,0.9816
PW2,IF2,IS5,Distributed Resilience Pathway,6,1.0063,0.1458,1.0534
PW2,IF2,IS5,Distributed Resilience Pathway,7,1.0235,0.1052,1.1252
PW2,IF2,IS5,Distributed Resilience Pathway,8,0.9356,0.0701,1.1937
PW2,IF2,IS5,Distributed Resilience Pathway,9,0.9629,0.0295,1.2655
PW2,IF2,IS5,Distributed Resilience Pathway,10,0.9949,0.0,1.3373
PW2,IF2,IS5,Distributed Resilience Pathway,11,0.9817,0.0,1.4081
PW2,IF2,IS5,Distributed Resilience Pathway,12,1.0194,0.0,1.4799
PW2,IF2,IS5,Distributed Resilience Pathway,13,1.06,0.0,1.5517
PW2,IF2,IS5,Distributed Resilience Pathway,14,1.1025,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,15,1.145,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,16,1.0775,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,17,1.12,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,18,1.1625,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,19,1.205,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,20,1.2475,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,21,1.29,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,22,1.2844,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,23,1.3269,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,24,1.2594,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,25,1.3019,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,26,1.3444,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,27,1.3869,0.0,1.6
PW2,IF2,IS5,Distributed Resilience Pathway,28,1.4294,0.0,1.6
