pathway_id,model_id,scenario_id,pathway_name,time_step,future_ready_regulatory_capacity,regulatory_lag_pressure,rights_protection,public_trust,learning_score
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,1,0.394,0.65,0.46,0.46,0.36
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,2,0.4094,0.6419,0.4757,0.4673,0.3926
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,3,0.4263,0.6337,0.4918,0.4757,0.4252
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,4,0.4445,0.6253,0.5082,0.4852,0.4578
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,5,0.4641,0.6168,0.5249,0.4957,0.4904
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,6,0.4852,0.6083,0.542,0.5074,0.523
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,7,0.5077,0.5996,0.5594,0.5202,0.5556
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,8,0.528,0.5988,0.5768,0.5337,0.5862
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,9,0.5526,0.5898,0.5946,0.5484,0.6188
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,10,0.5788,0.5808,0.6128,0.5643,0.6514
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,11,0.6064,0.5716,0.6313,0.5814,0.684
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,12,0.6355,0.5623,0.6502,0.5997,0.7166
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,13,0.6661,0.5529,0.6695,0.6192,0.7492
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,14,0.6981,0.5434,0.6892,0.64,0.7818
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,15,0.7317,0.5338,0.7092,0.6621,0.8144
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,16,0.7632,0.5321,0.7294,0.685,0.845
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,17,0.7991,0.5222,0.7499,0.7093,0.8776
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,18,0.8365,0.5122,0.7708,0.735,0.9102
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,19,0.8755,0.5021,0.7921,0.7619,0.9428
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,20,0.9161,0.4919,0.8138,0.7903,0.9754
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,21,0.9582,0.4816,0.836,0.82,1.008
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,22,1.0019,0.4711,0.8585,0.8512,1.0406
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,23,1.0471,0.4606,0.8815,0.8839,1.0732
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,24,1.0903,0.4579,0.9046,0.9175,1.1038
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,25,1.1381,0.4471,0.9281,0.9527,1.1364
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,26,1.1874,0.4362,0.952,0.9894,1.169
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,27,1.2384,0.4252,0.9764,1.0276,1.2016
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,28,1.291,0.414,1.0013,1.0673,1.2342
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,29,1.3452,0.4028,1.0266,1.1087,1.2668
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,30,1.4011,0.3914,1.0523,1.1516,1.2994
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,31,1.4586,0.3799,1.0785,1.1961,1.332
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,32,1.5142,0.3763,1.1049,1.2419,1.3626
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,33,1.5744,0.3646,1.1317,1.2893,1.3952
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,34,1.6362,0.3527,1.159,1.3385,1.4
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,35,1.6991,0.3409,1.1867,1.3893,1.4
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,36,1.763,0.329,1.215,1.4,1.4
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,37,1.8,0.3172,1.2437,1.4,1.4
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,38,1.8,0.3053,1.2729,1.4,1.4
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,39,1.8,0.2935,1.3025,1.4,1.4
P1,RM1,SC2,Reactive Compliance Under Regulatory Lag,40,1.8,0.2896,1.3323,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,1,0.7356,0.197,0.68,0.62,0.82
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,2,0.8553,0.1755,0.7328,0.6765,0.8928
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,3,0.9784,0.1537,0.7864,0.7363,0.9656
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,4,1.1048,0.1317,0.841,0.7994,1.0384
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,5,1.2347,0.1094,0.8964,0.8657,1.1112
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,6,1.368,0.0869,0.9527,0.9355,1.184
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,7,1.5048,0.0641,1.0099,1.0087,1.2568
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,8,1.6415,0.049,1.0678,1.085,1.3276
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,9,1.7846,0.0257,1.1266,1.1647,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,10,1.8,0.0021,1.1863,1.2481,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,11,1.8,0.0,1.2461,1.3339,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,12,1.8,0.0,1.3059,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,13,1.8,0.0,1.3657,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,14,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,15,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,16,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,17,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,18,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,19,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,20,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,21,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,22,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,23,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,24,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,25,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,26,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,27,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,28,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,29,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,30,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,31,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,32,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,33,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,34,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,35,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,36,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,37,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,38,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,39,1.8,0.0,1.4,1.4,1.4
P2,RM3,SC1,Adaptive Regulation Capacity Pathway,40,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,1,0.7476,0.275,0.9,0.66,0.74
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,2,0.8554,0.2554,0.9616,0.7259,0.8056
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,3,0.9663,0.2355,1.024,0.7953,0.8712
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,4,1.0803,0.2154,1.0871,0.8682,0.9368
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,5,1.1973,0.1951,1.1511,0.9447,1.0024
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,6,1.3175,0.1745,1.216,1.0248,1.068
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,7,1.4409,0.1537,1.2816,1.1086,1.1336
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,8,1.5637,0.1406,1.3478,1.1957,1.1972
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,9,1.6927,0.1194,1.4,1.2859,1.2628
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,10,1.8,0.0979,1.4,1.3772,1.3284
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,11,1.8,0.0761,1.4,1.4,1.394
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,12,1.8,0.0541,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,13,1.8,0.0321,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,14,1.8,0.0101,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,15,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,16,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,17,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,18,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,19,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,20,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,21,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,22,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,23,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,24,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,25,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,26,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,27,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,28,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,29,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,30,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,31,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,32,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,33,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,34,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,35,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,36,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,37,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,38,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,39,1.8,0.0,1.4,1.4,1.4
P3,RM4,SC1,Rights-Centered Technology Regulation Pathway,40,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,1,0.7412,0.206,0.72,0.64,0.78
P4,RM5,SC1,Climate Foresight Regulation Pathway,2,0.8595,0.1851,0.7756,0.702,0.8486
P4,RM5,SC1,Climate Foresight Regulation Pathway,3,0.9811,0.1639,0.832,0.7673,0.9172
P4,RM5,SC1,Climate Foresight Regulation Pathway,4,1.1059,0.1425,0.8893,0.8359,0.9858
P4,RM5,SC1,Climate Foresight Regulation Pathway,5,1.234,0.1209,0.9475,0.908,1.0544
P4,RM5,SC1,Climate Foresight Regulation Pathway,6,1.3654,0.099,1.0065,0.9835,1.123
P4,RM5,SC1,Climate Foresight Regulation Pathway,7,1.5001,0.0768,1.0665,1.0625,1.1916
P4,RM5,SC1,Climate Foresight Regulation Pathway,8,1.6345,0.0624,1.127,1.1447,1.2582
P4,RM5,SC1,Climate Foresight Regulation Pathway,9,1.7752,0.0398,1.1884,1.2304,1.3268
P4,RM5,SC1,Climate Foresight Regulation Pathway,10,1.8,0.0169,1.2507,1.3198,1.3954
P4,RM5,SC1,Climate Foresight Regulation Pathway,11,1.8,0.0,1.3137,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,12,1.8,0.0,1.3767,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,13,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,14,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,15,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,16,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,17,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,18,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,19,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,20,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,21,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,22,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,23,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,24,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,25,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,26,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,27,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,28,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,29,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,30,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,31,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,32,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,33,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,34,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,35,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,36,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,37,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,38,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,39,1.8,0.0,1.4,1.4,1.4
P4,RM5,SC1,Climate Foresight Regulation Pathway,40,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,1,0.6402,0.318,0.64,0.56,0.76
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,2,0.7302,0.3004,0.6818,0.6029,0.8242
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,3,0.8231,0.2825,0.7243,0.6483,0.8884
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,4,0.9189,0.2644,0.7675,0.6964,0.9526
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,5,1.0176,0.2461,0.8115,0.7471,1.0168
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,6,1.1192,0.2276,0.8562,0.8006,1.081
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,7,1.2237,0.2088,0.9016,0.8568,1.1452
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,8,1.3276,0.1978,0.9475,0.9154,1.2074
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,9,1.4375,0.1785,0.9942,0.9769,1.2716
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,10,1.5503,0.1591,1.0416,1.0412,1.3358
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,11,1.6661,0.1394,1.0898,1.1084,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,12,1.785,0.1195,1.1388,1.1786,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,13,1.8,0.0995,1.1887,1.2518,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,14,1.8,0.0796,1.2393,1.3279,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,15,1.8,0.0597,1.2907,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,16,1.8,0.0477,1.3426,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,17,1.8,0.0278,1.3953,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,18,1.8,0.0079,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,19,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,20,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,21,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,22,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,23,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,24,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,25,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,26,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,27,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,28,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,29,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,30,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,31,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,32,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,33,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,34,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,35,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,36,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,37,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,38,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,39,1.8,0.0,1.4,1.4,1.4
P5,RM6,SC4,Regulatory Sandbox with Safeguards Pathway,40,1.8,0.0,1.4,1.4,1.4
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,1,0.7588,0.262,0.78,0.68,0.8
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,2,0.8727,0.2425,0.8389,0.7506,0.8668
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,3,0.9897,0.2229,0.8986,0.8246,0.9336
P6,RM7,SC1,Participatory Regulatory Foresight Pathway,4,1.1098,0.2029,0.9591,0.902,1.0004
