pathway_id,governance_id,scenario_id,pathway_name,time_step,anticipatory_capacity,legitimacy_score,learning_score,risk_pressure
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,1,0.46,0.4,0.33,0.55
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,2,0.4936,0.4114,0.3694,0.5797
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,3,0.5252,0.4216,0.4088,0.6093
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,4,0.5549,0.4307,0.4482,0.639
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,5,0.5827,0.4385,0.4876,0.6687
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,6,0.6084,0.4452,0.527,0.6984
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,7,0.6321,0.4507,0.5664,0.728
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,8,0.6438,0.451,0.6028,0.8577
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,9,0.6533,0.4501,0.6422,0.8874
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,10,0.6605,0.448,0.6816,0.917
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,11,0.6655,0.4447,0.721,0.9467
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,12,0.6683,0.4403,0.7604,0.9764
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,13,0.6687,0.4346,0.7998,1.0061
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,14,0.6669,0.4278,0.8392,1.0357
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,15,0.6627,0.4198,0.8786,1.0654
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,16,0.6462,0.4066,0.915,1.1951
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,17,0.6271,0.3922,0.9544,1.2248
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,18,0.6055,0.3766,0.9938,1.2544
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,19,0.5814,0.3598,1.0332,1.2841
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,20,0.5546,0.3419,1.0726,1.3138
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,21,0.5253,0.3228,1.112,1.3434
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,22,0.4934,0.3024,1.1514,1.3731
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,23,0.4588,0.2809,1.1908,1.4028
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,24,0.4148,0.2555,1.2272,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,25,0.3709,0.2301,1.2666,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,26,0.3272,0.2047,1.306,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,27,0.2837,0.1793,1.3454,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,28,0.2404,0.1539,1.3848,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,29,0.1972,0.1285,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,30,0.1538,0.1031,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,31,0.1099,0.0777,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,32,0.0653,0.0523,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,33,0.0201,0.0269,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,34,0.0,0.0015,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,35,0.0,0.0,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,36,0.0,0.0,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,37,0.0,0.0,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,38,0.0,0.0,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,39,0.0,0.0,1.4,1.5
P1,G1,SC7,Reactive Crisis Governance Under Fragmentation,40,0.0,0.0,1.4,1.5
P2,G2,SC2,Strategic Foresight Unit Without Implementation,1,0.64,0.54,0.61,0.55
P2,G2,SC2,Strategic Foresight Unit Without Implementation,2,0.7373,0.5653,0.6826,0.5567
P2,G2,SC2,Strategic Foresight Unit Without Implementation,3,0.836,0.5904,0.7552,0.5633
P2,G2,SC2,Strategic Foresight Unit Without Implementation,4,0.936,0.6152,0.8278,0.57
P2,G2,SC2,Strategic Foresight Unit Without Implementation,5,1.0374,0.6397,0.9004,0.5767
P2,G2,SC2,Strategic Foresight Unit Without Implementation,6,1.1402,0.664,0.973,0.5834
P2,G2,SC2,Strategic Foresight Unit Without Implementation,7,1.2443,0.688,1.0456,0.59
P2,G2,SC2,Strategic Foresight Unit Without Implementation,8,1.3397,0.7077,1.1152,0.6967
P2,G2,SC2,Strategic Foresight Unit Without Implementation,9,1.4364,0.7272,1.1878,0.7034
P2,G2,SC2,Strategic Foresight Unit Without Implementation,10,1.5342,0.7464,1.2604,0.71
