pathway_id,profile_id,scenario_id,pathway_name,time_step,sustainability_viability,stress_exposure,institutional_capacity
PW1,SF1,SS2,High-Consumption Fragility Pathway,1,1.0,0.6824,0.3796
PW1,SF1,SS2,High-Consumption Fragility Pathway,2,0.9234,0.6764,0.4149
PW1,SF1,SS2,High-Consumption Fragility Pathway,3,0.8486,0.6704,0.4502
PW1,SF1,SS2,High-Consumption Fragility Pathway,4,0.7754,0.6644,0.4855
PW1,SF1,SS2,High-Consumption Fragility Pathway,5,0.704,0.6584,0.5208
PW1,SF1,SS2,High-Consumption Fragility Pathway,6,0.6343,0.6524,0.5561
PW1,SF1,SS2,High-Consumption Fragility Pathway,7,0.5663,0.6464,0.5914
PW1,SF1,SS2,High-Consumption Fragility Pathway,8,0.5,0.6404,0.6267
PW1,SF1,SS2,High-Consumption Fragility Pathway,9,0.335,0.6394,0.658
PW1,SF1,SS2,High-Consumption Fragility Pathway,10,0.2717,0.6334,0.6933
PW1,SF1,SS2,High-Consumption Fragility Pathway,11,0.2102,0.6274,0.7286
PW1,SF1,SS2,High-Consumption Fragility Pathway,12,0.1503,0.6214,0.7639
PW1,SF1,SS2,High-Consumption Fragility Pathway,13,0.0922,0.6154,0.7992
PW1,SF1,SS2,High-Consumption Fragility Pathway,14,0.0357,0.6094,0.8345
PW1,SF1,SS2,High-Consumption Fragility Pathway,15,0.0,0.6034,0.8698
PW1,SF1,SS2,High-Consumption Fragility Pathway,16,0.0,0.5974,0.9051
PW1,SF1,SS2,High-Consumption Fragility Pathway,17,0.0,0.5914,0.9404
PW1,SF1,SS2,High-Consumption Fragility Pathway,18,0.0,0.5904,0.9717
PW1,SF1,SS2,High-Consumption Fragility Pathway,19,0.0,0.5844,1.007
PW1,SF1,SS2,High-Consumption Fragility Pathway,20,0.0,0.5784,1.0423
PW1,SF1,SS2,High-Consumption Fragility Pathway,21,0.0,0.5724,1.0776
PW1,SF1,SS2,High-Consumption Fragility Pathway,22,0.0,0.5664,1.1129
PW1,SF1,SS2,High-Consumption Fragility Pathway,23,0.0,0.5604,1.1482
PW1,SF1,SS2,High-Consumption Fragility Pathway,24,0.0,0.5544,1.1835
PW1,SF1,SS2,High-Consumption Fragility Pathway,25,0.0,0.5484,1.2188
PW1,SF1,SS2,High-Consumption Fragility Pathway,26,0.0,0.5424,1.2541
PW1,SF1,SS2,High-Consumption Fragility Pathway,27,0.0,0.5414,1.2854
PW1,SF1,SS2,High-Consumption Fragility Pathway,28,0.0,0.5354,1.3207
PW1,SF1,SS2,High-Consumption Fragility Pathway,29,0.0,0.5294,1.356
PW1,SF1,SS2,High-Consumption Fragility Pathway,30,0.0,0.5234,1.3913
PW1,SF1,SS2,High-Consumption Fragility Pathway,31,0.0,0.5174,1.4266
PW1,SF1,SS2,High-Consumption Fragility Pathway,32,0.0,0.5114,1.4619
PW1,SF1,SS2,High-Consumption Fragility Pathway,33,0.0,0.5054,1.4972
PW1,SF1,SS2,High-Consumption Fragility Pathway,34,0.0,0.4994,1.5
