pathway_id,scenario_id,pathway_name,time_step,transformation_viability,pressure_index,transformation_depth
PW1,SC1,Fragmented Disruptive Transition Pathway,1,1.0,1.4,0.3
PW1,SC1,Fragmented Disruptive Transition Pathway,2,0.8895,1.8454,0.386
PW1,SC1,Fragmented Disruptive Transition Pathway,3,0.779,2.2552,0.472
PW1,SC1,Fragmented Disruptive Transition Pathway,4,0.6686,2.5,0.558
PW1,SC1,Fragmented Disruptive Transition Pathway,5,0.5581,2.5,0.644
PW1,SC1,Fragmented Disruptive Transition Pathway,6,0.4476,2.5,0.73
PW1,SC1,Fragmented Disruptive Transition Pathway,7,0.3371,2.5,0.816
PW1,SC1,Fragmented Disruptive Transition Pathway,8,0.2266,2.5,0.902
PW1,SC1,Fragmented Disruptive Transition Pathway,9,0.1073,2.5,0.988
PW1,SC1,Fragmented Disruptive Transition Pathway,10,0.0,2.5,1.074
PW1,SC1,Fragmented Disruptive Transition Pathway,11,0.0,2.5,1.16
PW1,SC1,Fragmented Disruptive Transition Pathway,12,0.0,2.5,1.246
PW1,SC1,Fragmented Disruptive Transition Pathway,13,0.0,2.5,1.332
PW1,SC1,Fragmented Disruptive Transition Pathway,14,0.0,2.5,1.418
PW1,SC1,Fragmented Disruptive Transition Pathway,15,0.0,2.5,1.504
PW1,SC1,Fragmented Disruptive Transition Pathway,16,0.0,2.5,1.59
PW1,SC1,Fragmented Disruptive Transition Pathway,17,0.0,2.5,1.676
PW1,SC1,Fragmented Disruptive Transition Pathway,18,0.0,2.5,1.762
PW1,SC1,Fragmented Disruptive Transition Pathway,19,0.0,2.5,1.848
PW1,SC1,Fragmented Disruptive Transition Pathway,20,0.0,2.5,1.934
PW1,SC1,Fragmented Disruptive Transition Pathway,21,0.0,2.5,2.02
PW1,SC1,Fragmented Disruptive Transition Pathway,22,0.0,2.5,2.106
PW1,SC1,Fragmented Disruptive Transition Pathway,23,0.0,2.5,2.192
PW1,SC1,Fragmented Disruptive Transition Pathway,24,0.0,2.5,2.278
PW1,SC1,Fragmented Disruptive Transition Pathway,25,0.0,2.5,2.364
PW1,SC1,Fragmented Disruptive Transition Pathway,26,0.0,2.5,2.45
PW1,SC1,Fragmented Disruptive Transition Pathway,27,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,28,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,29,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,30,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,31,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,32,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,33,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,34,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,35,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,36,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,37,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,38,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,39,0.0,2.5,2.5
PW1,SC1,Fragmented Disruptive Transition Pathway,40,0.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,1,1.0,1.0,0.3
PW2,SC2,Coordinated Adaptive Transformation Pathway,2,1.0799,1.2312,0.3771
PW2,SC2,Coordinated Adaptive Transformation Pathway,3,1.1599,1.444,0.4542
PW2,SC2,Coordinated Adaptive Transformation Pathway,4,1.2399,1.6397,0.5313
PW2,SC2,Coordinated Adaptive Transformation Pathway,5,1.3198,1.8198,0.6084
PW2,SC2,Coordinated Adaptive Transformation Pathway,6,1.3998,1.9855,0.6855
PW2,SC2,Coordinated Adaptive Transformation Pathway,7,1.4797,2.1379,0.7626
PW2,SC2,Coordinated Adaptive Transformation Pathway,8,1.5597,2.2781,0.8397
PW2,SC2,Coordinated Adaptive Transformation Pathway,9,1.6345,2.4325,0.9168
PW2,SC2,Coordinated Adaptive Transformation Pathway,10,1.7145,2.5,0.9939
PW2,SC2,Coordinated Adaptive Transformation Pathway,11,1.7944,2.5,1.071
PW2,SC2,Coordinated Adaptive Transformation Pathway,12,1.8744,2.5,1.1481
PW2,SC2,Coordinated Adaptive Transformation Pathway,13,1.9543,2.5,1.2252
PW2,SC2,Coordinated Adaptive Transformation Pathway,14,2.0,2.5,1.3023
PW2,SC2,Coordinated Adaptive Transformation Pathway,15,2.0,2.5,1.3794
PW2,SC2,Coordinated Adaptive Transformation Pathway,16,2.0,2.5,1.4565
PW2,SC2,Coordinated Adaptive Transformation Pathway,17,2.0,2.5,1.5336
PW2,SC2,Coordinated Adaptive Transformation Pathway,18,2.0,2.5,1.6107
PW2,SC2,Coordinated Adaptive Transformation Pathway,19,2.0,2.5,1.6878
PW2,SC2,Coordinated Adaptive Transformation Pathway,20,2.0,2.5,1.7649
PW2,SC2,Coordinated Adaptive Transformation Pathway,21,2.0,2.5,1.842
PW2,SC2,Coordinated Adaptive Transformation Pathway,22,2.0,2.5,1.9191
PW2,SC2,Coordinated Adaptive Transformation Pathway,23,2.0,2.5,1.9962
PW2,SC2,Coordinated Adaptive Transformation Pathway,24,2.0,2.5,2.0733
PW2,SC2,Coordinated Adaptive Transformation Pathway,25,2.0,2.5,2.1504
PW2,SC2,Coordinated Adaptive Transformation Pathway,26,2.0,2.5,2.2275
PW2,SC2,Coordinated Adaptive Transformation Pathway,27,2.0,2.5,2.3046
PW2,SC2,Coordinated Adaptive Transformation Pathway,28,2.0,2.5,2.3817
PW2,SC2,Coordinated Adaptive Transformation Pathway,29,2.0,2.5,2.4588
PW2,SC2,Coordinated Adaptive Transformation Pathway,30,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,31,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,32,2.0,2.5,2.5
PW2,SC2,Coordinated Adaptive Transformation Pathway,33,2.0,2.5,2.5
