response_id,expert_id,round,issue_id,issue_title,likelihood,impact,urgency,feasibility,confidence,low_estimate,high_estimate,rationale_code
R001,E01,1,I1,Public AI accountability before deployment,0.66,0.90,0.84,0.58,0.72,0.48,0.82,GOVERNANCE_LAG
R002,E02,1,I1,Public AI accountability before deployment,0.62,0.86,0.80,0.62,0.70,0.44,0.78,PROCUREMENT_REFORM
R003,E03,1,I1,Public AI accountability before deployment,0.50,0.76,0.68,0.52,0.60,0.34,0.72,IMPLEMENTATION_CAPACITY
R004,E04,1,I1,Public AI accountability before deployment,0.70,0.92,0.88,0.50,0.66,0.50,0.86,COMMUNITY_HARM
R005,E05,1,I1,Public AI accountability before deployment,0.58,0.82,0.76,0.54,0.64,0.42,0.74,DATA_GOVERNANCE
R006,E06,1,I1,Public AI accountability before deployment,0.52,0.78,0.70,0.56,0.58,0.36,0.72,INFRASTRUCTURE_ANALOGY
R007,E07,1,I1,Public AI accountability before deployment,0.72,0.88,0.86,0.48,0.68,0.52,0.88,WORKER_IMPACT
R008,E08,1,I1,Public AI accountability before deployment,0.64,0.84,0.78,0.60,0.70,0.46,0.80,FORESIGHT_SIGNAL
R009,E09,1,I1,Public AI accountability before deployment,0.74,0.94,0.90,0.46,0.72,0.54,0.90,RIGHTS_RISK
R010,E10,1,I1,Public AI accountability before deployment,0.56,0.80,0.72,0.58,0.62,0.38,0.74,FUNDING_MODEL
R011,E11,1,I1,Public AI accountability before deployment,0.48,0.74,0.66,0.52,0.56,0.32,0.70,SYSTEMIC_UNCERTAINTY
R012,E12,1,I1,Public AI accountability before deployment,0.60,0.82,0.78,0.54,0.66,0.42,0.78,FUTURE_SKILLS
R013,E01,2,I1,Public AI accountability before deployment,0.68,0.91,0.86,0.60,0.76,0.52,0.82,GOVERNANCE_LAG
R014,E02,2,I1,Public AI accountability before deployment,0.65,0.88,0.82,0.64,0.74,0.48,0.80,PROCUREMENT_REFORM
R015,E03,2,I1,Public AI accountability before deployment,0.56,0.80,0.72,0.56,0.64,0.40,0.74,IMPLEMENTATION_CAPACITY
R016,E04,2,I1,Public AI accountability before deployment,0.72,0.93,0.90,0.52,0.70,0.54,0.88,COMMUNITY_HARM
R017,E05,2,I1,Public AI accountability before deployment,0.61,0.84,0.78,0.56,0.68,0.44,0.76,DATA_GOVERNANCE
R018,E06,2,I1,Public AI accountability before deployment,0.56,0.80,0.72,0.58,0.62,0.40,0.74,INFRASTRUCTURE_ANALOGY
R019,E07,2,I1,Public AI accountability before deployment,0.73,0.89,0.88,0.50,0.72,0.54,0.88,WORKER_IMPACT
R020,E08,2,I1,Public AI accountability before deployment,0.66,0.86,0.80,0.62,0.74,0.50,0.82,FORESIGHT_SIGNAL
R021,E09,2,I1,Public AI accountability before deployment,0.75,0.95,0.92,0.48,0.76,0.56,0.90,RIGHTS_RISK
R022,E10,2,I1,Public AI accountability before deployment,0.60,0.82,0.76,0.60,0.66,0.42,0.76,FUNDING_MODEL
R023,E11,2,I1,Public AI accountability before deployment,0.54,0.78,0.70,0.54,0.60,0.38,0.72,SYSTEMIC_UNCERTAINTY
R024,E12,2,I1,Public AI accountability before deployment,0.63,0.84,0.80,0.56,0.70,0.46,0.80,FUTURE_SKILLS
R025,E01,3,I1,Public AI accountability before deployment,0.69,0.92,0.87,0.61,0.78,0.54,0.82,GOVERNANCE_LAG
R026,E02,3,I1,Public AI accountability before deployment,0.66,0.89,0.83,0.65,0.76,0.50,0.80,PROCUREMENT_REFORM
R027,E03,3,I1,Public AI accountability before deployment,0.59,0.82,0.74,0.58,0.68,0.42,0.76,IMPLEMENTATION_CAPACITY
R028,E04,3,I1,Public AI accountability before deployment,0.73,0.94,0.91,0.53,0.72,0.56,0.88,COMMUNITY_HARM
R029,E05,3,I1,Public AI accountability before deployment,0.63,0.85,0.80,0.58,0.70,0.46,0.78,DATA_GOVERNANCE
R030,E06,3,I1,Public AI accountability before deployment,0.58,0.81,0.74,0.59,0.64,0.42,0.74,INFRASTRUCTURE_ANALOGY
R031,E07,3,I1,Public AI accountability before deployment,0.74,0.90,0.89,0.51,0.74,0.56,0.89,WORKER_IMPACT
R032,E08,3,I1,Public AI accountability before deployment,0.67,0.87,0.81,0.63,0.76,0.52,0.82,FORESIGHT_SIGNAL
R033,E09,3,I1,Public AI accountability before deployment,0.76,0.95,0.93,0.49,0.78,0.58,0.91,RIGHTS_RISK
R034,E10,3,I1,Public AI accountability before deployment,0.62,0.83,0.77,0.61,0.68,0.44,0.78,FUNDING_MODEL
R035,E11,3,I1,Public AI accountability before deployment,0.56,0.80,0.72,0.56,0.64,0.40,0.74,SYSTEMIC_UNCERTAINTY
R036,E12,3,I1,Public AI accountability before deployment,0.64,0.85,0.81,0.58,0.72,0.48,0.80,FUTURE_SKILLS
