pathway_id,profile_id,scenario_id,pathway_name,time_step,actor_a_position,actor_b_position,escalation_pressure,system_resilience
SP1,GF1,GS1,Managed Rivalry Pathway,1,1.0,1.0,0.1828,0.642
SP1,GF1,GS1,Managed Rivalry Pathway,2,0.9835,0.9837,0.1266,0.7095
SP1,GF1,GS1,Managed Rivalry Pathway,3,0.9669,0.9674,0.0704,0.7797
SP1,GF1,GS1,Managed Rivalry Pathway,4,0.9504,0.9511,0.0143,0.8528
SP1,GF1,GS1,Managed Rivalry Pathway,5,0.9338,0.9347,0,0.9266
SP1,GF1,GS1,Managed Rivalry Pathway,6,0.9172,0.9183,0,1.0004
SP1,GF1,GS1,Managed Rivalry Pathway,7,0.9005,0.9019,0,1.0742
SP1,GF1,GS1,Managed Rivalry Pathway,8,0.9839,0.9855,0,1.145
SP1,GF1,GS1,Managed Rivalry Pathway,9,0.9961,0.998,0,1.2183
SP1,GF1,GS1,Managed Rivalry Pathway,10,0.9796,0.9817,0,1.2921
SP1,GF1,GS1,Managed Rivalry Pathway,11,1.0031,1.0053,0,1.3651
SP1,GF1,GS1,Managed Rivalry Pathway,12,0.9866,0.9891,0,1.4389
SP1,GF1,GS1,Managed Rivalry Pathway,13,0.9701,0.9727,0,1.5118
SP1,GF1,GS1,Managed Rivalry Pathway,14,0.9536,0.9564,0,1.5856
SP1,GF1,GS1,Managed Rivalry Pathway,15,0.937,0.94,0,1.6594
SP1,GF1,GS1,Managed Rivalry Pathway,16,1.0204,1.0236,0,1.7302
SP1,GF1,GS1,Managed Rivalry Pathway,17,1.004,1.0074,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,18,1.0163,1.0199,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,19,0.9998,1.0036,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,20,0.9833,0.9873,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,21,0.9668,0.971,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,22,0.9903,0.9946,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,23,0.9738,0.9783,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,24,1.0573,1.0619,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,25,1.0409,1.0457,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,26,1.0245,1.0295,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,27,1.0369,1.042,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,28,1.0204,1.0257,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,29,1.004,1.0095,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,30,0.9875,0.9931,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,31,0.9711,0.9768,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,32,1.0545,1.0604,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,33,1.0782,1.0842,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,34,1.0618,1.068,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,35,1.0455,1.0518,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,36,1.0579,1.0644,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,37,1.0415,1.0481,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,38,1.0251,1.0319,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,39,1.0087,1.0156,0,1.8
SP1,GF1,GS1,Managed Rivalry Pathway,40,1.0923,1.0993,0,1.8
SP2,GF2,GS2,Competitive Bloc Formation Pathway,1,1.0,1.0,0.376,0.416
SP2,GF2,GS2,Competitive Bloc Formation Pathway,2,1.0124,1.0129,0.3698,0.4451
SP2,GF2,GS2,Competitive Bloc Formation Pathway,3,1.0248,1.0258,0.3637,0.4745
SP2,GF2,GS2,Competitive Bloc Formation Pathway,4,1.0372,1.0387,0.3575,0.5042
SP2,GF2,GS2,Competitive Bloc Formation Pathway,5,1.0497,1.0516,0.3514,0.5343
SP2,GF2,GS2,Competitive Bloc Formation Pathway,6,1.0622,1.0645,0.3454,0.5646
SP2,GF2,GS2,Competitive Bloc Formation Pathway,7,1.0747,1.0775,0.3393,0.5952
SP2,GF2,GS2,Competitive Bloc Formation Pathway,8,1.1872,1.1905,0.3433,0.6227
SP2,GF2,GS2,Competitive Bloc Formation Pathway,9,1.2464,1.25,0.3405,0.6523
SP2,GF2,GS2,Competitive Bloc Formation Pathway,10,1.2592,1.2632,0.3345,0.6832
SP2,GF2,GS2,Competitive Bloc Formation Pathway,11,1.338,1.3425,0.3338,0.7128
SP2,GF2,GS2,Competitive Bloc Formation Pathway,12,1.351,1.3559,0.3278,0.744
SP2,GF2,GS2,Competitive Bloc Formation Pathway,13,1.364,1.3693,0.3262,0.7742
SP2,GF2,GS2,Competitive Bloc Formation Pathway,14,1.377,1.3827,0.3203,0.8058
SP2,GF2,GS2,Competitive Bloc Formation Pathway,15,1.3901,1.3961,0.3144,0.8377
SP2,GF2,GS2,Competitive Bloc Formation Pathway,16,1.5031,1.5096,0.3185,0.8664
SP2,GF2,GS2,Competitive Bloc Formation Pathway,17,1.5164,1.5232,0.3127,0.8983
SP2,GF2,GS2,Competitive Bloc Formation Pathway,18,1.5761,1.5833,0.3101,0.9295
SP2,GF2,GS2,Competitive Bloc Formation Pathway,19,1.5894,1.597,0.3043,0.9619
SP2,GF2,GS2,Competitive Bloc Formation Pathway,20,1.6028,1.6108,0.2984,0.9946
SP2,GF2,GS2,Competitive Bloc Formation Pathway,21,1.6163,1.6245,0.2927,1.0275
SP2,GF2,GS2,Competitive Bloc Formation Pathway,22,1.6957,1.7043,0.2922,1.0592
SP2,GF2,GS2,Competitive Bloc Formation Pathway,23,1.7093,1.7183,0.2864,1.0925
SP2,GF2,GS2,Competitive Bloc Formation Pathway,24,1.8229,1.8322,0.2907,1.1225
SP2,GF2,GS2,Competitive Bloc Formation Pathway,25,1.8367,1.8463,0.285,1.1559
SP2,GF2,GS2,Competitive Bloc Formation Pathway,26,1.8505,1.8605,0.2836,1.1882
SP2,GF2,GS2,Competitive Bloc Formation Pathway,27,1.9108,1.921,0.2811,1.2208
SP2,GF2,GS2,Competitive Bloc Formation Pathway,28,1.9247,1.9353,0.2755,1.2547
SP2,GF2,GS2,Competitive Bloc Formation Pathway,29,1.9387,1.9496,0.2698,1.2888
SP2,GF2,GS2,Competitive Bloc Formation Pathway,30,1.9526,1.9639,0.2642,1.3232
SP2,GF2,GS2,Competitive Bloc Formation Pathway,31,1.9667,1.9782,0.2586,1.3578
SP2,GF2,GS2,Competitive Bloc Formation Pathway,32,2.0807,2.0925,0.2629,1.3893
SP2,GF2,GS2,Competitive Bloc Formation Pathway,33,2.1609,2.173,0.2626,1.4224
SP2,GF2,GS2,Competitive Bloc Formation Pathway,34,2.1753,2.1877,0.257,1.4572
SP2,GF2,GS2,Competitive Bloc Formation Pathway,35,2.1897,2.2,0.2514,1.4922
SP2,GF2,GS2,Competitive Bloc Formation Pathway,36,2.2,2.2,0.2484,1.5265
SP2,GF2,GS2,Competitive Bloc Formation Pathway,37,2.2,2.2,0.2422,1.562
SP2,GF2,GS2,Competitive Bloc Formation Pathway,38,2.2,2.2,0.236,1.5978
SP2,GF2,GS2,Competitive Bloc Formation Pathway,39,2.2,2.2,0.2341,1.6326
SP2,GF2,GS2,Competitive Bloc Formation Pathway,40,2.2,2.2,0.2379,1.6653
SP3,GF3,GS3,Fragmented Crisis Pathway,1,1.0,1.0,0.4444,0.32
SP3,GF3,GS3,Fragmented Crisis Pathway,2,1.0329,1.0334,0.459,0.326
SP3,GF3,GS3,Fragmented Crisis Pathway,3,1.0658,1.0668,0.4737,0.3314
SP3,GF3,GS3,Fragmented Crisis Pathway,4,1.0988,1.1003,0.4883,0.3359
SP3,GF3,GS3,Fragmented Crisis Pathway,5,1.1319,1.1338,0.503,0.3398
SP3,GF3,GS3,Fragmented Crisis Pathway,6,1.165,1.1673,0.5178,0.3429
SP3,GF3,GS3,Fragmented Crisis Pathway,7,1.1982,1.2009,0.5325,0.3453
SP3,GF3,GS3,Fragmented Crisis Pathway,8,1.3314,1.3346,0.5573,0.3434
SP3,GF3,GS3,Fragmented Crisis Pathway,9,1.4257,1.4293,0.5763,0.3424
SP3,GF3,GS3,Fragmented Crisis Pathway,10,1.4593,1.4633,0.5911,0.3418
SP3,GF3,GS3,Fragmented Crisis Pathway,11,1.5509,1.5554,0.6106,0.3391
SP3,GF3,GS3,Fragmented Crisis Pathway,12,1.5847,1.5896,0.6254,0.3369
SP3,GF3,GS3,Fragmented Crisis Pathway,13,1.6186,1.6239,0.6462,0.3321
SP3,GF3,GS3,Fragmented Crisis Pathway,14,1.6525,1.6582,0.6611,0.328
SP3,GF3,GS3,Fragmented Crisis Pathway,15,1.6865,1.6926,0.676,0.3232
SP3,GF3,GS3,Fragmented Crisis Pathway,16,1.8205,1.827,0.7009,0.3142
SP3,GF3,GS3,Fragmented Crisis Pathway,17,1.8548,1.8616,0.7158,0.3074
SP3,GF3,GS3,Fragmented Crisis Pathway,18,1.9499,1.9571,0.735,0.2984
SP3,GF3,GS3,Fragmented Crisis Pathway,19,1.9844,1.9919,0.75,0.2899
SP3,GF3,GS3,Fragmented Crisis Pathway,20,2.0189,2.0268,0.765,0.2807
SP3,GF3,GS3,Fragmented Crisis Pathway,21,2.0535,2.0618,0.78,0.2707
