"signal_id","signal_title","domain","signal_type","visibility","ambiguity","systemic_connection","propagation_potential","institutional_recognition","distributional_relevance","monitoring_urgency","affected_groups","description","weak_signal_profile","priority_class"
"WS1","Climate insurance withdrawal signal","housing_finance","early_indicator",0.48,0.57,0.9,0.82,0.55,0.86,0.88,"homeowners;renters;local_governments","Insurance withdrawal and premium shocks may indicate climate-finance stress and narrowing adaptation options.",0.744,"High-priority watchlist"
"WS9","Public-service algorithm accountability concern","technology_governance","early_indicator",0.42,0.64,0.88,0.76,0.52,0.84,0.86,"public_service_users;disabled_people;low_income_households","Algorithmic public service pilots may indicate accountability gaps before institutional safeguards mature.",0.7044,"Monitor and cluster"
"WS2","Community heat-adaptation practice","urban_climate","weak_signal",0.29,0.7,0.78,0.74,0.36,0.9,0.82,"elderly_residents;outdoor_workers;renters","Informal cooling networks may indicate gaps in official heat preparedness and climate adaptation.",0.6382,"Monitor and cluster"
"WS3","Unusual AI use pattern","technology_labor","weak_signal",0.38,0.72,0.77,0.79,0.41,0.78,0.74,"workers;public_service_users;managers","Workers and public agencies are improvising AI uses before governance and accountability norms are settled.",0.6298,"Monitor and cluster"
"WS6","Care workforce workaround","health_labor","weak_signal",0.31,0.68,0.76,0.7,0.38,0.88,0.8,"care_workers;families;older_adults","Informal workarounds in care delivery may indicate health-labor system stress before official metrics fully register it.",0.6242,"Monitor and cluster"
"WS10","Ecological threshold anomaly","ecology_climate","weak_signal",0.26,0.76,0.86,0.68,0.3,0.8,0.84,"frontline_communities;farmers;ecologists","Local ecological anomalies may foreshadow threshold movement or regime stress.",0.6212,"Monitor and cluster"
"WS4","Niche energy storage breakthrough","energy_infrastructure","weak_signal",0.28,0.74,0.81,0.84,0.33,0.62,0.66,"grid_operators;energy_users;industrial_firms","Technical progress in storage may indicate future grid flexibility but remains uncertain and infrastructure-dependent.",0.594,"Exploratory monitoring"
"WS7","Youth long-term responsibility claim","culture_governance","weak_signal",0.33,0.72,0.7,0.64,0.42,0.82,0.73,"youth;future_generations;educators","Youth claims around climate debt technology and future generations may signal changing legitimacy expectations.",0.579,"Exploratory monitoring"
"WS8","Emerging consumer behavior shift","markets_culture","weak_signal",0.32,0.78,0.62,0.66,0.29,0.58,0.52,"consumers;small_businesses;platform_workers","Small behavior changes may indicate changing trust consumption and social expectation patterns.",0.472,"Low-priority or background noise"
"WS5","Local governance experiment","public_policy","weak_signal",0.24,0.69,0.58,0.55,0.25,0.72,0.54,"local_residents;youth;public_servants","Local institutions are experimenting with participatory and anticipatory governance structures.",0.4534,"Low-priority or background noise"
