pathway_id,profile_id,scenario_id,pathway_name,time_step,climate_stress_index,social_vulnerability_index,adaptive_capacity_index
PW1,CF1,CS2,Delayed Transition High Stress Pathway,1,1.0,0.759,0.4415
PW1,CF1,CS2,Delayed Transition High Stress Pathway,2,1.058,0.7652,0.4581
PW1,CF1,CS2,Delayed Transition High Stress Pathway,3,1.116,0.7726,0.4747
PW1,CF1,CS2,Delayed Transition High Stress Pathway,4,1.174,0.7811,0.4912
PW1,CF1,CS2,Delayed Transition High Stress Pathway,5,1.232,0.7908,0.5078
PW1,CF1,CS2,Delayed Transition High Stress Pathway,6,1.29,0.8016,0.5244
PW1,CF1,CS2,Delayed Transition High Stress Pathway,7,1.348,0.8136,0.541
PW1,CF1,CS2,Delayed Transition High Stress Pathway,8,1.406,0.8268,0.5576
PW1,CF1,CS2,Delayed Transition High Stress Pathway,9,1.464,0.8411,0.5741
PW1,CF1,CS2,Delayed Transition High Stress Pathway,10,1.566,0.8566,0.5898
PW1,CF1,CS2,Delayed Transition High Stress Pathway,11,1.624,0.8741,0.6064
PW1,CF1,CS2,Delayed Transition High Stress Pathway,12,1.682,0.8928,0.623
PW1,CF1,CS2,Delayed Transition High Stress Pathway,13,1.74,0.9126,0.6396
PW1,CF1,CS2,Delayed Transition High Stress Pathway,14,1.798,0.9336,0.6562
PW1,CF1,CS2,Delayed Transition High Stress Pathway,15,1.856,0.9558,0.6727
PW1,CF1,CS2,Delayed Transition High Stress Pathway,16,1.914,0.9791,0.6893
PW1,CF1,CS2,Delayed Transition High Stress Pathway,17,1.972,1.0036,0.7059
PW1,CF1,CS2,Delayed Transition High Stress Pathway,18,2.03,1.0292,0.7225
PW1,CF1,CS2,Delayed Transition High Stress Pathway,19,2.088,1.056,0.7391
PW1,CF1,CS2,Delayed Transition High Stress Pathway,20,2.19,1.084,0.7548
PW1,CF1,CS2,Delayed Transition High Stress Pathway,21,2.248,1.114,0.7713
PW1,CF1,CS2,Delayed Transition High Stress Pathway,22,2.306,1.1451,0.7879
PW1,CF1,CS2,Delayed Transition High Stress Pathway,23,2.364,1.1774,0.8045
PW1,CF1,CS2,Delayed Transition High Stress Pathway,24,2.422,1.2,0.8211
PW1,CF1,CS2,Delayed Transition High Stress Pathway,25,2.48,1.2,0.8377
PW1,CF1,CS2,Delayed Transition High Stress Pathway,26,2.538,1.2,0.8542
PW1,CF1,CS2,Delayed Transition High Stress Pathway,27,2.596,1.2,0.8708
PW1,CF1,CS2,Delayed Transition High Stress Pathway,28,2.654,1.2,0.8874
PW1,CF1,CS2,Delayed Transition High Stress Pathway,29,2.712,1.2,0.904
PW1,CF1,CS2,Delayed Transition High Stress Pathway,30,2.814,1.2,0.9197
PW1,CF1,CS2,Delayed Transition High Stress Pathway,31,2.872,1.2,0.9363
PW1,CF1,CS2,Delayed Transition High Stress Pathway,32,2.93,1.2,0.9528
PW1,CF1,CS2,Delayed Transition High Stress Pathway,33,2.988,1.2,0.9694
PW1,CF1,CS2,Delayed Transition High Stress Pathway,34,3.0,1.2,0.986
PW1,CF1,CS2,Delayed Transition High Stress Pathway,35,3.0,1.2,1.0026
PW1,CF1,CS2,Delayed Transition High Stress Pathway,36,3.0,1.2,1.0192
PW1,CF1,CS2,Delayed Transition High Stress Pathway,37,3.0,1.2,1.0357
PW1,CF1,CS2,Delayed Transition High Stress Pathway,38,3.0,1.2,1.0523
PW1,CF1,CS2,Delayed Transition High Stress Pathway,39,3.0,1.2,1.0689
PW1,CF1,CS2,Delayed Transition High Stress Pathway,40,3.0,1.2,1.0846
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,1,1.0,0.7145,0.603
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,2,0.9156,0.705,0.6396
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,3,0.8312,0.6938,0.6763
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,4,0.7468,0.6809,0.7129
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,5,0.6624,0.6664,0.7496
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,6,0.578,0.6501,0.7862
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,7,0.4936,0.6322,0.8228
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,8,0.4092,0.6126,0.8595
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,9,0.3248,0.5912,0.8961
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,10,0.2624,0.5682,0.9323
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,11,0.178,0.544,0.969
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,12,0.0936,0.518,1.0056
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,13,0.0092,0.4904,1.0422
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,14,0.0,0.4611,1.0789
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,15,0.0,0.4316,1.1155
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,16,0.0,0.4021,1.1522
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,17,0.0,0.3726,1.1888
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,18,0.0,0.3431,1.2254
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,19,0.0,0.3136,1.2621
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,20,0.0,0.2841,1.2983
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,21,0.0,0.2546,1.3349
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,22,0.0,0.2251,1.3716
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,23,0.0,0.1956,1.4082
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,24,0.0,0.1661,1.4448
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,25,0.0,0.1366,1.4815
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,26,0.0,0.1071,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,27,0.0,0.0776,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,28,0.0,0.0481,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,29,0.0,0.0186,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,30,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,31,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,32,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,33,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,34,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,35,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,36,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,37,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,38,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,39,0.0,0.0,1.5
PW2,CF2,CS1,Managed Low-Carbon Transition Pathway,40,0.0,0.0,1.5
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,1,1.0,0.7615,0.4745
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,2,1.0072,0.7658,0.4949
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,3,1.0144,0.7702,0.5152
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,4,1.0216,0.7748,0.5356
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,5,1.0288,0.7796,0.5559
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,6,1.036,0.7844,0.5763
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,7,1.0432,0.7895,0.5967
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,8,1.0504,0.7946,0.617
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,9,1.0576,0.7999,0.6374
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,10,1.0978,0.8054,0.6571
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,11,1.105,0.8116,0.6774
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,12,1.1122,0.818,0.6978
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,13,1.1194,0.8246,0.7182
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,14,1.1266,0.8313,0.7385
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,15,1.1338,0.8381,0.7589
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,16,1.141,0.8451,0.7792
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,17,1.1482,0.8522,0.7996
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,18,1.1554,0.8595,0.82
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,19,1.1626,0.8669,0.8403
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,20,1.2028,0.8744,0.86
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,21,1.21,0.8828,0.8804
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,22,1.2172,0.8913,0.9007
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,23,1.2244,0.8999,0.9211
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,24,1.2316,0.9087,0.9415
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,25,1.2388,0.9176,0.9618
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,26,1.246,0.9267,0.9822
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,27,1.2532,0.9359,1.0025
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,28,1.2604,0.9453,1.0229
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,29,1.2676,0.9548,1.0433
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,30,1.3078,0.9645,1.063
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,31,1.315,0.9749,1.0833
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,32,1.3222,0.9855,1.1037
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,33,1.3294,0.9963,1.124
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,34,1.3366,1.0072,1.1444
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,35,1.3438,1.0182,1.1648
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,36,1.351,1.0294,1.1851
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,37,1.3582,1.0407,1.2055
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,38,1.3654,1.0521,1.2258
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,39,1.3726,1.0638,1.2462
PW3,CF3,CS3,Fragmented Unequal Adaptation Pathway,40,1.4128,1.0755,1.2659
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,1,1.0,0.7398,0.5362
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,2,0.9349,0.7375,0.5645
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,3,0.8699,0.7339,0.5927
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,4,0.8048,0.7291,0.621
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,5,0.7398,0.7229,0.6492
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,6,0.6747,0.7155,0.6775
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,7,0.6097,0.7067,0.7057
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,8,0.5446,0.6967,0.734
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,9,0.4796,0.6853,0.7622
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,10,0.4393,0.6727,0.79
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,11,0.3742,0.6592,0.8182
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,12,0.3092,0.6444,0.8465
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,13,0.2441,0.6284,0.8747
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,14,0.1791,0.611,0.9029
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,15,0.114,0.5923,0.9312
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,16,0.049,0.5724,0.9594
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,17,0.0,0.5511,0.9877
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,18,0.0,0.5288,1.0159
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,19,0.0,0.5066,1.0442
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,20,0.0,0.4843,1.0719
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,21,0.0,0.4621,1.1002
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,22,0.0,0.4398,1.1284
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,23,0.0,0.4176,1.1567
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,24,0.0,0.3953,1.1849
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,25,0.0,0.3731,1.2131
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,26,0.0,0.3508,1.2414
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,27,0.0,0.3286,1.2696
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,28,0.0,0.3063,1.2979
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,29,0.0,0.2841,1.3261
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,30,0.0,0.2618,1.3539
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,31,0.0,0.2396,1.3821
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,32,0.0,0.2173,1.4104
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,33,0.0,0.1951,1.4386
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,34,0.0,0.1728,1.4669
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,35,0.0,0.1506,1.4951
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,36,0.0,0.1283,1.5
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,37,0.0,0.1061,1.5
PW4,CF4,CS4,Technological Rapid Decarbonization Pathway,38,0.0,0.0838,1.5
