pathway_id,scenario_id,pathway_name,time_step,biotechnology_viability,biological_risk_pressure,access_capacity
P1,S1,Public-Interest Bioinnovation Pathway,1,1.0,0.435,0.8
P1,S1,Public-Interest Bioinnovation Pathway,2,1.1137,0.5932,0.8618
P1,S1,Public-Interest Bioinnovation Pathway,3,1.2256,0.7324,0.9236
P1,S1,Public-Interest Bioinnovation Pathway,4,1.3364,0.8549,0.9854
P1,S1,Public-Interest Bioinnovation Pathway,5,1.4464,0.9627,1.0472
P1,S1,Public-Interest Bioinnovation Pathway,6,1.5561,1.0576,1.109
P1,S1,Public-Interest Bioinnovation Pathway,7,1.6657,1.1411,1.1708
P1,S1,Public-Interest Bioinnovation Pathway,8,1.7755,1.2146,1.2326
P1,S1,Public-Interest Bioinnovation Pathway,9,1.8,1.3492,1.2944
P1,S1,Public-Interest Bioinnovation Pathway,10,1.8,1.3977,1.3562
P1,S1,Public-Interest Bioinnovation Pathway,11,1.8,1.4404,1.4
P1,S1,Public-Interest Bioinnovation Pathway,12,1.8,1.4779,1.4
P1,S1,Public-Interest Bioinnovation Pathway,13,1.8,1.511,1.4
P1,S1,Public-Interest Bioinnovation Pathway,14,1.8,1.5401,1.4
P1,S1,Public-Interest Bioinnovation Pathway,15,1.8,1.5657,1.4
P1,S1,Public-Interest Bioinnovation Pathway,16,1.8,1.5882,1.4
P1,S1,Public-Interest Bioinnovation Pathway,17,1.8,1.608,1.4
P1,S1,Public-Interest Bioinnovation Pathway,18,1.8,1.6954,1.4
P1,S1,Public-Interest Bioinnovation Pathway,19,1.8,1.7024,1.4
P1,S1,Public-Interest Bioinnovation Pathway,20,1.8,1.7085,1.4
P1,S1,Public-Interest Bioinnovation Pathway,21,1.8,1.7139,1.4
P1,S1,Public-Interest Bioinnovation Pathway,22,1.8,1.7186,1.4
P1,S1,Public-Interest Bioinnovation Pathway,23,1.8,1.7228,1.4
P1,S1,Public-Interest Bioinnovation Pathway,24,1.8,1.7264,1.4
P1,S1,Public-Interest Bioinnovation Pathway,25,1.8,1.7297,1.4
P1,S1,Public-Interest Bioinnovation Pathway,26,1.8,1.7325,1.4
P1,S1,Public-Interest Bioinnovation Pathway,27,1.8,1.8,1.4
P1,S1,Public-Interest Bioinnovation Pathway,28,1.8,1.7944,1.4
P1,S1,Public-Interest Bioinnovation Pathway,29,1.8,1.7895,1.4
P1,S1,Public-Interest Bioinnovation Pathway,30,1.8,1.7851,1.4
P1,S1,Public-Interest Bioinnovation Pathway,31,1.8,1.7813,1.4
P1,S1,Public-Interest Bioinnovation Pathway,32,1.8,1.778,1.4
P1,S1,Public-Interest Bioinnovation Pathway,33,1.8,1.775,1.4
P1,S1,Public-Interest Bioinnovation Pathway,34,1.8,1.7724,1.4
P1,S1,Public-Interest Bioinnovation Pathway,35,1.8,1.7701,1.4
P1,S1,Public-Interest Bioinnovation Pathway,36,1.8,1.8,1.4
P1,S1,Public-Interest Bioinnovation Pathway,37,1.8,1.7944,1.4
P1,S1,Public-Interest Bioinnovation Pathway,38,1.8,1.7895,1.4
P1,S1,Public-Interest Bioinnovation Pathway,39,1.8,1.7851,1.4
P1,S1,Public-Interest Bioinnovation Pathway,40,1.8,1.7813,1.4
P2,S2,Bioeconomy Acceleration Pathway,1,1.0,0.5,0.44
P2,S2,Bioeconomy Acceleration Pathway,2,1.0046,0.914,0.4732
P2,S2,Bioeconomy Acceleration Pathway,3,0.9996,1.2783,0.5064
P2,S2,Bioeconomy Acceleration Pathway,4,0.9863,1.5989,0.5396
P2,S2,Bioeconomy Acceleration Pathway,5,0.9683,1.8,0.5728
P2,S2,Bioeconomy Acceleration Pathway,6,0.9517,1.8,0.606
P2,S2,Bioeconomy Acceleration Pathway,7,0.9364,1.8,0.6392
P2,S2,Bioeconomy Acceleration Pathway,8,0.9223,1.8,0.6724
P2,S2,Bioeconomy Acceleration Pathway,9,0.8922,1.8,0.7056
P2,S2,Bioeconomy Acceleration Pathway,10,0.8808,1.8,0.7388
P2,S2,Bioeconomy Acceleration Pathway,11,0.8708,1.8,0.772
P2,S2,Bioeconomy Acceleration Pathway,12,0.8621,1.8,0.8052
P2,S2,Bioeconomy Acceleration Pathway,13,0.8547,1.8,0.8384
P2,S2,Bioeconomy Acceleration Pathway,14,0.8487,1.8,0.8716
P2,S2,Bioeconomy Acceleration Pathway,15,0.844,1.8,0.9048
P2,S2,Bioeconomy Acceleration Pathway,16,0.8406,1.8,0.938
P2,S2,Bioeconomy Acceleration Pathway,17,0.8386,1.8,0.9712
P2,S2,Bioeconomy Acceleration Pathway,18,0.8203,1.8,1.0044
P2,S2,Bioeconomy Acceleration Pathway,19,0.821,1.8,1.0376
P2,S2,Bioeconomy Acceleration Pathway,20,0.8229,1.8,1.0708
P2,S2,Bioeconomy Acceleration Pathway,21,0.8261,1.8,1.104
P2,S2,Bioeconomy Acceleration Pathway,22,0.8307,1.8,1.1372
P2,S2,Bioeconomy Acceleration Pathway,23,0.8366,1.8,1.1704
P2,S2,Bioeconomy Acceleration Pathway,24,0.8439,1.8,1.2036
P2,S2,Bioeconomy Acceleration Pathway,25,0.8525,1.8,1.2368
P2,S2,Bioeconomy Acceleration Pathway,26,0.8624,1.8,1.27
P2,S2,Bioeconomy Acceleration Pathway,27,0.8561,1.8,1.3032
P2,S2,Bioeconomy Acceleration Pathway,28,0.8686,1.8,1.3364
P2,S2,Bioeconomy Acceleration Pathway,29,0.8825,1.8,1.3696
P2,S2,Bioeconomy Acceleration Pathway,30,0.8976,1.8,1.4
P2,S2,Bioeconomy Acceleration Pathway,31,0.9127,1.8,1.4
P2,S2,Bioeconomy Acceleration Pathway,32,0.9278,1.8,1.4
P2,S2,Bioeconomy Acceleration Pathway,33,0.9429,1.8,1.4
P2,S2,Bioeconomy Acceleration Pathway,34,0.958,1.8,1.4
P2,S2,Bioeconomy Acceleration Pathway,35,0.9731,1.8,1.4
