pathway_id,system_id,pathway_name,time_step,decision_quality,uncertainty_pressure,harm_risk
P1,DS1,Human-Centered Decision Pathway,1,1.0,0.2,0.2
P1,DS1,Human-Centered Decision Pathway,2,1.1268,0.2384,0.2095
P1,DS1,Human-Centered Decision Pathway,3,1.2536,0.2721,0.2095
P1,DS1,Human-Centered Decision Pathway,4,1.3803,0.3018,0.2095
P1,DS1,Human-Centered Decision Pathway,5,1.5071,0.3279,0.2095
P1,DS1,Human-Centered Decision Pathway,6,1.6339,0.3509,0.2095
P1,DS1,Human-Centered Decision Pathway,7,1.7607,0.3712,0.2095
P1,DS1,Human-Centered Decision Pathway,8,1.8,0.389,0.2095
P1,DS1,Human-Centered Decision Pathway,9,1.8,0.5047,0.2195
P1,DS1,Human-Centered Decision Pathway,10,1.8,0.5065,0.2095
P1,DS1,Human-Centered Decision Pathway,11,1.8,0.508,0.2095
P1,DS1,Human-Centered Decision Pathway,12,1.8,0.5094,0.2095
P1,DS1,Human-Centered Decision Pathway,13,1.8,0.5106,0.2095
P1,DS1,Human-Centered Decision Pathway,14,1.8,0.5117,0.2095
P1,DS1,Human-Centered Decision Pathway,15,1.8,0.5127,0.2095
P1,DS1,Human-Centered Decision Pathway,16,1.8,0.5135,0.2095
P1,DS1,Human-Centered Decision Pathway,17,1.8,0.5142,0.2095
P1,DS1,Human-Centered Decision Pathway,18,1.8,0.6149,0.2195
P1,DS1,Human-Centered Decision Pathway,19,1.8,0.6034,0.2095
P1,DS1,Human-Centered Decision Pathway,20,1.8,0.5934,0.2095
P1,DS1,Human-Centered Decision Pathway,21,1.8,0.5845,0.2095
P1,DS1,Human-Centered Decision Pathway,22,1.8,0.5767,0.2095
P1,DS1,Human-Centered Decision Pathway,23,1.8,0.5699,0.2095
P1,DS1,Human-Centered Decision Pathway,24,1.8,0.5638,0.2095
P1,DS1,Human-Centered Decision Pathway,25,1.8,0.5585,0.2095
P1,DS1,Human-Centered Decision Pathway,26,1.8,0.5539,0.2095
P1,DS1,Human-Centered Decision Pathway,27,1.8,0.6498,0.2195
P1,DS1,Human-Centered Decision Pathway,28,1.8,0.6341,0.2095
P1,DS1,Human-Centered Decision Pathway,29,1.8,0.6204,0.2095
P1,DS1,Human-Centered Decision Pathway,30,1.8,0.6083,0.2095
P1,DS1,Human-Centered Decision Pathway,31,1.8,0.5977,0.2095
P1,DS1,Human-Centered Decision Pathway,32,1.8,0.5883,0.2095
P1,DS1,Human-Centered Decision Pathway,33,1.8,0.58,0.2095
P1,DS1,Human-Centered Decision Pathway,34,1.8,0.5728,0.2095
P1,DS1,Human-Centered Decision Pathway,35,1.8,0.5664,0.2095
P1,DS1,Human-Centered Decision Pathway,36,1.8,0.6608,0.2195
P1,DS1,Human-Centered Decision Pathway,37,1.8,0.6438,0.2095
P1,DS1,Human-Centered Decision Pathway,38,1.8,0.6289,0.2095
P1,DS1,Human-Centered Decision Pathway,39,1.8,0.6158,0.2095
P1,DS1,Human-Centered Decision Pathway,40,1.8,0.6043,0.2095
P2,DS2,AI-Augmented Decision Pathway,1,1.0,0.2,0.2
P2,DS2,AI-Augmented Decision Pathway,2,1.1343,0.2487,0.2955
P2,DS2,AI-Augmented Decision Pathway,3,1.2686,0.2916,0.2955
P2,DS2,AI-Augmented Decision Pathway,4,1.4029,0.3293,0.2955
P2,DS2,AI-Augmented Decision Pathway,5,1.5372,0.3625,0.2955
P2,DS2,AI-Augmented Decision Pathway,6,1.6715,0.3917,0.2955
P2,DS2,AI-Augmented Decision Pathway,7,1.8,0.4174,0.2955
P2,DS2,AI-Augmented Decision Pathway,8,1.8,0.44,0.2955
P2,DS2,AI-Augmented Decision Pathway,9,1.8,0.5599,0.3055
P2,DS2,AI-Augmented Decision Pathway,10,1.8,0.5654,0.2955
P2,DS2,AI-Augmented Decision Pathway,11,1.8,0.5703,0.2955
P2,DS2,AI-Augmented Decision Pathway,12,1.8,0.5746,0.2955
P2,DS2,AI-Augmented Decision Pathway,13,1.8,0.5783,0.2955
P2,DS2,AI-Augmented Decision Pathway,14,1.8,0.5816,0.2955
P2,DS2,AI-Augmented Decision Pathway,15,1.8,0.5845,0.2955
P2,DS2,AI-Augmented Decision Pathway,16,1.8,0.5871,0.2955
P2,DS2,AI-Augmented Decision Pathway,17,1.8,0.5894,0.2955
P2,DS2,AI-Augmented Decision Pathway,18,1.8,0.6913,0.3055
P2,DS2,AI-Augmented Decision Pathway,19,1.8,0.6811,0.2955
