pathway_id,profile_id,scenario_id,pathway_name,time_step,hope,dread,agency,trust,future_fatigue,repair_capacity,polarization,narrative_accountability,mobilization_score,paralysis_risk_score,disciplined_hope_score,fear_politics_risk_score
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,1,0.78,0.54,0.82,0.72,0.3,0.76,0.34,0.84,0.6359,0.0272,0.694,0.3324
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,2,0.8057,0.5311,0.8302,0.7308,0.288,0.7724,0.3291,0.8525,0.6661,0.0243,0.7085,0.3218
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,3,0.8319,0.5218,0.8409,0.742,0.2757,0.7851,0.3178,0.8652,0.6981,0.0214,0.7234,0.3109
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,4,0.8588,0.5121,0.852,0.7533,0.2631,0.7981,0.3064,0.878,0.732,0.0187,0.7387,0.2997
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,5,0.8863,0.502,0.8636,0.765,0.2501,0.8113,0.2946,0.891,0.768,0.0161,0.7543,0.2881
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,6,0.9144,0.4915,0.8757,0.777,0.2368,0.8249,0.2825,0.9042,0.806,0.0136,0.7703,0.2762
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,7,0.9431,0.4806,0.8882,0.7892,0.223,0.8387,0.2702,0.9177,0.8464,0.0113,0.7868,0.264
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,8,0.9724,0.4873,0.9012,0.8018,0.2091,0.8529,0.2576,0.9313,0.8962,0.0095,0.8036,0.2557
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,9,1.0024,0.4755,0.9146,0.8146,0.1947,0.8674,0.2448,0.9451,0.9417,0.0075,0.8208,0.2428
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,10,1.0337,0.4632,0.9437,0.8428,0.1796,0.8975,0.2314,0.9744,1.0248,0.0041,0.8493,0.223
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,11,1.0657,0.4503,0.9585,0.8566,0.164,0.913,0.2176,0.9889,1.0783,0.0027,0.8678,0.2089
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,12,1.0985,0.4368,0.9739,0.8706,0.148,0.9288,0.2035,1.0037,1.1352,0.0015,0.8868,0.1948
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,13,1.1318,0.4228,0.9898,0.8711,0.1456,0.9448,0.1891,1.0185,1.1762,0.0006,0.9029,0.1854
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,14,1.1659,0.4085,1.0061,0.8857,0.1288,0.9612,0.1745,1.0336,1.2391,0.0,0.9226,0.1724
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,15,1.2008,0.3937,1.023,0.9008,0.1114,0.9779,0.1594,1.049,1.306,0.0,0.9429,0.1608
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,16,1.2364,0.3963,1.0404,0.9162,0.0937,0.9951,0.1441,1.0647,1.3863,0.0,0.9637,0.1532
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,17,1.2729,0.3804,1.0584,0.932,0.0755,1.0127,0.1404,1.0806,1.462,0.0,0.9846,0.1435
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,18,1.3103,0.3639,1.0771,0.9481,0.0568,1.0307,0.1244,1.0968,1.5425,0.0,1.0065,0.1309
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,19,1.3486,0.3469,1.0965,0.9647,0.0374,1.0491,0.1079,1.1133,1.6282,0.0,1.0289,0.1178
AFP1,FEP1,FPS1,Disciplined Hope Democracy Pathway,20,1.3884,0.3292,1.1317,0.9966,0.0172,1.0833,0.0907,1.1453,1.7701,0.0,1.0627,0.1016
