pathway_id,institution_id,scenario_id,pathway_name,time_step,signal_detection,scenario_capability,learning_capacity,governance_integration,adaptive_flexibility,participatory_legitimacy,ethical_accountability,data_infrastructure,foresight_capability_score,legitimacy_score
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,1,0.62,0.66,0.57,0.63,0.51,0.52,0.56,0.58,0.5884,0.5615
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,2,0.6258,0.6684,0.5791,0.64,0.5231,0.5266,0.5693,0.5894,0.5973,0.5699
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,3,0.6316,0.677,0.5884,0.6501,0.5364,0.5334,0.5788,0.5989,0.6063,0.5784
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,4,0.6376,0.6856,0.5978,0.6604,0.55,0.5402,0.5884,0.6086,0.6154,0.5871
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,5,0.6436,0.6943,0.6073,0.6708,0.5637,0.5472,0.5981,0.6183,0.6246,0.5959
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,6,0.6617,0.7033,0.6169,0.6814,0.5776,0.5543,0.608,0.6283,0.636,0.6049
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,7,0.668,0.7123,0.6267,0.6922,0.5917,0.5615,0.618,0.6384,0.6455,0.6139
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,8,0.6743,0.7215,0.6366,0.7031,0.6061,0.5688,0.6282,0.6486,0.6552,0.6232
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,9,0.6808,0.7307,0.6467,0.7142,0.6206,0.5762,0.6385,0.6589,0.665,0.6325
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,10,0.6872,0.7401,0.6568,0.7253,0.6353,0.5838,0.6489,0.6694,0.6749,0.642
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,11,0.6939,0.7496,0.6672,0.7368,0.6503,0.5914,0.6596,0.6799,0.685,0.6516
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,12,0.7126,0.7733,0.6918,0.7485,0.6657,0.6132,0.6705,0.6908,0.7029,0.6671
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,13,0.7195,0.7832,0.7026,0.7604,0.6814,0.6211,0.6816,0.7019,0.7134,0.6771
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,14,0.7266,0.7932,0.7135,0.7725,0.6973,0.6292,0.6929,0.7131,0.7241,0.6873
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,15,0.7337,0.8034,0.7245,0.7848,0.7134,0.6373,0.7043,0.7244,0.735,0.6977
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,16,0.7409,0.8137,0.7357,0.7973,0.7297,0.6457,0.7159,0.7358,0.746,0.7082
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,17,0.7483,0.824,0.7471,0.8,0.7462,0.654,0.7276,0.7474,0.7557,0.7163
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,18,0.7678,0.8346,0.7586,0.8129,0.763,0.6625,0.7395,0.7592,0.7689,0.7271
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,19,0.7754,0.8454,0.7702,0.826,0.78,0.6712,0.7516,0.7712,0.7804,0.738
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,20,0.783,0.8563,0.782,0.8392,0.7972,0.68,0.7638,0.7833,0.7919,0.7491
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,21,0.7908,0.8673,0.794,0.8526,0.8147,0.6889,0.7762,0.7955,0.8037,0.7604
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,22,0.7988,0.8784,0.8061,0.8663,0.8325,0.698,0.7888,0.808,0.8157,0.7718
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,23,0.8069,0.8897,0.8184,0.8801,0.8506,0.7072,0.8016,0.8205,0.8278,0.7835
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,24,0.8271,0.9153,0.845,0.8943,0.8691,0.7306,0.8147,0.8334,0.8478,0.801
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,25,0.8354,0.927,0.8578,0.9088,0.8878,0.7401,0.8281,0.8465,0.8604,0.813
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,26,0.844,0.9389,0.8708,0.9234,0.9069,0.7498,0.8416,0.8598,0.8732,0.8253
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,27,0.8526,0.951,0.8839,0.9383,0.9263,0.7596,0.8553,0.8732,0.8862,0.8378
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,28,0.8614,0.9631,0.8972,0.9534,0.9459,0.7696,0.8692,0.8867,0.8993,0.8504
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,29,0.8703,0.9755,0.9108,0.9688,0.9658,0.7798,0.8834,0.9005,0.9127,0.8633
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,30,0.8913,0.9881,0.9244,0.9843,0.9859,0.7901,0.8976,0.9145,0.9282,0.8763
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,31,0.9005,1.0008,0.9383,1.0001,1.0065,0.8006,0.9122,0.9286,0.9419,0.8895
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,32,0.9098,1.0137,0.9524,1.0161,1.0273,0.8112,0.927,0.943,0.9559,0.903
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,33,0.9192,1.0268,0.9667,1.0324,1.0484,0.8221,0.942,0.9575,0.9701,0.9166
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,34,0.9289,1.04,0.9813,1.0389,1.0698,0.833,0.9571,0.9721,0.983,0.9279
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,35,0.9386,1.0534,0.9959,1.0557,1.0914,0.8441,0.9725,0.987,0.9975,0.9419
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,36,0.9605,1.081,1.0249,1.0728,1.1136,0.8694,0.9883,1.0023,1.0199,0.9618
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,37,0.9706,1.095,1.0401,1.0902,1.1361,0.8809,1.0043,1.0178,1.035,0.9764
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,38,0.9809,1.109,1.0555,1.1079,1.159,0.8925,1.0205,1.0334,1.0503,0.9912
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,39,0.9913,1.1233,1.0711,1.1259,1.1822,0.9044,1.0369,1.0493,1.0659,1.0062
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,40,1.0018,1.1377,1.0869,1.144,1.2056,0.9164,1.0536,1.0653,1.0816,1.0213
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,41,1.0126,1.1524,1.103,1.1625,1.2295,0.9287,1.0706,1.0816,1.0976,1.0368
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,42,1.0355,1.1673,1.1193,1.1813,1.2537,0.9411,1.0878,1.0981,1.1157,1.0525
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,43,1.0466,1.1824,1.1359,1.2003,1.2783,0.9538,1.1052,1.1148,1.1322,1.0684
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,44,1.0578,1.1976,1.1527,1.2196,1.3033,0.9666,1.123,1.1318,1.1489,1.0846
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,45,1.0692,1.2131,1.1697,1.2392,1.3286,0.9797,1.141,1.1489,1.1658,1.101
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,46,1.0808,1.2288,1.1869,1.2591,1.3543,0.9929,1.1592,1.1663,1.183,1.1177
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,47,1.0925,1.2446,1.2045,1.2793,1.3803,1.0064,1.1777,1.1839,1.2004,1.1346
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,48,1.1164,1.2748,1.2363,1.2999,1.407,1.0341,1.1967,1.2019,1.2257,1.1574
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,49,1.1286,1.2912,1.2545,1.3208,1.434,1.048,1.2159,1.2202,1.2438,1.175
ASP1,FCP1,FSS1,Government Integrated Foresight Pathway,50,1.1409,1.3079,1.2728,1.3421,1.4613,1.0621,1.2354,1.2386,1.2621,1.1928
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,1,0.74,0.78,0.69,0.59,0.68,0.34,0.38,0.76,0.6368,0.4165
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,2,0.7473,0.7901,0.6999,0.5988,0.6945,0.3455,0.3885,0.7712,0.6462,0.4239
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,3,0.7547,0.8004,0.7099,0.6078,0.7093,0.3511,0.3971,0.7826,0.6558,0.4314
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,4,0.7623,0.8107,0.72,0.617,0.7242,0.3568,0.4058,0.7941,0.6655,0.439
ASP2,FCP2,FSS4,Corporate AI-Augmented Foresight Pathway,5,0.7699,0.8212,0.7303,0.6262,0.7394,0.3626,0.4146,0.8058,0.6754,0.4467
