time_step,scenario_a_weight,scenario_b_weight,scenario_c_weight,uncertainty_load,learning_capacity
1,0.2871,0.5024,0.2105,0.4976,0.4285
2,0.2949,0.4878,0.2173,0.5122,0.4369
3,0.3018,0.4741,0.2241,0.5259,0.4452
4,0.3074,0.4617,0.2309,0.5383,0.4533
5,0.3117,0.4507,0.2375,0.5493,0.4611
6,0.3147,0.4412,0.2441,0.5588,0.4686
7,0.3165,0.4332,0.2504,0.5668,0.4758
8,0.3173,0.4265,0.2562,0.5735,0.4826
9,0.3176,0.4209,0.2615,0.5791,0.489
10,0.3178,0.4163,0.2659,0.5837,0.4949
11,0.3183,0.4124,0.2693,0.5876,0.5005
12,0.3196,0.4089,0.2715,0.5911,0.5056
13,0.322,0.4056,0.2724,0.5944,0.5104
14,0.3256,0.4023,0.2721,0.5977,0.5148
15,0.3306,0.3988,0.2706,0.6012,0.519
16,0.3367,0.3951,0.2682,0.6049,0.5229
17,0.3437,0.3911,0.2652,0.6089,0.5266
18,0.351,0.3869,0.262,0.6131,0.5301
19,0.3583,0.3826,0.2591,0.6174,0.5336
20,0.3651,0.3782,0.2567,0.6218,0.5371
21,0.371,0.3739,0.2551,0.6261,0.5407
22,0.3758,0.3695,0.2547,0.6242,0.5445
23,0.3792,0.3653,0.2555,0.6208,0.5484
24,0.3813,0.361,0.2578,0.6187,0.5526
25,0.382,0.3566,0.2613,0.618,0.5572
26,0.3817,0.3521,0.2662,0.6183,0.5621
27,0.3806,0.3473,0.2721,0.6194,0.5673
28,0.379,0.342,0.2789,0.621,0.573
29,0.3774,0.3363,0.2863,0.6226,0.5791
30,0.3761,0.3299,0.294,0.6239,0.5856
31,0.3756,0.323,0.3015,0.6244,0.5925
32,0.376,0.3155,0.3085,0.624,0.5998
33,0.3775,0.3077,0.3147,0.6225,0.6074
34,0.3802,0.2998,0.32,0.6198,0.6153
35,0.3839,0.292,0.3241,0.6161,0.6235
36,0.3884,0.2846,0.327,0.6116,0.6318
37,0.3932,0.2779,0.3289,0.6068,0.6403
38,0.3982,0.272,0.3298,0.6018,0.6488
39,0.4029,0.2671,0.33,0.5971,0.6572
40,0.407,0.2634,0.3297,0.593,0.6656
41,0.4103,0.2607,0.329,0.5897,0.6738
42,0.4127,0.259,0.3283,0.5873,0.6819
43,0.4142,0.2583,0.3275,0.5858,0.6896
44,0.4148,0.2583,0.3269,0.5852,0.697
45,0.4148,0.2588,0.3265,0.5852,0.7041
46,0.4143,0.2595,0.3263,0.5857,0.7107
47,0.4137,0.2601,0.3263,0.5863,0.717
48,0.4132,0.2603,0.3265,0.5868,0.7228
49,0.4133,0.2599,0.3268,0.5867,0.7283
50,0.4141,0.2587,0.3272,0.5859,0.7333
51,0.4159,0.2564,0.3277,0.5841,0.738
52,0.4187,0.2531,0.3282,0.5813,0.7423
53,0.4224,0.2487,0.3288,0.5776,0.7464
54,0.427,0.2434,0.3296,0.573,0.7502
55,0.4321,0.2374,0.3305,0.5679,0.7538
56,0.4374,0.2309,0.3317,0.5626,0.7574
57,0.4424,0.2242,0.3333,0.5576,0.7609
58,0.447,0.2177,0.3354,0.553,0.7644
59,0.4506,0.2115,0.3379,0.5494,0.768
60,0.4532,0.2059,0.3409,0.5468,0.7718
